Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	wt_0_24h_96hpi_1	wt_0_24h_96hpi_2	wt_0_24h_96hpi_3	wt_100_24h_96hpi_1	wt_100_24h_96hpi_2	wt_100_24h_96hpi_3
TSPAN7	176.150730552749	1.02384031848807	0.218020833058407	4.69606644523638	2.65219298611053e-06	5.64793748228235e-05	108.077646462905	136.820992374156	103.943411486025	180.117849679755	218.400526178364	309.543957135291
NAIP	654.058791013607	1.02581456939514	0.110942545877382	9.24635865602823	2.32270790620971e-20	4.88943363153156e-18	478.03574397054	438.238667303689	377.976041767364	841.603285930551	904.376724311317	884.122282798184
GREB1	97.9571458852364	1.02598615803027	0.262824767729561	3.90368901261993	9.47374993745626e-05	0.00125362901990299	73.7837778737137	80.2408827457458	40.374713552423	134.825057070226	130.047586042571	128.470858026738
KIAA1549	165.045786721892	1.02772608537216	0.210744513005732	4.87664457173417	1.07905610481752e-06	2.59001749719895e-05	102.881605767573	80.2408827457458	141.741015662762	204.344227122061	224.356904165047	236.710084868164
DPY19L2	63.0127154595413	1.03045220355565	0.31697592385846	3.25088477071773	0.00115046475792054	0.00996670367859828	45.7251581189212	46.2928169686995	32.6433854253633	56.8793209515016	91.3311291291341	105.204482163628
G0S2	56.1706517583419	1.03208182301022	0.382530112544017	2.69804072716357	0.00697489068866821	0.041731584458309	59.2348639267843	33.9480657770463	18.039765629806	83.2123399105301	55.5928612090381	86.9960140968465
LOC399744	51.3154074182512	1.0326328447187	0.313115643025422	3.2979279947213	0.000974011083853436	0.0086760890027684	34.2938685891909	36.0055243089885	30.9253125082389	63.1992455016684	62.5419688601679	80.9265247412526
PROX1	647.192895231913	1.03425880854328	0.122701408143164	8.429070409172	3.48421907026547e-17	5.50086103903809e-15	426.07533701722	422.807728314122	425.223046988285	757.33762526166	824.958351155548	1026.75528265464
AK091624	35.5105038743775	1.0365473663072	0.386115107579367	2.68455532031761	0.0072626363102725	0.0429750957629501	30.1370360329253	23.6607731173353	16.3216927126816	54.7726794347793	44.6728349001199	43.4980070484233
ENTPD1	42.7243768091521	1.03746545508856	0.353463812108162	2.93513909924983	0.00333398194910558	0.0233136866803817	23.901787198527	30.861877979133	29.2072395911145	42.1328303344456	66.5128875179563	63.7296382337364
LOC202181	52.5771595003557	1.04009045004832	0.313740394579686	3.31513081521337	0.000916002476419155	0.00826794941012341	43.6467418407884	28.8044194471908	30.9253125082389	73.7324530852798	65.5201578535092	72.8338722671273
TMOD1	136.715415205389	1.04274223440478	0.202993557386369	5.1368242806843	2.79419995913273e-07	8.09699019803114e-06	74.8229860127801	89.4994461394857	103.084375027463	199.077623330255	172.734961613797	181.073099108553
AX747516	35.3138381734853	1.04393700589795	0.374635421338283	2.78654111821238	0.00532738589488873	0.0339005369280723	21.8233709203942	27.7756901812197	19.7578385469304	44.2394718511679	44.6728349001199	53.6138226410798
STX2	98.8868696377318	1.04671377129694	0.239847728553825	4.36407623123289	1.27661057990138e-05	0.000229439118354406	59.2348639267843	55.5513803624394	78.1723177291594	128.505132520059	120.1202893981	151.737233889849
SH3TC2	101.722877581919	1.05080924211342	0.271794310003368	3.86619293869837	0.000110547494533668	0.00142980471967768	98.7247732113071	52.4651925645261	48.1060416794827	147.46490617056	130.047586042571	133.528765823067
SIRPA	73.5277876211566	1.05267840489783	0.270485508221246	3.89181073625869	9.94988507692184e-05	0.00131095104531472	55.0780313705187	42.1778999048151	46.3879687623583	83.2123399105301	114.163911411418	100.1465743673
MS4A8	651.96598015359	1.0543649591836	0.127961787914408	8.2396860529086	1.72663117377998e-16	2.41385674172569e-14	436.467418407884	436.181208771747	399.451953231419	747.857738436409	842.827485115596	1049.01007695849
CCDC88A	241.87603796037	1.05564664282567	0.17164409981883	6.15020640930802	7.73821743960913e-10	4.08408398239198e-08	189.135881310083	129.619887512359	152.90848962407	292.823170824397	324.622600274205	362.146198217105
LOC100996634	53.8362248038765	1.057788422084	0.303846649294741	3.48132330746194	0.000498942848555365	0.00500622791041668	39.4899092845228	31.8906072451041	33.5024218839255	77.9457361187244	75.4474544979803	64.7412197930021
RPS15AP10	33.2267785487508	1.05786982904729	0.396501958755183	2.66800656513394	0.00763027670970884	0.0445460273068561	25.9802034766598	22.6320438513642	16.3216927126816	47.3994341262513	51.6219425512497	35.405354574298
NUP210	151.94301681685	1.06141280888103	0.213835258622914	4.96369408729162	6.91648556151858e-07	1.76481113096601e-05	114.312895297303	76.1259656818614	104.802447944587	165.371359062699	219.393255842811	231.652177071835
NEURL	614.706364440109	1.06609806938105	0.13569524608438	7.85656167142447	3.94821512305726e-15	5.05647634710984e-13	425.036128878154	407.376789324556	360.79531259612	663.592077767518	880.551212364586	950.886665709718
C2CD4B	36.4488616442652	1.06647363052901	0.390449144583427	2.73140214372051	0.00630654663879568	0.0386281254658542	24.9409953375934	15.4309389895665	30.0662760496767	38.9728680593622	51.6219425512497	57.6601488781425
PAK6	90.1293629410565	1.06684949849597	0.260768531366534	4.09117424140574	4.29194505553265e-05	0.00063749133614781	56.1172395095851	77.1546949478325	42.0927864695474	115.865283419725	123.098478391442	126.447694908207
CLCA4	67.5982484782495	1.07111005313952	0.347677066073548	3.08076130886626	0.0020647209343353	0.0160293765118341	33.2546604501245	48.3502755006417	48.9650781380449	123.238528728253	104.236614766947	47.5443332854859
KIAA0922	50.1630108477732	1.07395155646551	0.353565881487473	3.03748639983962	0.00238560169431757	0.018031328695721	20.7841627813278	31.8906072451041	43.8108593866718	57.9326417098627	59.5637798668266	86.9960140968465
TUBB2B	72.4516964327959	1.08088565820836	0.28882037561882	3.7424148344537	0.000182260312074487	0.0021731219761277	52.9996150923859	41.149170638844	45.5289323037962	69.5191700518352	110.192992753629	115.320297756285
SLC14A1	49.4708217082508	1.08816129612094	0.368046818572245	2.95658389425079	0.00311067595026743	0.0221496576023319	23.901787198527	20.574585319422	49.8241145966071	67.412528535113	76.4401841624274	58.6717304374081
FLJ22184	181.658229352979	1.0933388144062	0.178130211936465	6.13786287300978	8.36390089349128e-10	4.37647088466855e-08	127.822601105166	119.332594852648	101.366302110339	223.304000772562	256.124253427354	261.999623849805
GOLGA6L5	252.171248990791	1.09471223615535	0.151105991283804	7.24466466785745	4.33510425984376e-13	3.98960298566727e-11	164.19488597249	160.481765491492	158.062708375443	308.622982199814	351.426301214277	370.23885069123
SORCS2	30.3046683224233	1.09777822011145	0.408274994508649	2.68882061080572	0.00717049413051815	0.0425950144360394	21.8233709203942	15.4309389895665	20.6168750054926	33.7062642675565	41.6946459067786	48.5559148447515
PRRT3	57.652700491314	1.10741900182257	0.301522676258488	3.67275528183894	0.000239949248167433	0.00272100961668011	27.0194116157262	41.149170638844	41.2337500109852	83.2123399105301	77.4329138268746	75.8686169449243
AX746734	34.3271008117824	1.11369482772703	0.396483281189594	2.8089326349034	0.00497060462670712	0.0320994653299936	29.0978278938589	22.6320438513642	13.7445833369951	45.292792609529	47.6510238934613	47.5443332854859
KL	76.9680400323726	1.11438081148549	0.29967730508719	3.71860261877776	0.000200327908846716	0.00234878701832186	46.7643662579876	49.3790047666128	49.8241145966071	64.2525662600295	122.105748726994	129.482439586004
ZNF883	36.0463122035135	1.12688757605299	0.38340357273068	2.93916816691891	0.00329094459862577	0.0231364143490335	23.901787198527	15.4309389895665	28.3482031325523	49.5060756429736	55.5928612090381	43.4980070484233
QSOX2	290.2063018742	1.12851981112164	0.162104722857401	6.9616713888982	3.36259139348927e-12	2.68919208647871e-10	204.724003396079	155.338119161636	186.410911507996	342.329246467371	390.142758127714	462.292772584405
LOC100132215	36.2531825478432	1.12898401400989	0.37485770323279	3.01176687653335	0.00259731980232391	0.0193049167450325	25.9802034766598	22.6320438513642	19.7578385469304	55.8260001931404	39.7091865778844	53.6138226410798
ARHGAP24	38.1755450589229	1.13258060754542	0.402194126191924	2.81600484390207	0.00486249335400577	0.0315004256403472	20.7841627813278	14.4022097235954	36.079531259612	47.3994341262513	46.6582942290142	63.7296382337364
RAB26	387.858638038799	1.13430976833906	0.152064382851759	7.45940467495829	8.69142829058541e-14	9.09570386935893e-12	280.586197547926	230.435355577526	218.195260474797	447.661322303484	527.139451821415	623.134240507645
CCDC17	48.2623743226382	1.13642553537224	0.328436352159744	3.4601088701031	0.000539957030991615	0.00532800272929981	25.9802034766598	38.0629828409307	26.6301302154279	69.5191700518352	58.5710502023795	70.810709148596
