	genes
CD96	0
PRELP	1
MYO3A	3
REM2	3
TPST2	0
NOTUM	1
CLDN6	0
NKTR	2
ITPRIP	1
GRHL3	4
CR627206	5
CCDC78	7
USP6	5
DTX1	0
COL14A1	3
TPH1	5
KLB	1
MSI1	2
NKX6-1	3
COL21A1	6
PGF	5
NPM2	2
PPP1R3C	1
MDK	1
LINC00340	5
PLAC4	2
ECE2	2
ZNF518A	3
AK131337	6
TMEM169	0
CSF1R	2
C9orf66	0
CHRNB4	1
KCNJ11	2
SDK2	1
DPP10	6
GPR142	1
INSM1	3
SPARC	1
NREP	2
MAP1A	1
MS4A8	3
IGSF21	3
MSMB	1
AX747853	5
CAND2	0
GREB1	3
NEK10	1
RD3	1
UCKL1-AS1	7
LRRC16B	3
SULT1A4	0
AADAT	5
LRIG1	2
STARD4-AS1	2
LSP1	2
SLC38A3	2
CELF4	2
LOC100128288	5
ANKRD45	2
STRC	2
GAL	2
CTSL2	7
AK055386	3
APLN	3
RGS17	3
TMSB15B	4
MUC17	0
CD52	7
NEFL	3
SLC30A4	4
GPC2	1
MPPED1	3
GABBR2	6
SSTR5-AS1	3
SYNM	2
TAC3	0
TTC7B	0
DPYSL4	0
HMGB3	0
CD200	2
RAB3C	3
MPP1	3
SSTR1	2
CD99L2	1
CPB1	3
ASIC1	2
DZIP1	2
CCDC74B	0
NXPE1	3
HEYL	7
LRP4-AS1	0
TMEM196	3
DRD2	4
MEX3A	2
ANKRD36C	2
PLCG2	1
LOC100129175	4
AK128619	5
ANKS1B	7
PRKCH	0
CD70	2
AK056490	7
DKFZp686O16217	7
LOC400891	2
PSD	0
SRRM3	3
C6orf226	1
PLEKHH2	4
CSRNP3	2
AF070581	4
LOC728392	4
HSPA2	1
KSR2	6
MX2	2
SLC16A12	3
LOC283731	3
AIF1	0
EML5	3
SIRPA	3
UBE2QL1	3
FAM155B	2
SLC25A27	5
C2CD4A	2
PLAG1	5
KCTD16	7
SFTPA2	1
FAXC	6
P2RX6	1
WSCD1	1
CITED4	0
LTF	7
TMEM212	2
WNK2	0
STMND1	0
LDHD	5
ARHGAP33	0
RTEL1	2
SULT1C2P1	3
TNFRSF6B	0
LOC149134	5
CDHR3	3
LOC284581	5
CABP4	1
UBN2	6
AX747516	3
ARHGEF25	4
FAM105A	4
VCAN	3
CD37	7
PITRM1-AS1	0
CRISPLD2	1
GDF11	1
VWA5B2	1
GGT5	1
CPE	3
GRAP2	3
LRAT	6
WDR17	2
SPON1	2
FAM171A2	1
RTN1	0
LPPR3	0
ZNF853	0
SULT2A1	5
KCNK17	3
RAB36	2
AX746775	5
CPLX2	6
CLCNKA	1
CLCA4	3
NEFM	3
LIMD2	1
ZCCHC12	1
ARHGAP24	2
IGFBPL1	4
SH2D3C	0
PAK7	4
FLJ00385	7
NPSR1-AS1	2
hCG_2023280	5
GPM6B	5
MTUS2	2
BAI2	7
LOC646903	0
FAM161A	3
CATSPERB	5
DPY19L2	2
LRP2BP	7
SORCS2	0
CRISPLD1	3
MUC5AC	7
SEMA6B	1
TUBB4A	2
CXCL12	5
SNED1	3
CCL19	1
CLIP3	0
GALNT16	5
SLC12A5	0
CCDC146	3
DPF3	2
TMOD2	2
RBP2	5
HLF	3
ZSCAN12P1	3
LINC00890	3
IGHG1	7
POM121L10P	7
RGS14	2
LRRC37A	3
DPCR1	7
NKAIN1	1
MTSS1	2
ATP6V0E2	2
GOLGA8B	2
FZD4	2
AK125437	6
KCNT2	3
CCDC154	6
TSSK4	5
FBXL16	2
PLCXD3	3
SMOC1	1
NUTM1	7
TUBA3FP	1
ATP8B2	1
RPLP0P2	3
SMKR1	2
CHST10	1
FMN2	6
SLC25A34	1
SPAG8	5
PCYT1B	2
APLP1	0
