Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	cellular response to tumor necrosis factor (GO:0071356)	1/194	0.3164868009971549	0.3790027123052349	0	0	2.6953913280610853	3.1009769454029024	SFRP1
GO_Biological_Process_2018	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	1/201	0.3258540664777487	0.3870348299796934	0	0	2.6001315789473685	2.915542221588165	PTPN22
GO_Biological_Process_2018	regulation of cell growth (GO:0001558)	1/201	0.3258540664777487	0.3870348299796934	0	0	2.6001315789473685	2.915542221588165	SFRP1
GO_Biological_Process_2018	regulation of autophagy (GO:0010506)	1/203	0.3285073739713579	0.3880881993358286	0	0	2.574127149557061	2.8655080306967835	PTPN22
GO_Biological_Process_2018	regulation of gene expression (GO:0010468)	3/1037	0.3294081966871123	0.3880881993358286	0	0	1.5253868471953578	1.69387738363503	SFRP1;PTPN22;MAPK4
GO_Biological_Process_2018	positive regulation of signal transduction (GO:0009967)	1/206	0.3324682666790336	0.3901139742080596	0	0	2.53607188703466	2.7927499088155936	SFRP1
GO_Biological_Process_2018	negative regulation of gene expression (GO:0010629)	2/618	0.34042310443452223	0.3976480389110325	0	0	1.6975254475254475	1.8291957237357148	SFRP1;PTPN22
GO_Biological_Process_2018	regulation of canonical Wnt signaling pathway (GO:0060828)	1/213	0.3416220265558699	0.3976480389110325	0	0	2.451464746772592	2.6329965413285668	SFRP1
GO_Biological_Process_2018	regulation of cell cycle (GO:0051726)	1/215	0.3442148442647279	0.3990697995260391	0	0	2.4283079193310377	2.589764338464581	SFRP1
GO_Biological_Process_2018	ion transmembrane transport (GO:0034220)	1/219	0.34937066622598106	0.4031996838504056	0	0	2.3832689521970063	2.5062976795608654	ATP1A3
GO_Biological_Process_2018	positive regulation of cytokine production (GO:0001819)	1/220	0.3506534376515598	0.4031996838504056	0	0	2.3722662821437157	2.4860328199408754	PTPN22
GO_Biological_Process_2018	mitotic cell cycle phase transition (GO:0044772)	1/221	0.3519337446666771	0.4031996838504056	0	0	2.3613636363636363	2.46600119998208	TUBB4A
GO_Biological_Process_2018	defense response to bacterium (GO:0042742)	1/241	0.3770294055797137	0.430257086367438	0	0	2.1623903508771933	2.109264951657486	IFNE
GO_Biological_Process_2018	regulation of ERK1 and ERK2 cascade (GO:0070372)	1/247	0.3843716647441158	0.4369224782833504	0	0	2.109007274283269	2.0165174299795217	PTPN22
GO_Biological_Process_2018	regulation of immune response (GO:0050776)	1/251	0.3892195891212665	0.44071167484158974	0	0	2.074842105263158	1.9578450749106031	PTPN22
GO_Biological_Process_2018	antigen receptor-mediated signaling pathway (GO:0050851)	1/257	0.3964218033985904	0.4454005590308487	0	0	2.0255962171052637	1.874236526545394	PTPN22
GO_Biological_Process_2018	positive regulation of programmed cell death (GO:0043068)	1/257	0.3964218033985904	0.4454005590308487	0	0	2.0255962171052637	1.874236526545394	SFRP1
GO_Biological_Process_2018	cellular response to oxygen-containing compound (GO:1901701)	1/274	0.4163816317721129	0.4660271340218648	0	0	1.8978214767688453	1.6627820850816883	SFRP1
GO_Biological_Process_2018	positive regulation of macromolecule metabolic process (GO:0010604)	1/276	0.41868713201475866	0.4668120897176045	0	0	1.8838277511961723	1.640119478629611	PTPN22
GO_Biological_Process_2018	negative regulation of signal transduction (GO:0009968)	1/283	0.4266867106258736	0.47391539233637103	0	0	1.8364128406121687	1.5640824277864227	SFRP1
GO_Biological_Process_2018	cilium assembly (GO:0060271)	1/288	0.4323349196950536	0.4741965746544836	0	0	1.80396112231799	1.5127201030613473	TUBB4A
GO_Biological_Process_2018	ion transport (GO:0006811)	1/289	0.4334580373130332	0.4741965746544836	0	0	1.7976059941520468	1.5027272231189654	ATP1A3
GO_Biological_Process_2018	chemical synaptic transmission (GO:0007268)	1/289	0.4334580373130332	0.4741965746544836	0	0	1.7976059941520468	1.5027272231189654	GRIK5
GO_Biological_Process_2018	positive regulation of MAPK cascade (GO:0043410)	1/289	0.4334580373130332	0.4741965746544836	0	0	1.7976059941520468	1.5027272231189654	PTPN22
GO_Biological_Process_2018	positive regulation of gene expression (GO:0010628)	2/771	0.44678630166067895	0.4869468681020883	0	0	1.3490317365479914	1.0868809703574145	SFRP1;PTPN22
GO_Biological_Process_2018	positive regulation of apoptotic process (GO:0043065)	1/307	0.4533078132300954	0.4922110957087976	0	0	1.6903164774681805	1.3373511572694334	SFRP1
GO_Biological_Process_2018	regulation of cell migration (GO:0030334)	1/316	0.4629769278191127	0.5008412118786684	0	0	1.6412698412698412	1.2639058921203423	SFRP1
GO_Biological_Process_2018	protein transport (GO:0015031)	1/326	0.4735249925816145	0.5095921428415945	0	0	1.5899595141700404	1.1885751651120828	TBC1D3C
