	ARX	ASCL1	ASCL2	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
REACTOME_MUSCLE_CONTRACTION	1	1	1	0.0797282372866	0.0271684088053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0267076797475	1	1	1	1	0.879932696521
REACTOME_NEURONAL_SYSTEM	3.33873700812e-05	5.46358665843e-06	6.74211513672e-05	3.86517281514e-06	6.20240027871e-06	0.0127214881844	0.0178183582836	0.00231202406728	0.00411502097554	7.96500162825e-07	0.0364036105891	1.85170297229e-05	2.13618554219e-05	0.0264863836649	0.00026346658437	0.000507629297315	1	0.183801818905	0.184216999251	0.0460336059934	0.114827666398	0.243260956034	2.71439434452e-06	4.2019345815e-06	4.6529149218e-06	1.45787384498e-06	8.74730472256e-06	5.98372792097e-05	0.779125080879	0.646640084822
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	0.430065980048	1	1	1	1	0.693266262795	1	1	1	1	1	1	1	1	1	1	1	1	0.314859619291	1	0.122912942775	1	1	0.51954396512	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.953806635528	1	1	1	1	0.00100918468868	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	0.0908192537887	1	1	1	1	1	1	1	1	1	1	0.0734703919794	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_2_PLATEAU_PHASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.568526243688	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	1	3.81429054528e-05	0.564185926012	6.30951751679e-06	0.0271835412224	1	1	1	1	1	1	0.17371954447	2.08276966882e-05	0.0250633929918	0.00244095100513	1	1	1	0.855390780416	1	1	1	0.337466173024	1	0.0377185948802	0.000176587605042	0.502346587777	1	1	0.229393504751
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	0.763802360511	1	1	1	1	1	1	1	1	1	1	1	1	0.342886761392	0.0283562853828	1	1	1	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0316982520656	1	1	1	1	1	1	1	1	0.195692088085	1	1	1	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	0.0261827885458	1	1	1	1	0.0889598638872	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.986708182595	1	1	1	1
REACTOME_STIMULI_SENSING_CHANNELS	1	1	1	1	1	1	1	0.972052428795	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	1	1	0.0673859818573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.00103557652012	1	1	0.1994533238	0.00152003493167	1	1	1	1	2.73623448632e-05	1	0.323830844119	1	1	1	0.0210233580319	1	1	1	0.438659301694	1	1	0.0023887231125	0.00246501563987	8.89323045555e-05	0.143026732571	0.0269919851623	0.10288191218	1	1
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	0.122521375034	1	1	0.220363169958	0.00254475356755	1	1	1	1	1	0.621447416651	1	1	1	1	0.890106023411	1	1	1	1	1	1	1	0.556499983654	1	1	1	0.345144646849	1	1
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.192707687381	1	1	1	1	1	1	1	1	1	1	1	1	1	1
