	100_8h(8hpi)	100_8h(24hpi)	100_8h(48hpi)	100_8h(72hpi)	0_8h(8hpi)	0_8h(24hpi)	0_8h(48hpi)	0_8h(72hpi)
AB007962	7.4161	7.7642	7.6112	7.3173	7.7181	7.6404	 7.674	 7.714
AB062081	6.7565	6.8398	6.7972	6.8842	6.9164	6.9013	6.9556	 6.889
AB062083	6.1974	6.3583	6.3957	6.3543	6.4618	6.3583	6.3957	6.3583
AB073649	 7.449	7.3523	7.2583	7.4648	7.3752	7.3283	 7.529	7.4292
AB074160	6.4678	6.2289	 6.631	7.0409	6.4678	6.2289	6.3046	6.2767
AB074162	6.4659	7.0538	6.7209	6.5927	6.8745	6.8708	6.8238	6.6006
AB074166	7.0891	7.1293	6.9186	 7.049	7.1908	7.1717	7.4122	7.2371
AB074188	7.0709	 7.256	 7.462	7.6921	7.1257	  6.74	 6.762	6.7814
AB075489	8.8317	8.6462	8.2075	8.1025	8.0976	8.8537	8.3547	7.5967
AB075492	6.9209	6.9829	 6.993	7.1083	7.1202	6.9947	7.1477	7.1476
AB209061	8.8079	8.7666	 8.717	8.8812	8.7987	8.7183	8.8851	 8.874
AB209185	7.6948	7.7445	7.4266	7.5661	7.5453	7.6054	7.7387	7.5737
AB209315	6.6471	6.8957	6.8199	6.9391	6.9175	7.0241	6.8799	6.4835
AB209621	6.6516	6.5353	6.6865	6.6477	6.6035	6.6086	6.5445	 6.696
AB231702	6.3314	6.3314	6.3314	6.2623	6.3314	6.2623	6.3314	6.4178
AB231711	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104
AB240015	6.4003	6.3604	6.3184	6.3234	6.4003	6.3234	6.4823	6.5202
AB429224	6.3234	6.3234	6.3234	6.3234	6.3234	6.3234	6.3234	6.3234
AB488780	7.1269	7.2402	7.2525	 7.154	7.1943	7.0939	7.1024	7.2698
AB586698	6.3395	6.3395	6.3395	6.3395	6.3395	6.3395	6.3395	6.3395
ABAT	9.7359	9.2376	9.4091	 9.382	8.9952	9.0767	8.9516	8.9813
ABCA1	11.5663	 11.601	11.8673	11.8574	12.0876	11.8419	12.0473	12.6048
ABCA10	6.6967	6.7285	6.8411	 6.917	6.7909	6.6929	6.6936	6.6991
ABCA11P	8.4662	8.5172	8.6472	8.6603	8.6322	8.5682	8.5341	 8.651
ABCA12	7.2992	7.2968	 7.439	7.4789	7.2346	7.1906	7.0625	7.0953
ABCA13	6.5634	6.6672	6.8277	6.7265	6.8497	6.8608	6.7286	6.8581
ABCA17P	6.8806	6.6585	6.6648	6.8532	 6.709	 6.645	6.8391	6.8512
ABCA2	11.2839	 11.425	11.5094	11.7257	11.8126	11.5612	11.8515	12.1481
ABCA3	9.4203	9.2837	9.4941	9.9937	9.6643	9.4054	9.7125	9.7154
ABCA4	 6.607	 6.533	6.6153	6.8678	6.6267	6.5418	6.6283	6.6476
ABCA5	9.7109	9.0816	9.4547	9.8156	9.1971	9.1551	9.1964	9.2778
ABCA6	7.0427	6.9075	6.8841	6.9235	6.6766	6.5415	6.6522	6.7036
ABCA7	11.2349	10.9936	11.0761	11.5198	11.2355	11.0722	11.3946	11.3564
ABCA8	7.5217	6.9299	7.6282	7.8976	7.5405	6.9321	7.4433	8.3595
ABCA9	6.6901	6.5793	6.6751	6.6397	6.5492	6.4167	6.4937	6.6508
ABCB1	6.7664	6.5613	6.8451	7.2298	6.6712	6.4318	6.5448	6.5599
ABCB10	10.6123	  10.16	10.2784	10.2679	10.1688	10.2786	 10.281	 10.448
ABCB11	6.8182	6.6954	6.7176	6.6165	6.5626	6.6436	6.5355	6.3935
ABCB4	6.7861	6.8668	6.9164	7.0697	6.9413	6.7532	6.8885	6.9653
ABCB5	6.7467	6.4615	6.4874	6.4484	6.4242	6.4594	6.5223	6.6121
ABCB6	8.4596	8.3698	8.6978	8.9252	8.6663	8.3003	8.5313	8.8304
ABCB7	9.4167	9.4804	9.4371	9.5096	9.5104	9.4648	9.5369	9.5174
ABCB8	9.7128	9.8903	9.7094	9.6121	9.7168	9.9381	9.7222	9.4783
ABCB9	7.6964	7.4576	 7.686	7.9406	7.7257	7.6653	7.7507	7.8479
ABCC1	11.5991	 11.918	11.7753	11.6738	 11.846	11.9323	11.7934	11.5927
ABCC10	10.6878	10.6008	10.7491	10.6975	10.7389	10.4487	10.7031	11.0394
ABCC11	6.4548	6.5258	6.5842	 6.617	6.6238	6.6909	6.5789	6.5769
ABCC12	6.3209	6.2834	6.3209	6.3209	6.3209	6.2834	6.3209	6.3209
ABCC13	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124
ABCC2	6.8416	6.6261	6.6519	6.8075	  6.76	 6.671	6.9089	6.9898
ABCC3	7.0971	6.7498	6.9501	7.0826	7.1064	6.8959	7.2581	7.5255
ABCC4	8.8366	8.7207	8.9086	8.9295	9.1004	8.7758	9.1603	9.6718
ABCC5	11.4805	11.7329	11.5376	11.5475	  11.64	11.7388	11.6626	11.4107
ABCC5-AS1	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103
ABCC6	8.4536	8.5857	8.7543	8.9173	8.9124	8.8104	 8.841	8.8869
ABCC6P1	 7.409	7.4406	7.4187	7.4967	7.5971	7.8291	7.6814	7.4338
ABCC6P2	7.0544	7.0682	7.0388	7.0715	6.9936	6.9184	6.9787	7.0756
ABCC8	6.7204	 6.396	7.2126	8.3141	6.7643	6.1199	 6.294	6.1416
ABCC9	9.11152	9.34952	9.57305	9.69798	9.91563	9.48609	9.85615	10.3202
ABCD1	9.91726	10.2381	9.89265	9.87789	9.97889	10.2522	10.0343	 9.5178
ABCD2	 6.657	6.6561	6.6424	6.7325	6.6687	6.8017	6.6891	6.4258
ABCD3	10.6717	10.5519	10.6326	10.6222	 10.596	10.7779	10.5973	10.4587
ABCD4	10.5371	10.5588	10.6339	10.6662	10.6701	10.5469	10.6398	10.7755
ABCE1	10.8003	10.9227	10.7742	10.6786	10.7343	10.8155	10.7273	10.5491
ABCF1	11.9237	11.9538	11.9486	11.8174	11.8807	12.0017	11.8343	11.8356
ABCF2	 10.935	10.9949	10.9561	10.8186	10.9018	10.9227	10.8641	10.8969
ABCF3	10.6537	10.4041	 10.525	10.4892	10.3319	10.4181	10.2998	10.3189
ABCG1	 6.957	7.1239	 7.385	7.7258	7.2764	7.0813	7.0081	6.9581
ABCG2	7.5027	7.6848	7.4955	 7.743	7.6152	7.4286	7.6787	7.5924
ABCG4	6.8655	6.7322	 6.852	7.2168	7.0727	6.9941	7.1898	7.2783
ABCG5	6.3243	6.3243	6.4061	6.3243	6.3243	6.3243	6.2426	6.3243
ABCG8	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104
ABHD1	6.3867	6.2734	6.4712	6.3422	6.3867	6.3422	6.3021	  6.52
ABHD10	9.5574	 9.434	9.4587	9.5688	9.3975	 9.368	9.4162	9.4285
ABHD11	9.3663	9.3914	9.3943	 9.585	9.5903	9.6561	9.6743	9.5175
ABHD12	11.6473	11.4647	11.6546	11.6727	 11.725	11.7159	11.7565	11.9381
ABHD12B	6.3093	 6.543	 6.553	 6.518	6.5253	6.3281	6.3896	6.3918
ABHD13	11.3147	 10.714	10.8606	10.9919	10.5598	10.4978	10.6365	10.7663
ABHD14A	8.6676	8.3856	8.6292	8.7729	8.4378	8.3934	8.3613	8.4263
ABHD14A-ACY1	6.5629	6.9831	6.1756	6.4228	6.5629	6.3431	6.9502	6.4228
ABHD14B	7.9654	7.7065	7.8921	8.1188	7.8746	7.8348	7.9025	7.9336
ABHD15	9.27116	8.77309	9.74066	9.90657	9.98055	8.54173	9.86575	11.7504
ABHD16A	11.1697	10.8785	10.9208	 10.933	10.7034	10.8148	10.7192	10.7007
ABHD16B	8.5559	8.2892	 8.463	8.4674	8.4227	8.4425	 8.449	8.4974
ABHD17A	10.6966	 10.806	10.7785	10.7356	10.8017	10.8129	10.7724	10.7627
ABHD17B	10.4176	10.1752	10.2124	10.1903	10.0916	10.1593	10.1338	10.1591
ABHD17C	9.57703	 9.7204	  9.602	9.52204	9.86532	9.92862	9.98451	10.0264
ABHD2	11.8265	 11.459	11.6575	11.6602	11.5069	11.5256	11.5161	11.6907
ABHD3	8.8062	9.0137	8.7184	8.7311	 8.652	8.7195	8.6627	8.2653
ABHD4	 10.789	10.4905	10.6021	10.4325	 10.681	10.7205	10.8138	11.1436
ABHD5	9.5082	9.4759	9.5189	9.3034	9.3593	9.4743	9.2741	 9.284
ABHD6	  8.46	8.4943	  8.53	8.4409	8.4701	8.4128	8.4052	8.5088
ABHD8	9.4171	9.3854	9.4611	9.5713	9.5437	9.5385	 9.563	9.6125
ABI1	10.8413	10.7771	10.7788	10.8047	10.6923	10.8049	10.6802	10.5614
ABI2	11.8329	12.0361	11.9148	12.0846	12.0252	12.0332	12.0394	11.8583
ABI3	6.6382	6.6026	 6.645	6.6684	6.6382	6.5003	6.6313	6.7381
ABI3BP	6.4888	6.6623	6.7455	6.6166	6.6733	6.5231	6.5089	6.8379
ABL1	 13.371	13.1591	 13.373	13.2961	13.3313	 13.202	13.3094	 13.741
ABL2	10.8791	10.8634	10.8347	10.7655	10.8719	10.9353	10.9127	10.9199
ABLIM1	11.6026	11.9048	11.6843	 11.948	11.7304	11.8281	11.7126	11.1973
ABLIM2	8.5274	8.7521	8.4969	9.0051	8.1499	8.1945	7.9916	7.0681
ABLIM3	 6.902	6.7755	6.8103	6.9924	6.7255	 6.469	 6.729	6.8224
ABO	6.9997	6.6348	6.8839	6.8041	6.9645	6.6348	7.0627	7.7964
ABP1	6.7014	6.7796	6.6769	6.7694	6.7055	6.6116	6.7321	6.6655
ABR	12.0201	12.0931	12.1173	12.1472	12.1865	12.0868	12.1724	12.2377
ABRA	6.3993	6.4094	6.4494	6.4295	6.4396	6.4295	6.4097	6.4295
ABRACL	10.7971	10.7394	10.8033	10.7584	10.8289	10.8269	10.8387	 10.985
ABT1	10.6829	10.5417	10.5274	10.3374	10.2845	10.3834	10.2407	10.2221
ABTB1	8.0147	8.1238	8.4728	8.7936	 8.642	 8.103	8.4976	8.9429
ABTB2	9.6555	9.5923	9.6623	9.6658	9.4177	9.1008	 9.292	9.5876
AC2	6.8912	6.9853	6.9623	6.9733	7.0366	6.8911	7.0382	7.1514
ACAA1	11.6914	11.1983	11.4402	11.4551	11.2997	11.4016	11.3551	11.6104
ACAA2	11.9595	12.0401	11.9867	 12.021	12.0036	12.1928	11.9984	11.8552
ACACA	11.3025	11.4871	11.6554	11.7398	11.7957	 11.526	11.6894	12.1006
ACACB	7.9886	7.7352	8.1849	8.2629	8.2424	8.0306	8.1731	8.7333
ACAD10	 9.778	9.6255	9.6093	9.6184	9.6538	9.7494	9.7604	9.7261
ACAD11	8.7377	 8.483	 8.387	8.5663	8.3656	8.2281	8.5303	 8.537
ACAD8	10.0089	9.82242	10.0026	10.0187	9.85004	9.67136	9.77692	10.0258
ACAD9	10.2949	10.2874	10.2165	10.0493	10.1616	10.2378	10.1734	10.1662
ACADL	7.7047	7.8837	7.5727	7.7319	7.4434	8.3001	7.4448	6.1818
ACADM	10.7632	10.5704	10.7474	10.5108	10.5575	10.5756	10.4705	10.7591
ACADS	9.0795	8.9864	9.1158	9.1519	9.2654	9.0596	 9.322	9.6284
ACADSB	10.4364	9.79114	10.0809	10.1058	 9.9018	9.90966	9.98998	10.2748
ACADVL	12.9856	12.7987	12.8904	13.1035	12.8382	12.7077	12.8597	12.8652
ACAN	8.5098	8.4364	8.2681	8.3036	8.4085	 8.552	8.5996	8.4975
ACAP1	6.5325	6.5822	6.5675	6.6323	6.6845	6.7533	6.7256	6.6023
ACAP2	10.5288	10.7888	10.5032	10.5194	10.5857	10.7253	10.6397	10.3219
ACAP3	 12.511	 12.237	12.3143	12.3281	12.2154	12.2045	12.2643	 12.432
ACAT1	10.1858	9.70141	9.67901	9.49627	 9.4289	9.86377	9.55726	9.35252
ACAT2	10.8065	10.3756	10.5272	10.7089	10.4579	10.3866	10.5629	10.6901
ACBD3	10.7194	10.8954	10.7997	10.9494	10.9013	 10.925	 10.912	10.6861
ACBD4	8.1088	8.1331	8.0941	8.0761	8.2319	8.2437	8.3081	8.3201
ACBD5	9.8838	9.7859	9.7972	9.9199	9.8606	9.8234	9.9356	9.9943
ACBD6	9.9627	9.8741	 9.903	9.8959	9.8887	9.8672	9.9114	9.9775
ACBD7	9.0658	8.7734	8.9185	9.0229	8.7491	8.9835	8.7381	8.6323
ACCS	8.2175	 8.228	8.3287	8.3362	8.4584	8.3415	8.4676	8.6207
ACCSL	6.3703	6.3703	6.3703	6.3703	6.3703	6.3703	6.3703	6.3703
ACD	9.0915	9.3776	9.2973	 9.255	9.4057	 9.232	9.3571	9.3744
ACE	 8.581	8.4096	8.7733	 9.042	 8.848	8.5984	8.7892	9.0547
ACE2	6.7592	6.7684	7.0053	7.1745	6.9531	6.8945	 6.804	 6.822
ACER1	6.3225	6.3225	6.3225	6.3225	6.3225	6.3225	6.3225	6.3225
ACER2	7.7517	7.5389	7.8712	7.9788	7.7409	7.7444	7.6159	7.7351
ACER3	9.7055	9.8353	9.7233	9.8086	 9.782	9.8668	9.8024	 9.655
ACHE	 8.607	8.6507	8.4688	8.5818	8.5573	8.8461	8.6707	 8.313
ACIN1	13.0172	13.0934	 13.121	13.1278	13.1903	13.1319	13.1731	 13.235
ACLY	13.5259	13.2193	13.2786	13.2583	13.1238	13.1948	  13.17	13.2047
ACMSD	6.3297	6.2922	6.3297	6.3297	6.3297	6.3297	6.3297	6.2922
ACN9	8.3431	8.1644	8.0823	8.1908	8.0171	7.9706	8.1148	8.1841
ACO1	10.7814	10.7357	10.9188	10.5641	11.1463	10.9906	11.1914	11.7649
ACO2	11.5194	 11.534	11.5831	11.5245	11.5479	11.5692	11.4985	11.5845
ACOT1	7.5749	7.6592	7.6305	7.4781	7.5982	7.7221	7.5542	7.5043
ACOT11	7.6907	7.8283	7.9372	7.7493	7.8321	 8.024	7.6563	7.6392
ACOT12	6.8168	6.6368	6.5268	6.3608	6.3801	6.4437	6.4517	6.3676
ACOT13	9.94394	9.71361	9.84157	9.64531	9.79071	9.69318	9.81645	10.2027
ACOT2	8.9415	9.1531	9.1667	8.7409	8.9768	9.1285	8.7693	8.7448
ACOT4	7.0927	6.9376	6.9652	6.8508	6.9546	7.0895	7.0131	7.0991
ACOT6	6.3986	6.3421	6.3962	6.3421	6.3986	6.3421	6.4011	6.4812
ACOT7	10.7897	10.6288	10.7208	10.5489	10.4797	10.6221	10.3936	10.4207
ACOT8	9.2712	9.2146	9.3278	9.3336	 9.542	9.3842	9.6209	 9.901
ACOT9	9.2063	9.5552	9.4128	9.5601	9.6443	9.5867	9.6568	9.4992
ACOX1	10.5342	10.4593	 10.516	10.4554	10.4223	10.4728	10.3845	10.3691
ACOX2	7.4784	7.0609	7.3049	7.3829	7.2665	7.0953	 7.334	7.7509
ACOX3	9.0891	9.6847	9.2402	9.3475	9.2443	9.5001	9.1708	8.3548
ACOXL	6.5749	6.8993	6.8134	6.8549	6.9772	7.0172	6.9398	6.7686
ACP1	11.4418	11.3194	11.4246	  11.31	11.3348	11.3491	11.2984	11.3741
ACP2	11.0072	10.8907	10.9995	10.8465	10.8671	10.9807	10.8047	10.8862
ACP5	 7.083	6.8175	7.0597	7.2434	6.9921	7.0189	  6.97	6.9241
ACP6	8.4708	8.5676	8.4398	8.5926	8.4916	  8.24	 8.533	8.5498
ACPL2	10.1986	10.0883	10.1354	9.99527	10.1623	 10.372	10.2073	10.2833
ACPP	7.8914	7.6445	7.5033	7.7192	7.5588	7.6232	7.7807	7.6536
ACPT	6.3363	6.2969	6.3363	6.3363	6.3363	6.2969	6.3363	6.3363
ACR	6.4966	6.3739	6.6186	6.8098	6.7225	6.5916	6.7134	6.9672
ACRBP	6.8138	 6.831	6.8482	6.8209	6.8413	6.8944	6.8207	6.8415
ACRC	7.3498	7.3541	7.4222	7.5562	7.5287	7.4907	7.5458	7.6626
ACRV1	6.6381	6.5539	6.5625	6.5768	  6.59	6.6288	6.6415	6.7177
ACSBG1	6.2858	 6.479	6.4245	6.3639	6.4707	6.4245	6.4245	6.4205
ACSBG2	6.5072	6.3938	 6.651	6.7497	6.6128	6.3938	6.5218	6.8092
ACSF2	9.84382	9.71635	9.98642	10.3932	10.1736	10.0568	10.1958	10.2497
ACSF3	 9.256	9.2839	9.2575	9.1412	9.1849	9.2438	 9.148	 9.159
ACSL1	10.7345	11.1579	11.0025	11.1272	11.0607	10.5059	10.9558	11.0985
ACSL3	10.7543	10.5347	10.5372	10.5713	10.4965	10.6687	10.5847	10.4691
ACSL4	10.4087	10.4993	10.3259	10.4919	10.4015	10.5128	10.4808	10.2278
ACSL5	6.6892	6.6862	6.5371	6.8024	6.6099	6.6082	6.7224	6.5327
ACSL6	 6.691	6.6794	6.7153	6.8833	6.7499	6.6365	 6.755	6.7198
ACSM1	6.7807	6.7871	6.6135	6.5986	6.5764	6.6551	6.6415	6.5067
ACSM2A	6.3342	6.3342	6.3342	6.3342	6.3342	6.3342	6.3342	6.3342
ACSM2B	6.3239	6.3239	6.3239	6.3239	6.3239	6.3239	6.3239	6.3239
ACSM3	7.9382	8.1846	7.6148	  7.74	7.5522	8.1378	7.6826	6.5929
ACSM5	6.3216	6.3216	6.3216	6.3216	6.3216	6.3216	6.3216	6.3216
ACSS1	6.4081	6.4801	6.4968	6.5074	6.5263	6.4384	6.4968	6.5338
ACSS2	9.3429	9.4046	9.2891	9.4452	9.4545	9.5429	9.5642	9.3431
ACSS3	10.3163	10.1725	 10.261	  10.14	10.2564	10.1161	10.2818	10.5315
ACTA1	12.2768	13.5786	12.4237	12.6724	11.8788	 12.955	11.5329	8.93703
ACTA2	9.88826	11.3639	10.4888	10.4181	10.3743	10.9856	10.0168	8.47621
ACTB	17.0366	17.3689	17.1087	16.8659	17.1056	17.4378	17.0681	16.7305
ACTBL2	6.4552	6.5501	6.4552	6.5394	6.4552	6.5373	6.4552	6.2321
ACTC1	13.6669	14.9553	13.7431	13.6828	 13.182	 14.119	12.8634	10.5446
ACTG1	17.0222	17.3438	17.1188	17.0683	17.2385	17.3833	17.2501	17.0327
ACTG1P4	6.2482	6.6066	6.3487	6.5004	6.6857	6.6222	 6.804	6.6211
ACTG2	10.0141	10.6809	10.5075	10.6849	10.2254	10.1279	9.83759	9.39927
ACTL10	7.1229	7.2512	7.2052	7.1183	7.2226	 7.208	7.1901	7.2528
ACTL6A	11.1797	11.0846	 10.978	10.8365	10.8763	11.1198	10.9264	10.7326
ACTL6B	6.6222	6.6796	 7.097	7.6775	6.6222	6.1517	6.1474	6.1517
ACTL7A	6.3191	6.3191	6.3191	6.3997	6.3191	6.2768	6.3191	6.2768
ACTL7B	6.3566	6.4091	6.3566	6.3032	6.3566	6.3032	6.3566	6.2838
ACTL8	6.3186	6.3186	6.3186	6.3186	6.3186	6.3186	6.3186	6.3186
ACTL9	6.3305	6.3305	6.3305	6.3305	6.3305	6.3305	6.3305	6.3305
ACTN1	13.0712	13.7506	13.3112	13.3496	13.2197	13.5514	 13.054	 12.112
ACTN1-AS1	6.3263	6.3263	6.3263	6.3263	6.3263	6.3263	6.3263	6.3263
ACTN2	6.9623	7.1879	7.1616	7.1637	7.0709	 7.072	6.9259	6.8632
ACTN3	7.7571	7.5946	7.2736	7.7572	7.4679	7.3841	7.8069	 7.514
ACTN4	14.3577	14.7364	14.4525	14.7451	14.5265	14.6283	14.5161	13.8908
ACTR10	10.7131	10.6465	10.6843	 10.617	 10.496	10.6008	10.4163	10.3813
ACTR1A	12.4288	12.4534	12.4559	12.5225	12.3708	12.4485	12.3146	12.2025
ACTR1B	11.0521	11.1795	11.0956	11.1874	11.2475	11.3024	11.3017	11.1545
ACTR2	13.4686	 13.577	13.5033	13.4637	13.4582	13.6196	13.4184	13.2285
ACTR3	13.2387	13.2991	13.0295	 12.788	12.8355	13.4139	12.8431	12.3438
ACTR3B	9.1017	9.1965	9.0179	9.0149	9.1356	  9.15	9.2364	9.1351
ACTR3C	6.3187	6.3187	6.3187	6.3187	6.3187	6.3187	6.3187	6.3187
ACTR5	8.2786	8.2024	8.3927	8.2456	8.3203	8.3373	 8.227	8.4216
ACTR6	9.4574	9.4154	9.5042	9.6186	9.5439	9.5071	9.5404	9.6011
ACTR8	 10.463	10.3374	10.3307	10.2456	10.2645	10.3016	10.2975	10.3719
ACTRT3	7.3493	 7.442	7.3799	7.3782	7.4548	7.4485	 7.477	7.4211
ACVR1	9.70396	10.0042	9.91941	10.1315	9.82723	10.0108	9.67341	9.08421
ACVR1B	11.3738	 11.144	11.2951	11.3567	11.1165	11.1541	11.0666	11.1234
ACVR1C	7.1724	 6.978	7.2088	7.9777	7.1375	6.6799	7.0837	 6.925
ACVR2A	9.2964	9.1486	 9.244	9.4773	9.2863	9.3347	9.3336	9.2256
ACVR2B	12.1598	12.1851	12.1779	12.0984	12.2285	12.1561	12.2448	12.4486
ACVR2B-AS1	7.7248	   7.4	7.6632	7.6653	7.6365	7.6628	7.6539	7.8797
ACVRL1	6.8198	6.3835	6.6583	6.7779	6.5522	6.7197	6.5799	 6.638
ACY1	8.8914	8.6968	9.0302	8.9792	9.0296	8.9024	8.9598	9.3203
ACY3	6.6321	6.6324	6.6337	6.6327	6.6529	6.7737	6.6617	  6.52
ACYP1	7.1862	 7.279	 7.073	7.2036	7.1829	7.1946	7.2943	6.9669
ACYP2	8.1597	7.9795	7.9946	8.0456	7.8095	7.9899	7.7995	7.6849
ADA	8.8758	8.8387	8.8016	8.5819	8.8613	9.2336	8.9283	8.7424
ADAD1	6.4048	6.4048	6.5204	6.4781	6.4048	6.3283	6.2893	6.3283
ADAD2	6.3501	6.4194	6.3501	6.3853	6.3501	 6.272	6.3501	6.3537
ADAL	8.5103	8.3531	8.5116	8.3615	 8.303	8.2935	 8.198	 8.419
ADAM10	12.5997	12.6702	12.5833	12.4654	12.5528	12.7276	12.5458	12.4586
ADAM11	7.9457	8.0511	7.9311	 7.785	7.8558	7.9404	7.8254	7.7667
ADAM12	8.0196	 7.816	7.7213	8.5966	7.4332	7.0715	7.4382	6.8979
ADAM15	8.8158	8.9536	8.8688	8.8825	8.9086	8.9993	 8.902	8.6868
ADAM17	10.7474	10.8735	10.8443	10.8613	10.9825	  10.99	11.0031	10.9179
ADAM18	6.7403	6.6733	6.6108	6.5165	6.4083	 6.392	6.3719	6.3832
ADAM19	12.2367	12.6538	12.4824	12.5994	12.5061	 12.484	 12.395	12.1179
ADAM1A	8.4218	8.3865	8.4914	8.4391	8.4074	8.2398	8.3306	 8.508
ADAM2	6.6594	6.3839	6.3839	6.3244	6.2921	6.3839	6.3839	6.3244
ADAM20	 6.583	6.4848	6.5844	 6.552	6.5977	6.4848	6.6036	6.8332
ADAM20P1	6.4796	6.7209	6.5805	6.7355	6.8105	6.6249	 6.875	6.8347
ADAM21	6.5379	6.6306	6.5613	6.6452	6.6979	 6.626	6.7545	6.7019
ADAM21P1	6.5647	6.6142	6.4495	6.5074	6.4111	6.3381	6.4495	6.3663
ADAM22	9.6132	9.1608	9.5306	9.4909	9.4482	9.2601	9.4483	9.9935
ADAM23	8.5806	8.7363	8.6155	8.4969	8.5329	8.6366	8.4741	 8.201
ADAM28	7.1701	 7.594	7.5131	7.1119	7.2535	7.1291	6.9522	7.0949
ADAM29	6.5217	6.6818	6.6365	6.5134	6.5155	6.5261	6.3975	6.4057
ADAM30	6.31	6.31	6.31	6.31	6.31	6.31	6.31	6.31
ADAM32	6.9318	6.8428	6.8829	6.8684	6.8521	6.8366	6.8611	6.7834
ADAM33	6.8038	6.4069	6.7422	6.9727	6.8013	 6.661	6.8617	 6.993
ADAM3A	6.4409	6.5935	6.5067	6.6745	6.5237	6.4607	6.4993	6.3365
ADAM5	6.3139	6.3139	6.3139	6.3139	6.3139	6.3139	6.3139	6.3139
ADAM6	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103
ADAM8	 9.097	9.4536	9.1537	 9.716	9.2222	9.4069	9.2281	 8.236
ADAM9	11.6341	11.9758	11.7483	11.6302	11.7463	11.9832	11.6882	11.3897
ADAMDEC1	6.3262	6.3262	6.3262	6.3262	6.3262	6.3262	6.3262	6.3262
ADAMTS1	10.8672	10.4064	10.6362	10.5284	10.5321	10.4833	10.5956	11.0395
