TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ESRRB	ELAVL3	0.94964	50.99	0.988	rgb(228, 28, 30)	1.9998	None
GATA3	ELAVL3	-0.11398	47.87	-8.7E-01	rgb( 29,103,250)	1.9374	None
MSX2	ELAVL3	0.89536	50.76	0.762	rgb(225, 71, 73)	1.9952	None
GATA3	ELL2	-0.85509	50.95	-9.5E-01	rgb( 11, 92,253)	1.999	None
MSX2	ELL2	0.96661	50.86	0.859	rgb(226, 53, 55)	1.9972	None
ESRRB	FAM222A	0.55217	49.97	0.974	rgb(228, 31, 33)	1.9794	None
MSX2	FAM222A	0.61202	48.16	0.156	rgb(219,187,188)	1.9432	None
ESRRB	FER1L6	0.96932	50.87	0.866	rgb(227, 52, 53)	1.9974	None
GATA3	FER1L6	-0.044603	47.53	-5.3E-01	rgb(102,147,237)	1.9306	None
MSX2	FER1L6	0.61539	48.27	0.274	rgb(220,165,165)	1.9454	None
ESRRB	FFAR2	0.090086	47.78	0.78	rgb(226, 68, 70)	1.9356	None
MSX2	FFAR2	0.89298	50.75	0.752	rgb(225, 73, 75)	1.995	None
GATA3	FUT8-AS1	-0.49492	49.87	-8.7E-01	rgb( 27,102,250)	1.9774	None
MSX2	FUT8-AS1	-0.67147	48.82	-8.2E-01	rgb( 39,109,248)	1.9564	None
GATA3	FZD4	0.34198	48.98	0.977	rgb(228, 30, 32)	1.9596	None
MSX2	FZD4	0.17086	46.88	0.883	rgb(227, 48, 50)	1.9176	None
ESRRB	G0S2	0.55217	49.97	0.971	rgb(228, 31, 33)	1.9794	None
MSX2	G0S2	0.53055	46.66	0.66	rgb(224, 91, 92)	1.9132	None
ESRRB	GABRG2	0.78761	50.9	0.896	rgb(227, 46, 48)	1.998	None
GATA3	GABRG2	-0.67337	50.74	-7.4E-01	rgb( 57,120,245)	1.9948	None
MSX2	GABRG2	0.99329	50.93	0.933	rgb(227, 39, 41)	1.9986	None
GATA3	GAD2	-0.5157	49.91	-9.1E-01	rgb( 20, 97,251)	1.9782	None
MSX2	GAD2	-0.82833	50.93	-9.3E-01	rgb( 14, 94,253)	1.9986	None
ESRRB	GADD45A	0.25182	41.24	0.242	rgb(220,171,171)	1.8048	None
GATA3	GADD45A	-0.26047	48.78	-7.8E-01	rgb( 48,114,247)	1.9556	None
ESRRB	GATA3	-0.72963	49.66	-6.6E-01	rgb( 74,130,242)	1.9732	None
MSX2	GATA3	-0.94327	50.84	-8.4E-01	rgb( 35,107,249)	1.9968	None
ESRRB	GCG	0.45014	49.76	0.764	rgb(225, 71, 73)	1.9752	2,2
MSX2	GCG	0.5381	46.76	0.757	rgb(225, 72, 74)	1.9152	2,2
ESRRB	GDAP1L1	0.92054	50.98	0.982	rgb(228, 29, 31)	1.9996	None
MSX2	GDAP1L1	0.41803	44.54	0.538	rgb(223,114,115)	1.8708	None
ESRRB	GP2	0.13293	38.43	0.429	rgb(222,135,136)	1.7486	None
GATA3	GP2	-0.75609	50.87	-8.7E-01	rgb( 28,102,250)	1.9974	None
MSX2	GP2	0.62686	48.44	0.442	rgb(222,133,134)	1.9488	None
ESRRB	GSTA1	0.69196	50.78	0.783	rgb(226, 67, 69)	1.9956	None
GATA3	GSTA1	0.70856	49.54	0.544	rgb(223,113,114)	1.9708	None
