TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
FEV	GNAO1	0.072984	40.19	0.191	rgb(219,181,181)	1.7838	None
GATA4	MPP1	0.072984	40.19	0.187	rgb(219,181,182)	1.7838	None
HSF2	OLFML2B	0.072984	40.19	0.186	rgb(219,182,182)	1.7838	None
ISL1	GPR119	0.072984	40.19	0.189	rgb(219,181,181)	1.7838	2,2
MAFA	LRAT	-0.072984	40.19	-1.9E-01	rgb(177,193,224)	1.7838	None
MAFA	TCEAL1	0.072984	40.19	0.191	rgb(219,181,181)	1.7838	None
NR4A3	PDE8B	0.072984	40.19	0.191	rgb(219,181,181)	1.7838	None
SMAD9	ABCC4	-0.072984	40.19	-1.9E-01	rgb(176,192,224)	1.7838	None
SOX4	IGSF21	0.072984	40.19	0.194	rgb(219,180,180)	1.7838	None
EGR3	TPST2	-0.07233	40.18	-1.8E-01	rgb(178,193,224)	1.7836	None
ETS1	PPP1R1A	-0.07233	40.18	-1.8E-01	rgb(179,194,224)	1.7836	None
NFAT5	AK096592	0.07233	40.18	0.178	rgb(219,183,183)	1.7836	2,2
NR4A2	PRR7	-0.07233	40.18	-1.8E-01	rgb(179,194,224)	1.7836	None
NR4A3	CELF5	0.07233	40.18	0.178	rgb(219,183,183)	1.7836	None
RFX2	CPNE9	-0.07233	40.18	-1.8E-01	rgb(178,194,224)	1.7836	None
TFCP2L1	RNF213	0.07233	40.18	0.179	rgb(219,183,183)	1.7836	None
EBF3	GRAP2	0.071675	40.17	0.165	rgb(219,185,186)	1.7834	None
MAFA	TPPP3	0.071675	40.17	0.168	rgb(219,185,185)	1.7834	None
ZNF846	RYBP	0.071675	40.17	0.167	rgb(219,185,185)	1.7834	None
EGR3	FAM92B	0.071021	40.16	0.161	rgb(219,186,186)	1.7832	None
GATA4	OLFML3	0.071021	40.16	0.158	rgb(219,187,187)	1.7832	None
HMBOX1	MGC4836	0.071021	40.16	0.159	rgb(219,187,187)	1.7832	2,2
MAFB	LHFPL4	0.071021	40.16	0.16	rgb(219,186,187)	1.7832	None
