	ARX	ASCL1	E2F7	ETV1	FEV	FOXD4L5	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	1	1	1	1	1	1	1	1	1	1	0.293000515881	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	1	1	0.148994581839	1	1	1
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000956967110445	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_ION_TRANSPORT	1	1	1	1	0.00329206424749	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	0.0582597434023	1	1	1	1	1	0.00101492507449	1	1	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	0.682350509229	1	1	1
GO_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	0.442638650314	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	0.540065144076	1
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000105977721012	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_TRANSPORT	1	1	1	1	0.0288661226665	1	1	1	1	1	0.0587258004456	1	1	1
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	1	1	1	1	1	1	1	1	1	0.0	0.260492316892	1	1
GO_SIGNAL_RELEASE	1	1	1	1	1	1	1	1	1	1	1	0.405301264647	1	1
GO_SOMATODENDRITIC_COMPARTMENT	1	1	0.0390247522244	1	0.00864710546887	1	1	1	1	1	0.0	1	1	1
GO_SYNAPSE	0.00510107964803	0.571320920765	0.00102118842165	1	6.5079759981e-06	0.00041437306642	1	1	1	0.0229267525539	1.35909658527e-05	0.000934471815806	1	1
GO_SYNAPSE_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.0470168974215	1	1	1
GO_SYNAPTIC_MEMBRANE	1	1	0.870378215883	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_SIGNALING	1	1	1	1	0.000983319845093	1	1	1	1	1	0.0	0.000141560292294	1	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	1	1	0.00107023263103	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	0.29767674973	1	1	1
GO_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000490455511948	1	1	1	1	1	0.0619325064598	1	1	1
GO_TRANSPORTER_ACTIVITY	1	1	1	1	0.0571204127961	1	1	1	1	1	1	1	1	1
GO_TRANSPORTER_COMPLEX	1	1	1	1	0.185780228813	1	1	1	1	1	0.00013278416219	1	1	1
GO_TRANSPORT_VESICLE	1	1	1	1	1	1	1	1	1	1	0.000168691602635	1	1	1
GO_TRANSPORT_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	0.92335925322	1	1	1
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.820260016941	1	1	1	1	1
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0816849013285	1	1	1	1	1	1	1	1	1
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	1	1	1	1	0.000276880799718	1	1	1	1	1	1	1	1	1
