TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
NKX2-8	C1orf53	-0.095254	47.8	-8.0E-01	rgb( 44,112,247)	1.936	None
MAFA	C2CD4C	-0.35356	49	-1	rgb(  0, 85,255)	1.96	None
NKX2-8	C3orf58	0.53209	46.69	0.691	rgb(225, 85, 86)	1.9138	2,2
MAFA	C3orf67	-0.24809	48.74	-7.4E-01	rgb( 56,119,245)	1.9548	None
NKX2-8	C5orf38	-0.8413	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
NKX2-2	C5orf46	0.71358	49.56	0.56	rgb(223,110,111)	1.9712	None
NKX2-8	C5orf46	0.79963	50.91	0.913	rgb(227, 43, 44)	1.9982	None
NKX2-2	C6	-0.40033	44.31	-3.1E-01	rgb(150,176,229)	1.8662	None
MAFA	C6orf185	-0.076012	47.71	-7.1E-01	rgb( 63,123,244)	1.9342	2,2
NKX2-8	C7	-0.82107	50.8	-8.0E-01	rgb( 44,112,247)	1.996	None
MAFA	C8orf31	0.092322	47.79	0.792	rgb(226, 66, 67)	1.9358	None
NKX2-8	C8orf31	-0.7101	50.81	-8.1E-01	rgb( 41,110,248)	1.9962	None
MAFA	C8orf34	0.64222	50.65	0.645	rgb(224, 94, 95)	1.993	None
NKX2-8	C8orf34	-0.38358	49.42	-4.2E-01	rgb(126,162,233)	1.9684	None
NKX2-8	C9orf3	-0.69826	50.79	-7.9E-01	rgb( 46,113,247)	1.9958	2,2
MAFA	CA8	-0.32377	48.94	-9.4E-01	rgb( 12, 92,253)	1.9588	None
NKX2-2	CA8	-0.58025	47.6	-6.0E-01	rgb( 87,138,240)	1.932	None
NKX2-8	CA8	-0.35957	49.1	-9.8E-02	rgb(196,204,221)	1.962	None
MAFA	CACNA1A	0.54535	49.96	0.963	rgb(228, 33, 35)	1.9792	None
MAFA	CACNA1B	0.13209	38.4	0.401	rgb(221,140,141)	1.748	None
MAFA	CACNA2D1	0.12912	38.36	0.356	rgb(221,149,150)	1.7472	None
MAFA	CACNG7	0.56636	49.99	0.989	rgb(228, 28, 30)	1.9798	None
NKX2-8	CACNG7	-0.98266	51	-1	rgb(  0, 85,255)	2	None
MAFA	CADPS	0.19021	48.47	0.467	rgb(222,128,129)	1.9494	None
MAFA	CALCB	-0.42151	49.66	-6.6E-01	rgb( 74,130,242)	1.9732	None
MAFA	CALHM3	0.34759	48.99	0.988	rgb(228, 28, 30)	1.9598	None
MAFA	CALN1	0.23518	48.69	0.688	rgb(225, 86, 87)	1.9538	None
NKX2-8	CAMK2N2	0.82833	50.93	0.929	rgb(227, 40, 41)	1.9986	None
MAFA	CAPN9	0.39205	49.49	0.489	rgb(222,124,125)	1.9698	None
NKX2-2	CAPSL	-0.77445	49.92	-9.2E-01	rgb( 17, 95,252)	1.9784	None
NKX2-8	CAPSL	-0.16727	39.3	-3.0E-01	rgb(152,178,228)	1.766	None
NKX2-8	CARNS1	0.45014	49.76	0.762	rgb(225, 72, 73)	1.9752	None
NKX2-2	CASR	0.10449	37.66	0.66	rgb(224, 91, 92)	1.7332	None
NKX2-8	CAV2	-0.44596	45.19	-1.9E-01	rgb(177,192,224)	1.8838	None
NKX2-8	CBLN1	-0.43438	49.71	-7.1E-01	rgb( 63,123,244)	1.9742	None
NKX2-8	CBX7	0.60539	50.45	0.455	rgb(222,130,131)	1.989	None
MAFA	CCBE1	0.11398	47.87	0.871	rgb(227, 51, 52)	1.9374	None
NKX2-2	CCBE1	0.97801	50.9	0.904	rgb(227, 44, 46)	1.998	None
NKX2-8	CCBE1	0.2947	48.87	0.874	rgb(227, 50, 52)	1.9574	None
MAFA	CCDC108	-0.013854	47.23	-2.3E-01	rgb(166,186,226)	1.9246	2,2
MAFA	CCDC152	-0.4862	49.85	-8.5E-01	rgb( 32,105,249)	1.977	None
NKX2-8	CCDC162P	-0.084185	47.75	-7.5E-01	rgb( 54,118,246)	1.935	None
MAFA	CCDC50	-0.37068	49.28	-2.8E-01	rgb(157,180,228)	1.9656	None
MAFA	CCDC74B	-0.5157	49.91	-9.1E-01	rgb( 20, 97,252)	1.9782	None
NKX2-8	CCDC74B	-0.63104	48.49	-4.9E-01	rgb(110,152,236)	1.9498	None
MAFA	CCDC80	-0.18992	42	-6.6E-01	rgb( 74,130,242)	1.82	None
NKX2-8	CCNA1	0.89841	50.97	0.972	rgb(228, 31, 33)	1.9994	None
NKX2-8	CD36	0.6545	50.69	0.686	rgb(225, 86, 87)	1.9938	None
MAFA	CD55	-0.27385	48.82	-8.2E-01	rgb( 39,109,248)	1.9564	None
NKX2-8	CD55	0.89841	50.97	0.965	rgb(228, 33, 35)	1.9994	None
NKX2-2	CDC20B	0.82327	50.56	0.563	rgb(223,109,111)	1.9912	None
MAFA	CDC42P3	-0.63148	50.61	-6.1E-01	rgb( 85,137,240)	1.9922	None
NKX2-8	CDH11	-0.66876	50.73	-7.3E-01	rgb( 59,121,245)	1.9946	None
MAFA	CDH12	0.37068	49.28	0.278	rgb(220,164,164)	1.9656	None
MAFA	CDH20	-0.67924	48.92	-9.2E-01	rgb( 18, 96,252)	1.9584	None
NKX2-2	CDH20	0.5381	46.76	0.764	rgb(225, 71, 73)	1.9152	None
MAFA	CDH5	0.0097489	47.16	0.156	rgb(219,187,188)	1.9232	None
NKX2-2	CDH5	0.72278	49.62	0.622	rgb(224, 98,100)	1.9724	None
MAFA	CDHR1	0.89841	50.97	0.972	rgb(228, 31, 33)	1.9994	None
NKX2-8	CDK5R2	0.49492	49.87	0.867	rgb(227, 51, 53)	1.9774	None
NKX2-8	CDKN1A	-0.10548	47.84	-8.4E-01	rgb( 35,106,249)	1.9368	None
NKX2-8	CDKN2B	-0.41854	49.65	-6.5E-01	rgb( 77,132,242)	1.973	None
MAFA	CDRT4	-0.71746	50.82	-8.2E-01	rgb( 38,108,248)	1.9964	None
NKX2-2	CDRT4	-0.01422	35.49	-4.9E-01	rgb(111,152,236)	1.6898	None
NKX2-8	CDX2	0.79395	50.33	0.328	rgb(221,154,155)	1.9866	None
NKX2-2	CEBPD	-0.59813	47.77	-7.7E-01	rgb( 50,116,246)	1.9354	None
NKX2-8	CEBPD	0.15199	38.75	0.751	rgb(225, 74, 75)	1.755	None
MAFA	CELA3A	0.28708	48.85	0.85	rgb(226, 55, 56)	1.957	None
MAFA	CELF4	-0.8413	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
NKX2-8	CELF4	0.27385	48.82	0.816	rgb(226, 61, 63)	1.9564	None
MAFA	CES1	-0.26047	48.78	-7.8E-01	rgb( 47,114,247)	1.9556	None
MAFA	CGREF1	-0.41279	49.62	-6.2E-01	rgb( 82,135,241)	1.9724	None
NKX2-8	CGREF1	0.19337	48.49	0.486	rgb(222,124,125)	1.9498	None
MAFA	CHST5	0.66876	50.73	0.734	rgb(225, 77, 78)	1.9946	None
MAFA	CHST6	0.92054	50.98	0.979	rgb(228, 30, 32)	1.9996	None
