	ARX	ASCL1	ASCL2	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	0.441853277697	1	1	1	1	0.712268653795	1	1	1	1	1	1	1	1	1	1	1	1	0.323488998283	1	0.126281384987	1	1	0.533783889547	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.979951297768	1	1	1	1	0.00103683648688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	0.0933080937834	1	1	1	1	1	1	1	1	1	1	0.075483759758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_2_PLATEAU_PHASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.584109071153	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	1	3.91879913586e-05	0.579649715194	6.48238760903e-06	0.0279284450536	1	1	1	1	1	1	0.178480460593	2.1398348466e-05	0.025750179262	0.00250783499162	1	1	1	0.878837331502	1	1	1	0.346715263812	1	0.0387522079023	0.000181426060254	0.516115092044	1	1	0.235680448115
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	0.784738242097	1	1	1	1	1	1	1	1	1	1	1	1	0.352284461598	0.0291333293394	1	1	1	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.032566879688	1	1	1	1	1	1	1	1	0.201055280854	1	1	1	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	0.02690025188	1	1	1	1	0.091397736929	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_STIMULI_SENSING_CHANNELS	1	1	1	1	1	1	1	0.998697351155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	1	1	0.0692326048771	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.00106395159351	1	1	0.20491962415	0.00156168449374	1	1	1	1	2.81120446495e-05	1	0.332706140443	1	1	1	0.0215994366479	1	1	1	0.450682183475	1	1	0.00245417570111	0.00253255933868	9.13690153267e-05	0.146946414029	0.0277316327707	0.105701334594	1	1
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	0.125879070264	1	1	0.226402563033	0.00261448249177	1	1	1	1	1	0.638480850386	1	1	1	1	0.914504364008	1	1	1	1	1	1	1	0.571753035799	1	1	1	0.354604275409	1	1
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.197989063612	1	1	1	1	1	1	1	1	1	1	1	1	1	1
