	genes
EML5	1
BTBD11	4
RFTN2	1
PCDH17	5
FAM135B	1
CDH22	0
LOC399744	4
LOC441204	4
FAM57B	5
SMOC1	3
DNER	6
AK091593	4
AK128563	4
LOC202181	4
RIC3	5
AFF2	5
BC020343	5
AK024119	5
CGREF1	0
GRAMD2	5
LOC100288332	6
AK125727	5
BC107568	3
EYA4	1
EFCC1	3
AK125333	0
KRT4	2
FAM95B1	4
E02193	0
IPO11-LRRC70	3
AX747853	4
SMA	0
LOC388849	5
MIR4697HG	4
GOLGA6L5	4
LOC100132215	4
TRO	4
AX747175	4
AK126532	5
AK123332	4
ACTG1P4	0
KIAA0931	4
FAM21B	4
AK091624	4
FAM226B	0
TAS2R20	4
AK311497	2
