	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_RESPONSE_TO_TYPE_I_INTERFERON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	3	0	0	4	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0
GO_RESPONSE_TO_VIRUS	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	7	0	0	0	0	3	0	0	0	0	2	4	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
GO_RESPONSE_TO_VITAMIN	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	3	0	2	0	0
GO_RESPONSE_TO_VITAMIN_A	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RESPONSE_TO_VITAMIN_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0
GO_RESPONSE_TO_WATER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RESPONSE_TO_WATER_DEPRIVATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RESPONSE_TO_WOUNDING	0	0	15	0	0	0	0	0	0	0	0	4	0	5	14	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	14	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	0	0	13	0	0	0	6	0	0	0	0	0	6	0	0	0	3
GO_RESPONSE_TO_XENOBIOTIC_STIMULUS	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RETINAL_GANGLION_CELL_AXON_GUIDANCE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	5	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	5	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0	0	6	6	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0
GO_RETINA_HOMEOSTASIS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RETINA_LAYER_FORMATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	2	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GO_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	0	2	0	0	2	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	2	0	5	0	2	0	2	0	0	0	0	3	0	0	2	5	4	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0
GO_RETINOL_BINDING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_RETINOL_METABOLIC_PROCESS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
