	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1	1	1	1	1	0.00176038544429	0.902414843669	1	1	0.00720981059516	1	1	1	1	0.0250951907899	0.000176320585568	1	1	1	0.0733613573633	1	1	0.00912391018146	0.054693873418	1	1	1	1	1	1	0.581770505157	1	1	0.761294900409	1	1	1
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.656067732381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	0.707863138998	1	1	1	1	1	0.30810470867	1	1	1	1	1	1	1	0.400201659554	1	0.259234019965	1	1	1	1	1	1	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.606017739778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.238268369199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	1	1	0.0060950380071	1	1	0.504373425243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00153752658786	1	1	1	1	0.0309790022972	1	1	1	1	1	1
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	1	1	0.0559820803538	1	1	0.907308639491	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0222003407755	1	1	1	1	0.0459753781208	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	1	0.0856227383404	1	1	1	1	1	1	1	1	1	0.0053560393085	1	1	1	1	1	1	1	0.000773372491255	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	1	0.980239209108	1	1	1	1	1	1	1	1	1	0.783438211535	1	1	1	1	1	1	1	0.226815768399	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.536957059702	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.0562116982673	1	1	0.289667632909	0.935472080879	1	1	0.0782826548328	1	1	1	1	1	0.000298042691466	1	1	1	1	1	1	1	0.313362445639	1	0.516655119785	1	1	1	1	0.268859491516	1	1	1	1	1	1
GO_METAL_ION_TRANSPORT	1	1	0.233166103904	1	1	1	1	1	1	0.0530592807554	1	1	1	1	1	0.147347048327	1	1	1	1	1	1	1	0.0144671037892	1	0.0983746820911	1	1	1	1	1	1	1	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.0130595417838	1	1	1	1	1	1	1	1	1	1	1	1	0.00413209182629	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	1	1	0.21041837205	1	1	1	1	1	1	0.168995619876	1	1	1	1	1	0.0172033332264	1	1	1	1	1	1	1	1	1	0.734391756804	1	1	1	1	1	1	1	1	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.664476095283	0.00514738366946	1	1	1	0.969605396632	1	1	1	1	1	1	1	0.664476095283	1	1	0.0694240170205	1	1	1	1	1	1
GO_NEURAL_NUCLEUS_DEVELOPMENT	1	1	1	1	1	1	0.358829905455	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.849335302346	1	1	1	1	1	1	1	1	1	1	1
GO_NEUROGENESIS	1	0.000334449395814	1	0.00292724140925	0.00604062454438	0.0	0.0016020977555	1	1	0.000213596786658	1	1	0.000289669023887	2.38187988277e-05	0.00829911957609	0.000376664058521	1	0.00107183713835	0.139147053486	1.89707006522e-05	0.0113271782199	1	0.0	1	1	1	2.25654497683e-05	0.0	1	0.00812987609687	0.0	0.0157266753877	0.0725548109742	0.11176186657	1	1	1
GO_NEURON_DEVELOPMENT	1	0.000168009443831	1	1	0.0229576583887	7.69594010519e-06	0.0528231561675	1	1	2.81989901687e-05	1	1	2.74318877778e-05	3.81327056501e-05	0.10837357552	7.09221949258e-05	0.106049008158	0.125933135637	1	4.30734661632e-05	0.64753006602	1	2.67692453949e-05	1	1	1	0.00219640088517	4.25160293256e-05	1	0.00469717892946	6.46307109726e-05	1	0.00673858715409	1	1	1	1
GO_NEURON_DIFFERENTIATION	1	7.62315637215e-06	1	0.00439473891189	0.000528326864793	0.0	0.00939947342063	1	1	0.000167691373694	1	1	0.0	0.0	0.0179148587214	0.000121597336418	1	0.000699752563948	1	0.0	0.00151792610696	1	0.0	1	1	1	8.73660958112e-05	0.0	1	0.0129739697535	0.0	0.0414000676404	0.0146012166194	0.588646521293	1	1	1
GO_NEURON_PROJECTION	1	1.46390667588e-05	7.04670243274e-05	1	1	3.43430059284e-05	5.11759563693e-06	0.000615654904166	0.273468289087	4.4937765165e-05	0.0859531270535	1	3.38331273264e-05	5.48694748254e-05	3.29876127606e-05	2.78663486286e-05	0.167087888188	0.00151359790103	1	5.90917319183e-05	1	1	3.88665144668e-05	0.000178085772254	0.0313499887094	3.5466595687e-05	3.16406028693e-05	3.29876127606e-05	1	5.26924218615e-05	3.88665144668e-05	0.200032974391	6.6452831849e-05	0.000126653186149	1	1	0.00192434286752
GO_NEURON_PROJECTION_GUIDANCE	1	1	1	1	1	0.0	1	1	1	0.0580813244186	1	1	0.00693287335356	1	1	1	1	1	1	0.0135947238328	1	1	1	1	1	1	1	1	1	0.0186536952616	1	1	1	1	1	1	1
GO_NEURON_PROJECTION_TERMINUS	1	0.0227045628121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.841945768153	1	1	1	1	1	1
GO_NEURON_RECOGNITION	1	1	1	1	1	0.608305960783	1	1	1	1	1	1	1	1	1	1	1	1	1	0.385388039664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEURON_TO_NEURON_SYNAPSE	1	1	1	1	1	1	0.0182411345365	1	1	0.00769440536226	1	1	0.000338151086122	0.0293466719025	0.098261579202	0.000366882405817	1	1	1	0.00678263545532	1	1	0.0	1	1	1	1	0.000646774264516	1	1	0.0043533350513	1	1	0.0293466719025	1	1	1
GO_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.983589052706	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEUROTRANSMITTER_SECRETION	1	1	1	1	1	0.00547826041056	1	1	1	1	1	1	1	1	0.00149070709607	1	1	1	1	1	1	1	0.000128085359698	1	1	1	1	1	1	1	0.0740024437164	1	0.54681335212	0.00992667437811	1	1	1
GO_NEUROTRANSMITTER_TRANSPORT	1	1	1	1	1	0.0065818000417	1	1	1	1	1	1	1	1	0.0106417962044	0.153564292806	1	1	1	1	1	1	8.75237984435e-05	1	1	1	1	1	1	1	1	1	1	0.0426884053494	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.0315238324471	1	1	0.000285568393663	1	1	1	0.00271093131294	1	1	1	1	0.405407078537	0.000707965561186	1	1	1	1	1	1	1	0.232320125167	1	0.455945936104	1	1	1	1	0.0736788962038	1	1	1	1	1	1
GO_PEPTIDE_HORMONE_SECRETION	1	1	1	1	1	1	0.132750709032	1	1	0.00023033722765	1	1	0.0615157684063	1	0.0583874588456	0.135873060645	1	1	1	0.512040647918	1	1	1	1	1	1	1	1	1	1	0.171230593903	1	0.981110192357	1	1	1	1
GO_PEPTIDE_SECRETION	1	1	1	1	1	1	1	1	1	0.0012802641357	1	1	0.567399180787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_PERIKARYON	1	0.0379787424317	1	1	1	0.00845096601858	1	0.970885157147	1	0.211077239339	1	1	1	1	1	0.0431391624353	1	1	1	0.000439951004211	1	1	0.00020113432917	1	1	1	1	1	1	1	1	1	0.156805268499	1	1	1	1
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	1	1	0.607912383971	1	1	0.236217327265	0.0997749508578	1	1	1	1	1	1	1	1	0.0319954292949	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.511690891522	1	1	1	1
