	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	0	14	16	9	7	29	25	16	7	16	5	8	20	0	25	30	7	14	0	26	0	5	18	14	8	19	11	21	0	11	22	0	24	18	5	0	0
GO_PLASMA_MEMBRANE_REGION	8	19	14	12	11	29	24	0	13	31	7	17	32	30	31	40	7	0	9	35	0	7	38	22	15	20	25	33	0	21	32	27	25	31	9	5	11
GO_POSTSYNAPSE	9	22	12	9	14	35	28	17	14	29	7	13	35	28	31	38	8	9	0	32	7	4	37	22	11	22	23	35	0	21	32	23	25	27	7	7	13
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	2	5	3	0	3	5	8	3	3	7	0	4	6	5	6	10	0	0	0	8	2	2	9	5	2	5	0	7	0	4	9	5	6	8	2	2	3
GO_POSTSYNAPTIC_MEMBRANE	4	8	7	4	6	17	15	7	9	16	4	9	17	15	18	21	4	0	0	18	5	3	21	13	7	11	12	16	0	10	19	18	14	16	3	3	5
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	2	5	4	0	4	6	9	3	4	7	0	4	6	5	7	10	0	0	0	8	2	2	10	5	0	6	0	7	0	4	9	6	6	9	2	2	3
GO_POTASSIUM_CHANNEL_ACTIVITY	0	4	10	3	0	13	10	6	2	11	3	5	8	6	11	15	2	9	3	9	4	0	7	4	3	9	4	9	0	3	11	5	7	6	0	0	5
GO_POTASSIUM_CHANNEL_COMPLEX	0	4	8	3	0	8	10	8	0	10	3	3	8	5	7	12	2	6	0	10	2	0	6	5	3	10	0	5	0	4	8	3	8	5	0	0	4
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	4	10	3	0	13	11	6	0	12	3	5	8	6	12	17	2	9	3	10	4	0	9	4	4	11	6	11	0	4	12	5	7	7	2	0	6
GO_POTASSIUM_ION_TRANSPORT	0	0	11	6	0	16	12	8	4	16	5	6	12	9	16	19	0	10	3	13	5	0	10	7	4	11	9	13	0	7	13	6	9	9	3	0	7
GO_PRESYNAPSE	7	19	10	8	10	30	22	10	8	17	6	7	26	20	26	32	7	11	6	22	0	6	24	14	12	15	14	28	0	17	23	13	22	20	0	0	13
GO_PRESYNAPTIC_MEMBRANE	2	8	3	0	4	9	9	6	4	10	2	4	9	5	8	12	3	0	0	8	0	2	12	5	4	6	4	9	0	6	7	4	7	8	0	0	0
GO_REGULATION_OF_BLOOD_CIRCULATION	3	0	5	5	7	16	11	6	4	11	0	4	11	7	15	20	3	8	4	19	6	3	13	13	0	13	9	13	2	11	17	7	7	10	0	2	0
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0	21	10	11	0	33	0	16	12	20	6	16	30	33	26	32	0	14	0	33	9	0	22	19	0	16	18	25	0	0	22	23	25	25	9	0	0
GO_REGULATION_OF_CELL_DEVELOPMENT	7	21	12	13	17	34	26	20	15	23	9	13	25	31	29	25	8	20	9	37	13	6	29	12	13	21	24	39	0	16	26	21	23	27	11	0	10
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	5	13	9	9	14	29	20	15	9	19	8	13	19	27	19	21	5	13	9	29	12	4	26	12	12	16	17	28	0	14	21	17	19	20	9	0	9
