	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_PERIKARYON	1	1	1	1	1	1	1	1	0.0687184126247	1	1	1
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	1	1	1	1	1	1	1	1	1	1	1	0.165159148792
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	1	1	1	1	1	1	1	1	0.124254626047	1	1	1
GO_POSTSYNAPSE	0.000226546089506	1	1	1	1	1	1	1	0.00710454965378	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	0.431442477741	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.00380109460883	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	0.0687184126247	1	1	1
GO_POTASSIUM_ION_TRANSPORT	1	1	1	1	1	1	1	1	0.0268314694754	1	1	1
GO_PRESYNAPSE	0.0145643185465	0.59577964433	0.0389977574996	1	1	1	1	1	0.0174592878377	1	1	1
GO_REGULATION_OF_BLOOD_CIRCULATION	1	1	1	1	1	1	1	1	0.503934153298	1	1	1
GO_REGULATION_OF_HEART_RATE	1	1	0.918923016275	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	1	0.633113161609	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	1	1	1	1	0.0251345833126	1	1	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	0.378254087165	1	1	1
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	1	1	1	1	0.759688481876	1	1	1	1	1	0.640990392978	1
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	1	1	1	1	1	1	1	1	0.0809410209142	1	1	0.0773513530623
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	0.537933543837	1	1	1	1	1	0.466811035283	1
GO_REGULATION_OF_TRANSPORT	1	1	1	1	1	1	1	1	0.0165595888704	1	1	1
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	1	1	1	1	1	1	1	1.36941203541e-05	1	1	1
GO_SOMATODENDRITIC_COMPARTMENT	0.0136091420998	0.214197474655	0.04219528212	1	1	1	1	1	0.0	1	1	1
GO_SYNAPSE	4.46435689794e-05	0.00313325264143	0.000100469041793	0.0361834049257	1	1	1	0.139717262329	1.12290122889e-05	0.422562835028	1	1
GO_SYNAPSE_ORGANIZATION	1	1	1	1	1	1	1	1	0.452021134859	1	1	1
GO_SYNAPTIC_MEMBRANE	0.592789302083	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_SIGNALING	0.0169879020802	1	0.0868393000646	1	1	1	1	1	0.0	1	1	1
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	0.135196627803	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	1	0.000162147967907	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	0.00903715208439	1	1	1
GO_TRANSPORTER_COMPLEX	1	1	1	1	1	1	1	1	0.270305348732	1	1	1
GO_TRANSPORT_VESICLE	1	1	1	1	1	1	1	1	0.000196797620043	1	1	1
GO_TRANSPORT_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	0.0304296371405	1	1	1
GO_UROGENITAL_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	0.275448746933	1	1	1	1	1
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0.722730837731	1	1	1	1	1	1	1	0.0579532269455	1	1	1
