	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_NEURON_DIFFERENTIATION	56	20	25	38	62	67	41	14	19	40	10	13	23	24	48	48	55	56	14	28	15	44	25	54	16	31	39	40	12	16	52	15	46	47	65	42	54	11	16	24	31
GO_NEURON_PROJECTION	69	32	35	49	82	87	56	24	25	61	18	21	24	33	63	57	68	84	13	31	24	53	26	66	28	30	55	53	16	17	74	17	59	62	87	55	74	21	13	36	49
GO_NEURON_PROJECTION_GUIDANCE	18	0	5	7	22	21	12	4	6	14	0	3	7	6	17	10	14	12	3	5	0	13	0	17	6	7	9	12	0	6	12	4	14	14	21	13	10	0	4	6	0
GO_NEURON_PROJECTION_TERMINUS	17	4	4	5	14	14	7	3	3	10	2	4	0	5	12	10	8	16	5	4	5	9	3	10	4	4	8	11	0	3	12	6	11	11	14	9	13	4	2	7	8
GO_NEURON_SPINE	12	4	6	8	12	11	10	6	0	9	0	6	0	0	11	12	10	12	0	4	7	9	4	10	5	6	11	11	4	0	16	0	9	9	14	12	11	3	2	4	13
GO_NEURON_TO_NEURON_SYNAPSE	23	9	10	20	22	27	16	9	0	18	8	5	10	8	22	22	21	26	3	8	7	18	0	24	7	12	13	20	7	0	28	4	21	20	30	20	27	12	0	11	20
GO_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION	3	0	2	3	3	4	4	2	0	3	0	3	4	2	3	4	4	5	0	0	0	2	2	4	0	4	3	2	0	2	6	0	5	3	4	2	4	0	0	0	2
GO_NEUROTRANSMITTER_SECRETION	15	6	8	11	17	20	12	4	10	11	6	3	9	6	11	12	18	16	4	4	3	8	4	19	4	6	10	13	4	3	15	4	13	14	17	14	20	6	0	10	6
GO_NEUROTRANSMITTER_TRANSPORT	18	8	10	12	21	23	13	5	11	11	6	3	10	7	14	14	19	18	4	5	4	10	5	21	5	6	12	15	5	0	17	4	15	15	20	16	22	6	0	10	6
GO_PANCREATIC_A_CELL_DIFFERENTIATION	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2	2	0	0	3	0	3	2	0	0	0	0	0	0	0	4	0	0	2	0	2	2	0	0	0	0
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	22	20	16	15	36	32	21	8	7	25	4	8	12	12	24	19	26	31	7	15	16	27	11	22	16	11	23	13	15	12	24	9	22	19	32	17	24	7	0	13	15
GO_PEPTIDE_HORMONE_SECRETION	17	8	9	9	17	23	13	4	7	16	4	0	7	5	20	14	18	21	0	8	0	14	5	10	7	11	14	12	0	0	15	6	14	13	21	15	18	0	0	7	10
GO_PEPTIDE_SECRETION	21	10	11	13	20	27	18	7	8	22	0	0	11	9	26	20	22	27	0	10	0	18	8	14	12	14	19	16	0	0	20	8	17	15	27	21	25	0	4	9	12
GO_PERIKARYON	14	6	5	5	15	14	10	3	6	9	0	0	4	5	9	6	12	12	0	4	3	11	3	11	4	0	9	5	0	0	7	3	10	7	12	10	9	3	2	6	6
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	20	18	13	17	33	34	21	9	10	20	6	8	10	12	25	19	29	34	6	13	9	25	0	21	12	12	26	17	11	10	21	7	21	23	35	25	25	7	0	9	19
GO_PLASMA_MEMBRANE_REGION	30	16	18	31	41	45	31	17	12	36	14	13	27	15	32	35	35	45	0	0	13	28	15	41	18	21	32	34	11	12	38	9	34	31	49	32	45	15	0	21	31
