TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
CDX2	GOLGA8A	-0.23592	36.61	-6.1E-01	rgb( 85,137,240)	1.7123	None
FOS	ALX4	0.23592	36.61	0.606	rgb(224,101,102)	1.7123	None
GFI1	CYB5A	-0.23592	36.61	-6.1E-01	rgb( 84,136,240)	1.7123	None
HOXD1	UGT2B15	0.23592	36.61	0.605	rgb(224,101,103)	1.7123	2,2
INSM1	PRRT4	0.23592	36.61	0.608	rgb(224,101,102)	1.7123	None
MYC	COL21A1	0.23592	36.61	0.61	rgb(224,101,102)	1.7123	None
MYCN	ACOT12	0.23592	36.61	0.61	rgb(224,101,102)	1.7123	None
PAX4	C9orf50	0.23592	36.61	0.606	rgb(224,101,102)	1.7123	None
SOX1	JAM2	0.23592	36.61	0.613	rgb(224,100,101)	1.7123	None
SOX9	RGS5	0.23592	36.61	0.609	rgb(224,101,102)	1.7123	None
TFAP2A	TMOD1	0.23592	36.61	0.606	rgb(224,101,102)	1.7123	None
CEBPD	RNF135	0.23552	36.6	0.596	rgb(224,103,104)	1.7121	None
ETS1	RNF135	-0.23552	36.6	-6.0E-01	rgb( 87,138,240)	1.7121	None
FOXN3	SIM1	-0.23552	36.6	-6.0E-01	rgb( 87,138,240)	1.7121	None
FOXO1	HNMT	0.23552	36.6	0.598	rgb(224,103,104)	1.7121	None
FOXO1	IP6K3	0.23512	36.59	0.585	rgb(223,105,106)	1.7119	None
HOXB2	RASD1	0.23512	36.59	0.595	rgb(224,103,105)	1.7119	None
HOXD4	LRRK1	0.23512	36.59	0.589	rgb(223,105,106)	1.7119	None
IRX2	POM121L9P	0.23512	36.59	0.587	rgb(223,105,106)	1.7119	None
LHX1	STXBP1	0.23512	36.59	0.594	rgb(224,104,105)	1.7119	None
LHX6	EREG	0.23512	36.59	0.592	rgb(224,104,105)	1.7119	None
OSR2	SIM1	0.23512	36.59	0.589	rgb(223,104,106)	1.7119	None
SCRT1	AX747164	-0.23512	36.59	-5.9E-01	rgb( 90,140,239)	1.7119	2,2
ALX1	ALDH1A1	-0.23472	36.58	-5.8E-01	rgb( 92,141,239)	1.7117	None
ARNTL	MID1IP1	-0.23472	36.58	-5.8E-01	rgb( 90,140,239)	1.7117	None
BCL6	FNDC5	0.23472	36.58	0.582	rgb(223,106,107)	1.7117	None
DMBX1	RTEL1	0.23472	36.58	0.577	rgb(223,107,108)	1.7117	None
EBF2	CRMP1	0.23472	36.58	0.582	rgb(223,106,107)	1.7117	None
ELF3	IL23A	-0.23472	36.58	-5.8E-01	rgb( 90,140,239)	1.7117	None
ESRRB	PDE1C	0.23472	36.58	0.578	rgb(223,107,108)	1.7117	None
ETV1	TM4SF1	-0.23472	36.58	-5.8E-01	rgb( 91,140,239)	1.7117	None
GATA2	EBF2	-0.23472	36.58	-5.8E-01	rgb( 91,140,239)	1.7117	None
GATA2	PTGER3	0.23472	36.58	0.583	rgb(223,106,107)	1.7117	None
HOXA10	NEB	-0.23472	36.58	-5.8E-01	rgb( 90,140,239)	1.7117	None
HOXB3	ANKRD36C	0.23472	36.58	0.58	rgb(223,106,107)	1.7117	None
IRX3	MERTK	0.23472	36.58	0.575	rgb(223,107,108)	1.7117	None
LMX1A	HYDIN	0.23472	36.58	0.582	rgb(223,106,107)	1.7117	None
MEF2C	MOXD1	0.23472	36.58	0.58	rgb(223,106,107)	1.7117	None
MYCN	AMBP	0.23472	36.58	0.578	rgb(223,107,108)	1.7117	None
RXRG	GPRIN3	-0.23472	36.58	-5.8E-01	rgb( 91,140,239)	1.7117	None
RXRG	TNFSF15	-0.23472	36.58	-5.8E-01	rgb( 91,140,239)	1.7117	None
SIX2	COL8A1	0.23472	36.58	0.581	rgb(223,106,107)	1.7117	None
DLX2	PRRT4	0.23432	36.57	0.573	rgb(223,108,109)	1.7115	None
ELF5	NCCRP1	-0.23432	36.57	-5.7E-01	rgb( 93,142,239)	1.7115	None
ETV4	PRDM8	0.23432	36.57	0.572	rgb(223,108,109)	1.7115	None
HAND1	IGF2-AS	0.23432	36.57	0.569	rgb(223,108,109)	1.7115	None
ONECUT2	GP2	0.23432	36.57	0.57	rgb(223,108,109)	1.7115	None
SHOX2	DIRAS2	0.23432	36.57	0.571	rgb(223,108,109)	1.7115	None
TFCP2L1	C11orf87	0.23432	36.57	0.569	rgb(223,108,109)	1.7115	None
BACH2	SST	0.23392	36.56	0.558	rgb(223,110,111)	1.7113	None
GLIS3	CHST6	0.23392	36.56	0.559	rgb(223,110,111)	1.7113	None
IRF4	SHISA7	0.23392	36.56	0.556	rgb(223,111,112)	1.7113	None
IRX3	WNT3A	0.23392	36.56	0.564	rgb(223,109,110)	1.7113	None
SPIB	GGN	0.23392	36.56	0.558	rgb(223,111,112)	1.7113	None
TFAP2B	BCL2	0.23392	36.56	0.559	rgb(223,110,111)	1.7113	None
DMBX1	ALDH1A3	-0.23352	36.55	-5.5E-01	rgb( 97,144,238)	1.7111	None
ELF5	BCHE	-0.23352	36.55	-5.5E-01	rgb( 98,145,238)	1.7111	None
FOS	ADCY9	-0.23352	36.55	-5.5E-01	rgb( 98,144,238)	1.7111	None
FOS	IGFN1	-0.23352	36.55	-5.5E-01	rgb( 98,145,238)	1.7111	None
HOXD4	GPR37L1	-0.23352	36.55	-5.5E-01	rgb( 97,144,238)	1.7111	None
HOXD4	HS3ST3B1	0.23352	36.55	0.548	rgb(223,112,113)	1.7111	None
LHX1	LOC100130476	0.23352	36.55	0.551	rgb(223,112,113)	1.7111	2,2
MAFA	TAP1	0.23352	36.55	0.55	rgb(223,112,113)	1.7111	None
PITX1	HTR7	0.23352	36.55	0.553	rgb(223,111,113)	1.7111	None
ASCL1	TNFSF8	0.23312	36.54	0.54	rgb(223,114,115)	1.7109	None
EGR3	KCNN2	0.23312	36.54	0.536	rgb(223,115,116)	1.7109	None
ETV1	KCNG2	0.23312	36.54	0.542	rgb(223,113,115)	1.7109	None
ETV5	SPIB	0.23312	36.54	0.545	rgb(223,113,114)	1.7109	None
FOXC2	IL31RA	-0.23312	36.54	-5.4E-01	rgb( 99,145,238)	1.7109	None
FOXO1	KCNB2	-0.23312	36.54	-5.4E-01	rgb(100,146,238)	1.7109	None
HOXD4	BC069815	-0.23312	36.54	-5.4E-01	rgb(100,146,238)	1.7109	2,2
HOXD4	FOSL1	0.23312	36.54	0.544	rgb(223,113,114)	1.7109	None
MNX1	GALNT18	0.23312	36.54	0.536	rgb(223,115,116)	1.7109	None
RXRG	SH3RF3-AS1	-0.23312	36.54	-5.4E-01	rgb(101,146,237)	1.7109	None
SP5	RGS17	0.23312	36.54	0.538	rgb(223,114,115)	1.7109	None
ALX1	FNDC1	-0.23273	36.53	-5.3E-01	rgb(102,147,237)	1.7107	None
