	genes
GPC6	4
AK096291	8
CR627225	3
RAB4B-EGLN2	4
SEZ6L	4
GDAP1L1	3
ANKFN1	1
AK096592	6
CRIP2	1
GUCY1A3	3
SYN1	1
SUMO1P3	4
AK097119	1
MGC4836	1
AK094909	8
PITRM1-AS1	0
VN1R1	7
AX748283	1
PBOV1	5
AK057681	6
LOC151009	6
CCL19	1
KCNK3	1
SCUBE1	5
AK128400	6
FOXD4L2	8
CNTNAP4	3
BC040563	6
LINC00514	3
BC040733	6
FAM167A	0
MAGEA5	8
LOC595101	0
NBPF10	7
TCL6	6
AK055386	3
NOV	3
TCP11X2	3
LOC399715	4
TMEM212	1
ARC	1
DIRAS1	3
GAST	3
TMEM56-RWDD3	0
AK311257	3
JX088243	6
AX747756	6
NPY	3
CATSPERB	1
GPR64	3
BC041025	6
IL11	6
USP32P2	2
ENPP7	4
KCNA6	3
ARHGEF25	3
BST2	6
GPR116	4
DQ598910	8
WISP1	3
CHRNA3	3
LOC731275	7
PODN	4
FHL1	3
AX746640	6
AK125871	5
RNF150	4
SPDYE7P	4
SERF2-C15ORF63	8
HLA-DQA2	3
AK131337	0
BC068238	6
TBC1D3C	6
SULT2A1	2
CADPS	5
NXF2	3
AX747590	8
DNAH11	6
DEFB1	0
RBP2	7
LOC646214	6
SNX29P2	6
WDR96	8
AF420437	7
LOC100132215	6
LOC100862671	1
AF086126	1
PCDH17	3
AK091275	8
LPPR3	3
FAM135B	4
CDH22	1
AK091729	8
AK095242	8
PLCE1-AS1	2
DQ573539	6
AK057596	6
TTC18	2
BC073807	1
WHAMMP1	1
AK094156	0
AK094916	6
LOC100216546	6
FAM57B	3
BC029255	6
SMOC1	5
MCM3AP-AS1	1
CACNG6	1
ARHGEF26-AS1	5
FAM157A	7
ECEL1	3
APOC3	1
AK024119	3
AX747264	7
CR933660	7
AB007962	2
ADAM20P1	8
AK024092	5
LOC90834	6
BC107568	5
STMN4	4
CCDC85B	1
AX747850	8
AF289551	0
EFCC1	5
AL831889	6
LOC729603	6
NR2F2-AS1	6
AX746867	6
HV535487	7
FAM95B1	0
AK123889	6
AX746823	6
AX747819	8
LOC727896	8
AK125437	3
AX746605	8
AX747619	4
FKBP1A-SDCBP2	8
AX746677	8
ANKRD36B	6
TSSK4	4
FKSG51	6
LOC100271836	0
LOC100190986	8
TRO	7
MUC3A	8
AK024248	0
AK126532	8
APOA4	6
AK055017	6
GOLGA6L9	6
AL832439	1
AK025664	6
BC022892	6
IGF2	3
MX2	4
DQ570835	8
LOC100131257	0
BX537634	7
BC040358	8
FLJ00278	1
TACR3	3
LOC100506123	8
IFNE	6
AK126180	3
AF086346	6
AL832937	6
AK026392	6
AK027840	6
AK293147	6
BC041654	6
E10222	6
DQ588114	6
AK097012	6
SYT2	5
N4BP2L2-IT2	8
MIR29C	0
AK055257	6
LOC286437	1
LOC440434	1
AL832212	6
PRKD1	0
AK309215	4
AX748371	8
AK128559	8
AK125858	2
BC150585	8
LOC100505716	3
HIF1A-AS2	7
AX747648	8
AX747393	8
LOC100272216	5
AK095546	6
LOC100288069	8
AX747140	7
AK090844	1
TAS2R20	6
AX746775	6
AK124197	4
AL137655	7
DQ571357	1
LOC441081	8
AX748336	8
AK128593	7
AX747535	1
LOC100294362	8
AX747639	8
BX648496	6
FW340055	8
AF198444	5
AK310876	8
BC073932	3
S100G	0
AK123654	6
SPDYE6	6
ZNF788	4
SPDYE8P	6
AK128656	7
AX748379	6
AK124970	6
AK126286	5
LOC642776	7
AK125301	8
BX641154	8
AX747179	4
ANKRD20A9P	5
