	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_NEURON_PROJECTION	39	88	50	51	69	116	120	93	47	42	89	27	32	41	17	40	98	89	113	130	16	50	40	87	41	11	105	59	50	86	80	26	27	30	97	5	20	92	98	131	85	9	111	27	20	56	70
GO_NEURON_PROJECTION_GUIDANCE	6	18	0	9	13	29	25	18	0	11	20	0	6	13	4	9	20	15	19	17	4	8	0	22	8	3	22	9	12	12	17	7	0	8	17	0	4	16	20	29	17	0	20	0	4	9	0
GO_NEURON_PROJECTION_TERMINUS	6	18	7	7	7	16	18	12	7	5	10	4	4	0	3	8	16	13	13	20	5	7	8	15	6	0	16	9	7	13	13	7	4	5	14	0	6	15	16	19	15	2	18	4	3	7	12
GO_NEURON_SPINE	5	15	8	10	11	16	17	18	11	0	13	0	8	6	0	0	19	18	19	20	0	0	8	14	7	0	17	13	8	16	16	4	5	4	20	0	0	14	15	23	17	0	15	4	3	8	16
GO_NEURON_TO_NEURON_SYNAPSE	12	30	15	16	29	28	36	25	15	11	24	8	8	15	0	10	32	32	33	36	4	9	7	28	10	3	36	19	20	21	26	8	9	0	33	0	5	30	33	41	25	0	39	14	0	14	28
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	4	6	4	5	0	0	8	7	0	0	9	0	5	4	2	6	13	0	8	13	4	4	0	5	5	2	7	4	0	9	6	3	0	0	0	0	7	11	8	13	8	3	12	3	0	8	5
GO_NEUROTRANSMITTER_SECRETION	9	17	10	12	13	19	23	16	7	10	13	8	0	10	6	6	14	17	23	20	4	6	5	12	7	3	23	7	7	14	14	0	4	0	17	0	4	18	19	22	19	4	24	7	0	12	9
GO_NEUROTRANSMITTER_TRANSPORT	9	23	12	15	15	24	27	18	9	11	15	8	0	12	6	8	18	20	26	25	4	9	7	16	9	3	26	9	9	17	17	4	6	0	19	0	4	22	22	27	22	5	27	7	0	13	9
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9	32	27	24	26	57	58	38	19	15	43	7	12	19	8	19	41	32	46	51	10	23	22	40	17	5	32	29	22	36	19	7	20	16	31	0	14	40	36	55	44	4	40	11	0	22	27
GO_PEPTIDE_HORMONE_SECRETION	5	23	11	14	14	23	32	23	10	10	22	5	0	10	4	8	29	21	29	29	0	12	0	18	10	0	19	13	17	22	17	0	5	6	18	0	6	22	22	28	24	5	26	0	4	11	18
