	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
172	ASCL1	PYY	0.6281510648274499	ASCL1->MYT1->ARX->LMX1A->PYY	5	-0.3518491046520351	ASCL1->MYT1->ARX->MAFB->HHEX->ETV1->RFX6->LMX1A->PYY	9
173	ASCL1	SCT	0.5129156546511361	ASCL1->MYT1->ARX->SCT	4	-0.40222302142880656	ASCL1->MYT1->ARX->FEV->SPIB->RFX6->TFCP2L1->SCT	8
174	ASCL1	NTS	0.5381671542434479	ASCL1->MYT1->ARX->LMX1A->NTS	5	-0.31162946273729164	ASCL1->MYT1->ARX->LMX1A->ETV1->SPIB->RFX6->GATA2->NTS	9
175	ASCL1	GAST	0.49184445097802143	ASCL1->MYT1->ARX->LMX1A->GAST	5	-0.2860049607103727	ASCL1->MYT1->ARX->LMX1A->ETV1->SPIB->RFX6->INSM1->GAST	9
176	DACH1	GCG	0.05680405125031981	DACH1->PAX4->FEV->SPIB->RFX6->MYT1->ARX->GCG	8	-0.09827558483543243	DACH1->PAX4->FEV->SPIB->RFX6->GATA2->GCG	7
177	DACH1	SST	0.1079821737869888	DACH1->PAX4->FEV->SPIB->RFX6->HHEX->ETV1->SST	8	-0.09939208927878829	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->SST	9
178	DACH1	GHRL	0.13584768526566	DACH1->PAX4->FEV->GHRL	4	-0.08362313282134914	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->GHRL	9
179	DACH1	GIP	0.1373378004	DACH1->PAX4->GIP	3	-0.0986006804436631	DACH1->PAX4->FEV->SPIB->RFX6->MYT1->ARX->GIP	8
180	DACH1	TPH1	0.11068383000352973	DACH1->PAX4->FEV->SPIB->RFX6->LMX1A->TPH1	7	-0.09599167827650096	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->HHEX->TPH1	8
181	DACH1	TAC1	0.10834938193244767	DACH1->PAX4->FEV->SPIB->RFX6->TAC1	6	-0.06253194609354411	DACH1->PAX4->FEV->ISL1->ETV1->SPIB->RFX6->TAC1	8
182	DACH1	CCK	0.07215646692982663	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->CCK	12	-0.10223191772471908	DACH1->PAX4->FEV->SPIB->RFX6->LMX1A->CCK	7
183	DACH1	PYY	0.11326270873994661	DACH1->PAX4->FEV->SPIB->RFX6->LMX1A->PYY	7	-0.07994212648522438	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->PYY	12
184	DACH1	SCT	0.08783827158711788	DACH1->PAX4->FEV->SPIB->RFX6->MYT1->ARX->SCT	8	-0.08603688700572047	DACH1->PAX4->FEV->SPIB->RFX6->TFCP2L1->SCT	7
185	DACH1	NTS	0.09910161410029333	DACH1->PAX4->FEV->SPIB->RFX6->GATA2->NTS	7	-0.06849025516901887	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->NTS	12
186	DACH1	GAST	0.09095273918622691	DACH1->PAX4->FEV->SPIB->RFX6->INSM1->GAST	7	-0.06259496085060605	DACH1->PAX4->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->ISL1->ARX->LMX1A->GAST	12
