	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTIN_FILAMENT_BASED_PROCESS	1	1	0.03479197237253073	1	1	1	0.0059040623905628475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06889015966327117	1	0.060227965698149366	1	1	1	1	0.08696074052295977	0.02642772783976044	1	1	1	1	0.05148317530944757	1	1	1	0.06479148749185148
GO_ACTIN_FILAMENT_ORGANIZATION	1	1	1	1	1	1	0.0603532279863086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09347662538356527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_MEDIATED_CELL_CONTRACTION	1	1	0.015634398261775928	1	1	1	0.026900825299479014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06828684509851268	1	1	1	1	0.0025563667723892403	0.048160333453798554	1	1	1	1	1	1	1	1	0.004461873032062358
GO_ACTION_POTENTIAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0832694773768956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03160639051582803	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01972520353248619
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	0.046953365096849886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0008800411674325659	1	1	1	1	1	0.0007328065501880365
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	1	1	1	1	1	0.033732992535586925	1	1	1	1	1	1	1	1	1	1	0.0987513693852361	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009736499268196197	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06598931245277373	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.003547945821270382	1	1	1	1	1	1	1	1	1	0.005964524321526166	1	1	1	1	1	1	1	1
GO_ADHERENS_JUNCTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0023616322145917357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010179334702108966
GO_ADHERENS_JUNCTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016797101924743485	1	1	1	1	1	1
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0037530715932552194	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.00635937596073477	0.00015011398967768042	1	1	1	1	1	1	1	0.02038031722964906	1	1	1	1	1	1.94692713967326e-05	1	1	1	1	1	1	1	0.007036797381292592	0.014576646015367678	1	1	1	1	1	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	0.0019560641577550664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.473590438258128e-05	1	1	1	1	1	1	1	0.0012834828108696517	0.004569811696356174	1	1	1	1	1	1	1	1
GO_AEROBIC_RESPIRATION	1	1	0.008069599234224789	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03684440168906278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AGING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0927877703269624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	0.00949640879073499	1	1	1	1	1	0.0012065532167389037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016189665755445115	1	1	1	1	1	1	1	0.07974485387700114	1	1	0.012646602557700226	1	1	1	1	1	1
GO_ALCOHOL_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0764393017511521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1	1	1	1	1	0.013400445796833083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_BETA_T_CELL_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04563195345360127	1	1	1	1	0.06940783385074412	1	1	1	1	1	1
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025433859221861366	1	1	1	1	1	1	1	1	1	1	1
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	0.034904312416743855	1	1	1	1	1	1	1	1	1	0.0009416634473710106	0.0013781040408671341	0.09558121012049337	1	1	1	1	1	1	1	1	1	1	1	1	0.023629929289753604	1
GO_AMINE_TRANSPORT	1	1	1	1	1	1	0.017942301921676562	1	0.002624875230781698	1	2.598992889457641e-06	1	0.004218031501673103	1	1	1	1	1	1	1	1	0.004671080154456497	1	1	0.046531945082430415	1	1	1	1	1	0.00018262114799283413	1	1	0.03470961156864627	1	1	1	1	1	1
GO_AMINO_ACID_IMPORT	1	1	1	1	1	1	0.003928729283602772	1	1	1	1	1	0.000888533652412149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007315649057668905	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	1	0.004048289501512703	1	1	1	1	0.015624156392679556	1	1	1	1	1	0.0036547693439749063	1	1	1	1	1	1	1	1	1	0.00534076742904821	1	0.04077575299292335	1	1	1	1	1	0.02840831277171252	1	1	0.030345613049385323	1	1	1	1	1	1
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004267906296569257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_TRANSPORT	1	0.011237582664513579	1	1	1	1	0.00412500216646694	1	1	1	1	1	0.010167396253476735	1	1	1	1	1	1	1	1	1	0.014728746615475297	1	1	1	1	1	1	1	0.07316466097248964	1	1	0.011055835490265342	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1	1	1	1	1	1	1	1	0.011795828020081722	1	1	1	1	0.007987347820213375	1	0.004540939357704721	0.04110523699412216	1	1	1	1	1	0.051599868079891364	0.00048456449381450994	0.00021815667080760104	0.0384562114278818	1	1	1	1	1	1	1	0.024317535732002016	0.06616370689051276	1	0.010684842800202432	1	1	1
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	1	1	1	1	1	1	1	0.06315230923594783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03887654437599253	1	1	0.033180188710520975	1	1	1	1	1	1	0.04977935841596115	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_MATURATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.054193719790990524	1	1	0.008938565045847335	1	1	1	1	1	1	0.0006326420861479942	1	1	1	1	0.0033346412687167426	1
GO_ANATOMICAL_STRUCTURE_REGRESSION	1	1	1	1	1	1	1	1	1	1	1	1	1	2.460552981919939e-06	1	1	1	1	1	1	1	1	1	1	0.0017566581324025554	1	1	1	0.0007961852114755086	1	0.0011876945357923718	1	1	1	1	1	1	1	1	1
GO_ANCHORED_COMPONENT_OF_MEMBRANE	1	1	1	1	1	1	0.005326970316293034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.060425648980880875	1	0.012842657589032247	1	1	0.001637817737261127	1	1	1	1	1	1
GO_ANCHORING_JUNCTION	1	1	0.03858319415532119	1	1	1	1	1	1	1	1	1	1	1	1	1	0.042841169324205786	1	1	1	1	1	1	1	0.06839965713614626	1	0.09204488030256863	1	1	1	1	1	1	1	1	1	1	1	1	0.006657400852223994
GO_ANIMAL_ORGAN_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.023402127585039456	0.05543850340951284	0.006839730828437696	1	1	1	1	1	1	0.0002407930329475505	0.08159490074815812	1	1	1	0.03903223540094369	1	1	1	1	0.03982562888270902	0.05493616054053718	1	0.00802273137905285	1	0.0021933997233382074	1
GO_ANION_CHANNEL_ACTIVITY	1	1	1	1	1	1	0.014054295670074324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANION_TRANSMEMBRANE_TRANSPORT	1	0.041674207096905835	1	1	1	1	0.00046470879675475363	1	1	0.041341626829972	1	1	0.03790773752239218	1	0.041674207096905835	0.0669002070294531	1	1	1	1	1	1	0.05375510308161724	1	0.02398449792726276	1	1	1	1	1	0.012412496812224338	1	1	1	1	1	1	1	1	1
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	0.03758024848890518	1	1	0.056177487652898206	1	1	1	1	1	0.08308330316083845	1	1	1	1	1	1	0.06703374064316026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANION_TRANSPORT	1	1	1	1	1	1	0.002292058939261765	1	1	0.07746228980644299	1	1	1	1	1	1	1	1	1	1	1	1	0.043020718666773816	1	0.08042704426788527	1	1	1	1	1	0.011230992180886856	1	1	1	1	1	1	1	1	1
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005142856368849036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANTIBACTERIAL_HUMORAL_RESPONSE	1	1	1	1	1	1	1	1	1	0.009113893046499122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANTIGEN_BINDING	1	1	1	1	1	1	1	1	1	0.05868993942404954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	1	1	1	1	1	1	1	1	1	0.04402770040731285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AORTA_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004180504126525819	0.001192119178791251	0.0019260717739146838	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AORTA_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0014408726964653118	0.00024258910108876375	0.0006581725610668165	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_APICAL_JUNCTION_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08846977097188058	1	1	1	1	1	1	1	1	0.008732754553187783	1	1	1	1	1	1
GO_APOPTOTIC_PROCESS	1	1	1	1	1	1	1	1	1	0.04913158187598354	1	1	1	1	1	1	0.035792584333680044	1	1	1	1	1	1	1	1	1	0.028636794928773357	1	1	1	1	1	1	0.06568894743595621	1	1	0.04155955856727722	1	1	1
GO_APOPTOTIC_SIGNALING_PATHWAY	1	1	1	1	1	1	0.008338693594988844	1	1	1	1	1	0.021127625143383066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ARTERY_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.011667245993209785	0.00043857739423158737	0.005453069886616646	1	1	0.023680151833938456	1	1	1	1	1	1	1	1	1	1	0.030970994357194526
GO_ARTERY_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006456810928116341	0.0001345748966653515	0.0029901421596191247	1	1	0.013273404908124786	1	1	1	1	1	1	1	1	1	1	1
GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002299199790326001	1	1	0.002467141946421725	1	1	1	1	1	1
GO_ASSOCIATIVE_LEARNING	1	1	1	1	1	1	0.010861397353145952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0013335435492073389	1	1	1	1	1	1	1	1	1
GO_ATPASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010403595532170407	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ATP_METABOLIC_PROCESS	1	1	0.0840049882826045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09396958488431106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXIS_ELONGATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0010586964058971748	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.495538903102279e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXIS_SPECIFICATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008792260512882732	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	1	1	8.916607954434497e-05	1	1	1	1	1	1	0.015242016236082234	1	1	1	1	1	0.08336494092084967	1	1	1	1	0.0004155622164324635	0.0398475039523456	1	1	1	1	1	1	1	0.035984731297096006	1	1	0.04105989234367935	1	1	1	0.020749023172113357	0.008883435292986852	0.029132139552597747
GO_AXONOGENESIS_INVOLVED_IN_INNERVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.615477443601577e-05	3.739557449766728e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON_DEVELOPMENT	1	1	0.048465598573334545	0.012296763552329892	1	1	0.09679361286544497	1	1	1	1	1	1	1	1	0.033620194582162144	0.0014498982217431289	1	1	1	1	1.1721546860687937e-05	1	0.052600755859842696	1	1	1	1	1	1	0.003889530754470183	1	1	1	1	1	1	0.012399580717138536	1	0.05433167093053726
GO_BASIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0007641525879524824	1	1	1	1	1	1
GO_BASIC_AMINO_ACID_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001422366361204519	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	0.015133257516056986	1	0.09836058942352444	0.010608144148564147	1	1	1	1	1	1	1	0.07256356989955859	1	1	1	1	1	0.005321456082688636	1	1	1	1	1	1	1	0.0016068180684802869	1	1	0.008783790781366596	1	1	0.02436276619294464	1	1	0.08029475115237361
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	1	1	1	1	1	1	1	1	1.1842680622931034e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_BILE_ACID_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	0.003670321743470706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_BILE_ACID_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	0.006111452667201034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	0.03682273430091809	1	1	1	1	1	1	1	1	1	1	0.08529533081959628	1	1	1	1	0.06250074867165034	1	0.08529533081959628	0.0004811284928843973	0.07269810779573393	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0017011870159608922
GO_BLASTOCYST_DEVELOPMENT	1	1	1	1	1	1	1	1	0.002891632258019361	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03796718857868664	1	1	1	1	1	1
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.036917767817539415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_BLOOD_VESSEL_MATURATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0003287788926121804	1	1	1	1	1	1	1	1	0.00023782100183911137	1	1	1	1	1	1
GO_BLOOD_VESSEL_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.003716628888836837	1	0.06814126762896056	1	1	1	1	1	1	1	0.025614231448318314	0.0007208826788057676	0.03982384508801229	1	1	0.08170552929540575	1	1	1	1	0.05712878018665979	1	1	0.0023865157325797526	1	1	1
GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006947792081515969	1	1	1	0.0031920526906490387	1	1	1	1	1	1	1	1	1	1	1
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05078263793703841	1	0.0723552369769005	1	1	0.07697107180399443	1	1	1	1	1	0.0656102813067867
GO_B_CELL_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01456967374678042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002724123489750818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_B_CELL_DIFFERENTIATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001364684653133108	1	1	1	1	1	1	1	0.0822412257582591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005185725962757903	0.022759327245101213	0.0023949406178823684	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020282005891309907	1	0.06768188034211597	1	1	1	1	1	1	1	1	0.0007064673249245201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004888222648289697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08533790444523315	1	1	1	0.0423141800098763	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08936127630413182	0.02325704909528714	1	1	1	0.005953012277141401	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_MEDIATED_SIGNALING	1	1	0.04650615024707416	1	1	1	0.07743976355940463	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALMODULIN_BINDING	1	0.018000477374166213	1	1	1	1	0.06461299049197988	1	1	1	1	1	0.016310550775209376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.003675651887203424	1	1	1	1
GO_CAMERA_TYPE_EYE_DEVELOPMENT	1	1	1	1	1	1	1	0.03391999264619994	0.02678455417194292	0.047072624240601324	1	1	1	0.0014607041557546108	0.045820274744069134	0.009816550642968824	0.00017292760424036935	1	1	1	1	1	0.0005906982492600577	0.0018835192242045995	0.0010297988574637928	1	1	1	0.007388264052727966	1	0.0025282239792294714	0.009816550642968824	0.007732227816051429	0.07509062911330511	0.005865650852152182	1	1	1	0.008794356481548693	1
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	0.037303300883277046	1	1	1	1	1	0.012246741987356535	0.0010479329639233592	1	1	1	1	1	1	0.017157467036721163	0.009430871455773815	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CANONICAL_WNT_SIGNALING_PATHWAY	1	1	1	0.01992185767314114	1	1	0.03298970757934816	1	1	1	1	1	1	1	1	1	0.016839475505591728	1	1	1	1	1	1	1	0.03030318155223921	0.05198167460877601	1	1	1	1	1	0.07600555081219951	1	1	1	1	1	1	0.07095802986501298	0.013113630531593312
GO_CARBOHYDRATE_CATABOLIC_PROCESS	1	1	0.038524641350350386	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	1	1	1	1	1	1	0.0612540346109115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARBOHYDRATE_HOMEOSTASIS	1	1	1	0.06613194382677201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARBOHYDRATE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03296683727306915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.019720473739875066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARBOXYPEPTIDASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004528113158698166	1	1	1	1	0.007177438161232175	1	1	1	1	1	1
GO_CARDIAC_ATRIUM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0015241040061962918	0.00026398626832524474	0.0006964312589016197	1	1	1	1	1	1	1	1	1	1	1	1	1	1
