TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
CDX2	C3orf58	0.78178	50.89	0.893	rgb(227, 47, 48)	1.9978	2,2
RARB	C3orf58	0.2114	40.33	0.325	rgb(221,155,156)	1.7866	2,2
SATB2	C3orf58	0.58981	50.27	0.265	rgb(220,166,167)	1.9854	2,2
FOXC2	C5orf46	0.19461	48.5	0.5	rgb(222,122,123)	1.95	None
SATB2	C8orf47	0.16493	48.23	0.23	rgb(220,173,174)	1.9446	2,2
FOXC2	C9orf50	-0.62379	50.57	-5.7E-01	rgb( 92,141,239)	1.9914	None
FOXC2	CA8	0.00084295	47.03	0.025	rgb(217,212,212)	1.9206	None
SATB2	CACNA2D3	0.2947	48.87	0.867	rgb(227, 51, 53)	1.9574	None
FOXC2	CACNG7	0.55921	49.98	0.977	rgb(228, 30, 32)	1.9796	None
RARB	CADM2	-0.40722	44.41	-4.1E-01	rgb(127,162,233)	1.8682	None
RARB	CADPS	-0.54187	46.77	-7.7E-01	rgb( 50,116,246)	1.9154	None
TBX3	CALB1	-0.36188	43.49	-4.9E-01	rgb(110,152,236)	1.8498	None
RARB	CALB2	-0.5856	50.19	-1.9E-01	rgb(177,193,224)	1.9838	None
FOXC2	CALCRL	0.11079	47.86	0.859	rgb(226, 53, 55)	1.9372	None
RARB	CALCRL	-0.33707	42.86	-8.6E-01	rgb( 29,103,250)	1.8372	None
TBX3	CALHM3	-0.55921	49.98	-9.8E-01	rgb(  4, 87,254)	1.9796	None
FOXC2	CAMK2N2	-0.084185	47.75	-7.5E-01	rgb( 55,119,245)	1.935	None
FOXC2	CAMKV	0.30284	48.89	0.89	rgb(227, 47, 49)	1.9578	None
RARB	CARNS1	-0.4295	49.69	-6.9E-01	rgb( 67,126,243)	1.9738	None
SATB2	CASR	-0.33747	48.97	-9.7E-01	rgb(  6, 88,254)	1.9594	None
FOXC2	CATSPERG	-0.67711	50.75	-7.5E-01	rgb( 54,118,246)	1.995	None
RARB	CATSPERG	0.7072	49.52	0.519	rgb(223,118,119)	1.9704	None
CDX2	CAV2	-0.63522	48.52	-5.2E-01	rgb(104,148,237)	1.9504	None
RARB	CBLN1	-0.6516	50.68	-6.8E-01	rgb( 69,127,243)	1.9936	None
RARB	CBLN2	-0.76287	49.83	-8.3E-01	rgb( 38,108,248)	1.9766	None
FOXC2	CCBE1	0.78761	50.9	0.895	rgb(227, 46, 48)	1.998	None
TBX3	CCBE1	-0.011985	35.46	-4.6E-01	rgb(117,156,235)	1.6892	None
FOXC2	CCDC173	0.94964	50.99	0.985	rgb(228, 29, 31)	1.9998	None
TBX3	CCDC173	-0.55921	49.98	-9.8E-01	rgb(  3, 87,254)	1.9796	None
SATB2	CCDC3	-0.42408	49.67	-6.7E-01	rgb( 72,129,242)	1.9734	None
FOXC2	CCDC50	0.4681	49.81	0.81	rgb(226, 62, 64)	1.9762	None
TBX3	CCDC50	-0.83463	50.6	-6.0E-01	rgb( 86,137,240)	1.992	None
FOXC2	CCDC80	-0.19461	48.5	-5.0E-01	rgb(108,151,236)	1.95	None
SATB2	CCDC80	0.56592	47.46	0.461	rgb(222,129,130)	1.9292	None
FOXC2	CCDC83	0.61752	50.54	0.543	rgb(223,113,114)	1.9908	None
SATB2	CCDC83	-0.00032985	35.27	-2.7E-01	rgb(158,181,227)	1.6854	None
TBX3	CCND1	-0.13234	38.41	-4.1E-01	rgb(129,163,232)	1.7482	None
TBX3	CCNE2	-0.56636	49.99	-9.9E-01	rgb(  3, 87,254)	1.9798	None
RARB	CD163	-0.74818	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	None
TBX3	CD163	0.82833	50.93	0.931	rgb(227, 39, 41)	1.9986	None
FOXC2	CD36	0.36243	49.15	0.146	rgb(219,189,189)	1.963	None
SATB2	CD36	-0.68122	50.76	-7.6E-01	rgb( 52,117,246)	1.9952	None
FOXC2	CD82	0.11614	47.88	0.876	rgb(227, 50, 51)	1.9376	None
FOXC2	CDC20B	0.42107	45.82	0.819	rgb(226, 60, 62)	1.8964	None
FOXC2	CDH13	0.21008	48.59	0.586	rgb(223,105,106)	1.9518	None
RARB	CDH9	-0.43735	44.8	-8.0E-01	rgb( 44,112,247)	1.876	None
RARB	CDHR1	0.28891	41.81	0.815	rgb(226, 61, 63)	1.8162	None
FOXC2	CDKN2B	-0.44398	49.74	-7.4E-01	rgb( 56,119,245)	1.9748	None
CDX2	CDX2	0.79447	50.35	0.355	rgb(221,149,150)	1.987	None
RARB	CDX2	0.91552	50.79	0.792	rgb(226, 66, 67)	1.9958	None
FOXC2	CEACAM1	0.75609	50.87	0.87	rgb(227, 51, 53)	1.9974	None
FOXC2	CEACAM6	-0.94327	50.84	-8.4E-01	rgb( 35,107,249)	1.9968	None
RARB	CEACAM6	-0.81187	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
SATB2	CEACAM6	-0.061939	36.6	-6.0E-01	rgb( 87,138,240)	1.712	None
CDX2	CEBPA	0.94085	50.83	0.834	rgb(226, 58, 59)	1.9966	None
FOXC2	CEBPA	-0.75609	50.87	-8.7E-01	rgb( 29,102,250)	1.9974	None
RARB	CEBPA	0.55023	47.11	0.11	rgb(218,196,196)	1.9222	None
RARB	CEBPA-AS1	0.78369	50.17	0.171	rgb(219,184,185)	1.9834	2,2
SATB2	CEBPA-AS1	0.36163	49.14	0.142	rgb(219,190,190)	1.9628	2,2
FOXC2	CEBPD	-0.65831	50.7	-7.0E-01	rgb( 66,125,243)	1.994	None
TBX3	CELA3B	-0.46502	49.8	-8.0E-01	rgb( 44,112,247)	1.976	None
FOXC2	CFC1	-0.25197	48.75	-7.5E-01	rgb( 54,118,246)	1.955	None
TBX3	CFC1	0.3878	49.46	0.459	rgb(222,129,130)	1.9692	None
FOXC2	CGA	-0.08796	47.77	-7.7E-01	rgb( 51,116,246)	1.9354	None
RARB	CGB7	-0.024519	47.35	-3.5E-01	rgb(141,171,230)	1.927	None
FOXC2	CHL1	0.92054	50.98	0.976	rgb(228, 31, 33)	1.9996	None
RARB	CHL1	-0.055195	36.5	-5.0E-01	rgb(110,152,236)	1.71	None
FOXC2	CHRM1	-0.22672	48.66	-6.6E-01	rgb( 74,130,242)	1.9532	None
FOXC2	CHST8	-0.22001	48.63	-6.3E-01	rgb( 79,133,241)	1.9526	None
RARB	CHSY3	0.55144	47.21	0.209	rgb(219,177,177)	1.9242	None
FOXC2	CIDEA	0.68649	50.77	0.768	rgb(225, 70, 72)	1.9954	None
CDX2	CKB	0.93487	50.89	0.89	rgb(227, 47, 49)	1.9978	None
FOXC2	CKB	-0.64222	50.65	-6.5E-01	rgb( 77,132,242)	1.993	None
RARB	CKB	0.49914	46.24	0.241	rgb(220,171,171)	1.9048	None
TBX3	CLDN5	0.012461	47.2	0.205	rgb(219,178,178)	1.924	None
FOXC2	CLRN3	-0.66876	50.73	-7.3E-01	rgb( 58,120,245)	1.9946	None
FOXC2	CLVS1	-0.43438	49.71	-7.1E-01	rgb( 63,123,244)	1.9742	None
FOXC2	CMSS1	0.79963	50.91	0.905	rgb(227, 44, 46)	1.9982	None
RARB	CMSS1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
TBX3	CMSS1	-0.89841	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
RARB	CNGA3	-0.55921	49.98	-9.8E-01	rgb(  4, 88,254)	1.9796	None
TBX3	CNN1	-0.81964	50.52	-5.2E-01	rgb(103,148,237)	1.9904	None
TBX3	CNTNAP1	0.89841	50.97	0.966	rgb(228, 33, 34)	1.9994	None
SATB2	CNTNAP3	0.38417	48.41	0.784	rgb(226, 67, 69)	1.9482	None
CDX2	COL14A1	0.80924	50.49	0.491	rgb(222,123,124)	1.9898	None
FOXC2	COL14A1	0.86648	50.68	0.676	rgb(224, 88, 89)	1.9936	None
RARB	COL14A1	0.88811	50.73	0.73	rgb(225, 78, 79)	1.9946	None
FOXC2	COL21A1	0.0089793	35.41	0.412	rgb(222,138,139)	1.6882	None
RARB	COL4A4	0.10548	47.84	0.842	rgb(226, 56, 58)	1.9368	None
TBX3	COL6A3	0.52172	49.92	0.917	rgb(227, 42, 44)	1.9784	None
RARB	COL9A2	-0.39205	49.49	-4.9E-01	rgb(110,152,236)	1.9698	None
FOXC2	COMP	-0.27348	41.56	-5.6E-01	rgb( 96,144,238)	1.8112	None
RARB	COMP	0.14484	47.98	0.985	rgb(228, 29, 31)	1.9396	None
FOXC2	COTL1	-0.59183	50.29	-2.9E-01	rgb(153,178,228)	1.9858	None
RARB	CPB1	0.28268	48.84	0.839	rgb(226, 57, 58)	1.9568	None
FOXC2	CPED1	-0.47653	49.83	-8.3E-01	rgb( 37,108,248)	1.9766	None
FOXC2	CPN1	-0.045593	47.54	-5.4E-01	rgb( 99,145,238)	1.9308	None
RARB	CPN1	0.87293	50.71	0.712	rgb(225, 81, 82)	1.9942	None
CDX2	CPXM2	0.94327	50.84	0.95	rgb(227, 36, 37)	1.9968	None
FOXC2	CRH	-0.81187	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
RARB	CRIP2	-0.97544	50.89	-8.9E-01	rgb( 23, 99,251)	1.9978	None
FOXC2	CRMP1	-0.53245	49.94	-9.4E-01	rgb( 13, 93,253)	1.9788	None
CDX2	CRTAC1	-0.87084	50.7	-7.0E-01	rgb( 66,125,243)	1.994	None
FOXC2	CRTAC1	0.60539	50.45	0.448	rgb(222,131,132)	1.989	None
SATB2	CRTAC1	-0.81187	50.92	-9.2E-01	rgb( 16, 95,252)	1.9984	None
TBX3	CRYBA2	0.5157	49.91	0.914	rgb(227, 42, 44)	1.9782	None
FOXC2	CSMD2	0.60814	50.48	0.477	rgb(222,126,127)	1.9896	None
FOXC2	CST2	0.64519	50.66	0.656	rgb(224, 92, 93)	1.9932	None
CDX2	CTSC	-0.0020524	35.31	-3.1E-01	rgb(150,176,229)	1.6862	None
FOXC2	CTSC	0.76221	49.82	0.817	rgb(226, 61, 63)	1.9764	None
SATB2	CTSC	0.03031	47.42	0.42	rgb(222,137,138)	1.9284	None
RARB	CTSE	-0.39648	49.52	-5.2E-01	rgb(105,149,237)	1.9704	None
RARB	CXCL1	-0.29848	42.25	-2.5E-01	rgb(164,184,226)	1.825	None
RARB	CXCL14	0.32377	48.94	0.936	rgb(227, 38, 40)	1.9588	None
FOXC2	CXCL5	0.013304	47.22	0.217	rgb(219,176,176)	1.9244	None
RARB	CXCL5	-0.92054	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
FOXC2	CXCL6	-0.4762	45.63	-6.3E-01	rgb( 80,134,241)	1.8926	None
SATB2	CXCL6	0.14484	47.98	0.985	rgb(228, 29, 31)	1.9396	None
FOXC2	CXCR4	-0.51277	46.45	-4.5E-01	rgb(120,158,234)	1.909	None
TBX3	CXXC5	-0.039729	36.27	-2.7E-01	rgb(158,181,227)	1.7054	None
RARB	CYP11A1	-0.1337	47.94	-9.4E-01	rgb( 13, 93,253)	1.9388	None
FOXC2	CYP27A1	-0.24295	48.72	-7.2E-01	rgb( 62,123,244)	1.9544	None
RARB	CYP27C1	-0.021074	35.6	-6.0E-01	rgb( 86,138,240)	1.692	None
SATB2	CYP27C1	-0.54535	49.96	-9.6E-01	rgb(  9, 91,253)	1.9792	None
FOXC2	CYP4A11	0.28268	48.84	0.842	rgb(226, 56, 58)	1.9568	None
CDX2	DAAM2	-0.7013	49.48	-4.8E-01	rgb(114,154,235)	1.9696	None
RARB	DACH1	-0.54275	46.8	-8.0E-01	rgb( 43,111,247)	1.916	None
SATB2	DACH1	-0.20029	48.53	-5.3E-01	rgb(102,147,237)	1.9506	None
TBX3	DCC	-0.49954	49.88	-8.8E-01	rgb( 27,101,250)	1.9776	None
FOXC2	DCDC2	-0.22401	48.65	-6.5E-01	rgb( 76,131,242)	1.953	None
FOXC2	DCX	0.65831	50.7	0.695	rgb(225, 84, 86)	1.994	None
SATB2	DDX60	0.98036	50.91	0.907	rgb(227, 44, 46)	1.9982	None
FOXC2	DLGAP1	0.44116	49.73	0.726	rgb(225, 78, 80)	1.9746	None
RARB	DLK1	-0.74334	49.71	-7.1E-01	rgb( 62,123,244)	1.9742	None
TBX3	DLL3	-0.47653	49.83	-8.3E-01	rgb( 36,107,249)	1.9766	None
TBX3	DLL4	-0.52681	49.93	-9.3E-01	rgb( 15, 94,252)	1.9786	None
SATB2	DNAAF3	-0.4376	49.72	-7.2E-01	rgb( 60,121,245)	1.9744	None
CDX2	DNAH5	-0.56386	47.41	-4.1E-01	rgb(128,163,233)	1.9282	None
FOXC2	DNAH7	0.098113	47.81	0.805	rgb(226, 63, 65)	1.9362	None
TBX3	DNAJC12	-0.45351	49.77	-7.7E-01	rgb( 50,116,246)	1.9754	None
RARB	DNASE1	0.19927	40.08	0.08	rgb(218,202,202)	1.7816	None
TBX3	DNASE1	0.6516	50.68	0.678	rgb(224, 87, 89)	1.9936	None
FOXC2	DNHD1	0.095254	47.8	0.803	rgb(226, 64, 65)	1.936	None
TBX3	DNHD1	0.89841	50.97	0.969	rgb(228, 32, 34)	1.9994	None
FOXC2	DOCK10	0.54535	49.96	0.964	rgb(228, 33, 35)	1.9792	None
CDX2	DPP6	-0.60575	47.87	-8.7E-01	rgb( 28,102,250)	1.9374	None
