TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
RUNX1	GPR115	0.89841	50.97	0.968	rgb(228, 32, 34)	1.9994	2,2
EHF	GPR119	-0.1337	47.94	-9.4E-01	rgb( 12, 92,253)	1.9388	None
SIX2	GPR123	-0.14939	38.67	-6.7E-01	rgb( 72,129,242)	1.7534	2,2
EHF	GPR176	0.55774	49.68	0.685	rgb(225, 86, 88)	1.9736	None
TP63	GPR176	0.87293	50.71	0.71	rgb(225, 81, 83)	1.9942	None
EHF	GPR179	-0.85509	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
SIX2	GPR183	-0.99329	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
EHF	GPR3	0.56636	49.99	0.989	rgb(228, 28, 30)	1.9798	None
EHF	GPR83	-0.026718	35.81	-8.1E-01	rgb( 41,110,248)	1.6962	None
EHF	GRASP	0.22672	48.66	0.665	rgb(224, 90, 91)	1.9532	None
EHF	GRIA2	0.4376	49.72	0.716	rgb(225, 80, 82)	1.9744	None
TP63	GRIA2	0.89298	50.75	0.751	rgb(225, 74, 75)	1.995	None
EHF	GRM8	-0.86648	50.68	-6.8E-01	rgb( 69,127,243)	1.9936	None
RUNX1	HBEGF	0.088987	37.38	0.384	rgb(221,144,144)	1.7276	None
EHF	HCN2	-0.42569	44.63	-6.3E-01	rgb( 81,134,241)	1.8726	None
RUNX1	HDAC9	0.83463	50.6	0.597	rgb(224,103,104)	1.992	None
TP63	HDAC9	0.70856	49.54	0.537	rgb(223,115,116)	1.9708	None
SIX2	HEY1	-0.94327	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	None
TP63	HIC1	0.35235	43.36	0.358	rgb(221,149,149)	1.8472	None
TP63	HKDC1	0.041158	36.29	0.291	rgb(220,161,162)	1.7058	None
RUNX1	HLA-DPB1	-0.38842	43.93	-9.3E-01	rgb( 14, 94,253)	1.8586	None
SIX2	HOXA10	-0.73879	50.85	-8.5E-01	rgb( 32,105,249)	1.997	None
SIX2	HOXB2	0.98266	51	0.997	rgb(228, 27, 29)	2	None
EHF	HOXD1	-0.4166	49.64	-6.4E-01	rgb( 77,132,242)	1.9728	None
EHF	HOXD4	0.53714	46.74	0.788	rgb(226, 66, 68)	1.9148	None
TP63	HPSE	0.59454	47.73	0.728	rgb(225, 78, 79)	1.9346	None
EHF	HRK	0.52681	49.93	0.935	rgb(227, 38, 40)	1.9786	None
TP63	HRK	0.83837	50.62	0.623	rgb(224, 98, 99)	1.9924	None
EHF	HS3ST1	0.57097	47.48	0.713	rgb(225, 81, 82)	1.9296	None
EHF	HS3ST3B1	0.53835	49.95	0.951	rgb(227, 35, 37)	1.979	None
RUNX1	HSBP1L1	-0.8508	50.65	-6.5E-01	rgb( 76,131,242)	1.993	None
SIX2	HSD17B2	0.79963	50.91	0.913	rgb(227, 43, 44)	1.9982	None
RUNX1	HTR7	-0.41803	44.54	-5.4E-01	rgb(100,146,237)	1.8708	None
TP63	HTRA1	0.51519	46.51	0.507	rgb(223,120,121)	1.9102	None
EHF	Hfb1	-0.47081	45.57	-5.7E-01	rgb( 94,142,239)	1.8914	2,2
EHF	ID4	-0.12439	38.29	-2.9E-01	rgb(153,178,228)	1.7458	None
EHF	IER3	0.57486	50	0.999	rgb(228, 26, 28)	1.98	None
RUNX1	IER3	-0.2928	42.06	-6.1E-02	rgb(204,209,219)	1.8212	None
EHF	IER5	0.012791	35.47	0.466	rgb(222,128,129)	1.6894	None
EHF	IGF2	-0.79813	50.42	-4.2E-01	rgb(126,162,233)	1.9884	None
TP63	IGF2	0.76287	49.83	0.828	rgb(226, 59, 60)	1.9766	None
EHF	IGFBP3	0.10548	47.84	0.836	rgb(226, 57, 59)	1.9368	None
SIX2	IGSF10	-0.38831	43.92	-9.2E-01	rgb( 17, 95,252)	1.8584	None
EHF	IGSF11	-0.71358	49.56	-5.6E-01	rgb( 97,144,238)	1.9712	None
SIX2	IL11	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
EHF	IL18	-0.36049	49.11	-1.1E-01	rgb(193,203,221)	1.9622	None
RUNX1	IL18	0.5716	47.49	0.494	rgb(222,123,124)	1.9298	None
SIX2	IL18	-0.42107	44.58	-5.8E-01	rgb( 90,140,239)	1.8716	None
EHF	IL1A	-0.24809	48.74	-7.4E-01	rgb( 56,119,245)	1.9548	None
RUNX1	IL23A	0.99168	50.92	0.922	rgb(227, 41, 43)	1.9984	None
EHF	IL31RA	-0.85281	50.66	-6.6E-01	rgb( 74,130,242)	1.9932	None
SIX2	IL32	-0.34587	43.19	-1.9E-01	rgb(176,192,224)	1.8438	None
SIX2	INHA	-0.055195	36.5	-5.0E-01	rgb(109,151,236)	1.71	None
SIX2	INHBA	-0.80671	50.45	-4.5E-01	rgb(120,158,234)	1.989	None
EHF	INS-IGF2	-0.73678	49.69	-6.9E-01	rgb( 67,126,243)	1.9738	None
TP63	INS-IGF2	0.36668	43.55	0.547	rgb(223,113,114)	1.851	None
SIX2	IRF4	-0.24295	48.72	-7.2E-01	rgb( 60,122,244)	1.9544	None
TP63	IRF4	0.25985	43	0.355	rgb(221,149,150)	1.84	None
RUNX1	IRS2	0.23485	40.67	0.674	rgb(224, 88, 90)	1.7934	None
TP63	IRX2	-0.028074	36.02	-1.6E-02	rgb(214,215,218)	1.7004	None
EHF	ISL1	-0.7219	49.61	-6.1E-01	rgb( 84,136,240)	1.9722	None
RUNX1	ITGA1	0.023639	47.34	0.338	rgb(221,153,153)	1.9268	None
EHF	ITGA4	-0.55199	47.25	-2.5E-01	rgb(162,184,227)	1.925	None
RUNX1	ITGB3	0.8413	50.94	0.943	rgb(227, 37, 39)	1.9988	None
EHF	ITGB6	0.74818	50.86	0.864	rgb(227, 52, 54)	1.9972	None
SIX2	ITGB6	-0.94085	50.83	-8.3E-01	rgb( 37,108,249)	1.9966	None
TP63	ITPR1	0.71468	49.57	0.574	rgb(223,107,108)	1.9714	None
RUNX1	ITPR2	0.1698	39.34	0.34	rgb(221,152,153)	1.7668	None
EHF	JAG1	-0.33982	42.93	-9.3E-01	rgb( 14, 94,252)	1.8386	None
TP63	JAKMIP1	0.12648	38.31	0.312	rgb(220,157,158)	1.7462	None
EHF	JAM2	0.4376	49.72	0.715	rgb(225, 80, 82)	1.9744	None
SIX2	JAM2	-0.16148	39.19	-1.9E-01	rgb(175,192,224)	1.7638	None
TP63	JAM2	0.14766	38.64	0.641	rgb(224, 95, 96)	1.7528	None
SIX2	JUNB	-0.2114	40.33	-3.3E-01	rgb(145,173,230)	1.7866	None
SIX2	KAL1	-0.7072	49.52	-5.2E-01	rgb(103,148,237)	1.9704	2,2
EHF	KCNA5	-0.14151	38.54	-5.4E-01	rgb(100,146,238)	1.7508	None
EHF	KCNB1	-0.25153	41.23	-2.3E-01	rgb(168,187,226)	1.8046	None
EHF	KCNC2	-0.94085	50.83	-8.3E-01	rgb( 38,108,248)	1.9966	None
RUNX1	KCNJ8	-0.49954	49.88	-8.8E-01	rgb( 26,101,250)	1.9776	None
SIX2	KCNJ8	0.26531	41.42	0.418	rgb(222,137,138)	1.8084	None
SIX2	KCNK16	-0.094741	37.48	-4.8E-01	rgb(113,154,235)	1.7296	None
SIX2	KCNK17	-0.97266	50.88	-8.8E-01	rgb( 26,101,250)	1.9976	None
EHF	KCNN3	0.4578	49.78	0.781	rgb(226, 68, 69)	1.9756	None
EHF	KCNT1	-0.39736	44.26	-2.6E-01	rgb(160,183,227)	1.8652	None
RUNX1	KCNT1	0.30977	42.43	0.429	rgb(222,135,136)	1.8286	None
EHF	KHDRBS2	-0.50299	49.79	-7.9E-01	rgb( 45,112,247)	1.9758	None
EHF	KIF9	-0.54447	46.87	-8.7E-01	rgb( 29,102,250)	1.9174	None
EHF	KIRREL2	0.38468	49.43	0.427	rgb(222,135,136)	1.9686	None
RUNX1	KLHDC7A	-0.27059	48.81	-8.1E-01	rgb( 41,110,248)	1.9562	None
TP63	KLHDC7A	-0.17739	39.45	-4.5E-01	rgb(119,157,234)	1.769	None
RUNX1	KRT7	0.043174	36.32	0.321	rgb(221,156,156)	1.7064	None
SIX2	KRT7	0.033645	47.45	0.45	rgb(222,131,132)	1.929	None
EHF	KRT81	-0.94964	50.99	-9.9E-01	rgb(  1, 86,255)	1.9998	None
TP63	KRT81	-0.53209	46.69	-6.9E-01	rgb( 66,125,243)	1.9138	None
RUNX1	LACC1	0.31391	42.48	0.478	rgb(222,126,127)	1.8296	None
EHF	LAMA3	0.93799	50.82	0.825	rgb(226, 59, 61)	1.9964	None
TP63	LAMP5	0.13553	38.46	0.46	rgb(222,129,130)	1.7492	None
EHF	LANCL3	0.58838	47.68	0.676	rgb(224, 88, 89)	1.9336	None
EHF	LEFTY1	0.077918	47.72	0.717	rgb(225, 80, 82)	1.9344	None
RUNX1	LEFTY1	0.83647	50.61	0.607	rgb(224,101,102)	1.9922	None
TP63	LEFTY1	0.84885	50.64	0.636	rgb(224, 95, 97)	1.9928	None
EHF	LFNG	0.78761	50.9	0.899	rgb(227, 45, 47)	1.998	None
SIX2	LHFPL3	0.45351	49.77	0.767	rgb(225, 70, 72)	1.9754	None
EHF	LHFPL4	0.79963	50.91	0.909	rgb(227, 43, 45)	1.9982	None
EHF	LHX6	0.93487	50.81	0.813	rgb(226, 62, 63)	1.9962	None
TP63	LIMCH1	0.30475	42.35	0.35	rgb(221,150,151)	1.827	None
SIX2	LINC00152	-0.78725	50.31	-3.1E-01	rgb(149,176,229)	1.9862	2,2
EHF	LINC00907	-0.29294	42.07	-7.4E-02	rgb(201,207,220)	1.8214	None
EHF	LINGO3	0.99692	50.95	0.949	rgb(227, 36, 38)	1.999	None
RUNX1	LINGO3	0.33656	42.83	0.83	rgb(226, 58, 60)	1.8366	None
EHF	LMO1	-0.074876	37.14	-1.4E-01	rgb(187,199,222)	1.7228	None
TP63	LOC541467	-0.76467	50.88	-8.8E-01	rgb( 26,101,250)	1.9976	2,2
EHF	LOC90246	0.8413	50.94	0.943	rgb(227, 37, 39)	1.9988	2,2
TP63	LOXL2	0.43599	44.74	0.738	rgb(225, 76, 78)	1.8748	None
EHF	LOXL4	-0.76049	49.8	-8.0E-01	rgb( 44,112,247)	1.976	None
EHF	LPAR3	-0.16328	39.23	-2.3E-01	rgb(168,187,226)	1.7646	None
SIX2	LRP11	0.25197	48.75	0.754	rgb(225, 73, 74)	1.955	None
EHF	LRP1B	-0.71358	49.56	-5.6E-01	rgb( 95,143,238)	1.9712	None
RUNX1	LUM	-0.16353	48.21	-2.1E-01	rgb(172,190,225)	1.9442	None
RUNX1	LYZ	0.55851	47.36	0.362	rgb(221,148,149)	1.9272	None
EHF	MAFA	-0.33209	42.7	-7.0E-01	rgb( 66,125,243)	1.834	None
SIX2	MAFF	-0.64083	48.57	-5.7E-01	rgb( 94,142,239)	1.9514	None
TP63	MANEAL	0.85509	50.67	0.673	rgb(224, 88, 90)	1.9934	None
EHF	MAP2	-0.39699	46.03	-2.5E-01	rgb(162,184,227)	1.9006	None
