TF	Target	Time	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray	weight	color
RFX6	SMKR1	[48, 72, 96]	0.5596300000000001	45.49	0.495	(0.8705882352941177, 0.4823529411764706, 0.48627450980392156)	1.8898	None	4	(0.8705882352941177, 0.4823529411764706, 0.48627450980392156)
RFX6	SMOC2	[24]	0.500010000200004	None	None	m	1.0	None	10	m
RFX6	SOCS1	[24]	0.545402408048161	None	None	m	1.090783	None	10	m
RFX6	SOX4	[24]	0.500010000200004	None	None	m	1.0	None	10	m
RFX6	SPEG	[96]	0.8990100000000001	50.68	0.684	(0.8823529411764706, 0.33725490196078434, 0.34509803921568627)	1.9936	None	6	(0.8823529411764706, 0.33725490196078434, 0.34509803921568627)
RFX6	SPRED3	[48]	0.99225	50.93	0.932	(0.8901960784313725, 0.15294117647058825, 0.1607843137254902)	1.9986	None	9	(0.8901960784313725, 0.15294117647058825, 0.1607843137254902)
RFX6	SPRY3	[72]	-0.90505	50.69	-0.69	(0.26666666666666666, 0.49411764705882355, 0.9529411764705882)	1.9938	None	6	(0.26666666666666666, 0.49411764705882355, 0.9529411764705882)
RFX6	SPTBN4	[48, 72, 96]	0.9942	50.94	0.943	(0.8901960784313725, 0.1450980392156863, 0.15294117647058825)	1.9988	None	9	(0.8901960784313725, 0.1450980392156863, 0.15294117647058825)
RFX6	ST18	[24, 48, 72, 96]	0.9999600000000001	51.0	0.997	(0.8941176470588236, 0.10588235294117647, 0.11372549019607843)	2.0	None	9	(0.8941176470588236, 0.10588235294117647, 0.11372549019607843)
RFX6	STARD8	[48]	0.8597899999999999	50.58	0.58	(0.8745098039215686, 0.41568627450980394, 0.4196078431372549)	1.9916	None	5	(0.8745098039215686, 0.41568627450980394, 0.4196078431372549)
RFX6	STK33	[48]	0.9181600000000001	50.72	0.722	(0.8823529411764706, 0.30980392156862746, 0.3176470588235294)	1.9944	None	7	(0.8823529411764706, 0.30980392156862746, 0.3176470588235294)
RFX6	STMN2	[48, 72, 96]	0.99225	50.93	0.935	(0.8901960784313725, 0.14901960784313725, 0.1568627450980392)	1.9986	None	9	(0.8901960784313725, 0.14901960784313725, 0.1568627450980392)
RFX6	STMN4	[72]	0.58085	46.25	0.252	(0.8627450980392157, 0.6627450980392157, 0.6627450980392157)	1.905	None	2	(0.8627450980392157, 0.6627450980392157, 0.6627450980392157)
RFX6	STX2	[96]	0.78983	50.14	0.14400000000000002	(0.8588235294117647, 0.7411764705882353, 0.7450980392156863)	1.9828	None	1	(0.8588235294117647, 0.7411764705882353, 0.7450980392156863)
RFX6	SUSD2	[24, 48, 72]	0.06575299999999999	30.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.58	None	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
RFX6	SVOP	[48, 72, 96]	0.8597899999999999	50.58	0.5770000000000001	(0.8745098039215686, 0.4196078431372549, 0.4235294117647059)	1.9916	None	5	(0.8745098039215686, 0.4196078431372549, 0.4235294117647059)
RFX6	SYT4	[48, 72, 96]	0.9991700000000001	50.98	0.982	(0.8941176470588236, 0.11372549019607843, 0.12156862745098039)	1.9996	None	9	(0.8941176470588236, 0.11372549019607843, 0.12156862745098039)
RFX6	SYT5	[24, 48, 72, 96]	0.9946799999999999	50.95	0.946	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)	1.999	None	9	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)
RFX6	TAC1	[72, 96]	0.8745700000000001	50.62	0.623	(0.8784313725490196, 0.3843137254901961, 0.38823529411764707)	1.9924	None	6	(0.8784313725490196, 0.3843137254901961, 0.38823529411764707)
RFX6	TAGLN3	[24, 48, 72, 96]	0.9973	50.96	0.956	(0.8941176470588236, 0.13333333333333333, 0.1411764705882353)	1.9992	None	9	(0.8941176470588236, 0.13333333333333333, 0.1411764705882353)
RFX6	TEKT2	[48, 72, 96]	0.9779899999999999	50.87	0.871	(0.8901960784313725, 0.2, 0.20392156862745098)	1.9974	None	8	(0.8901960784313725, 0.2, 0.20392156862745098)
RFX6	TFCP2L1	[72]	-0.75963	49.6	-0.6	(0.34509803921568627, 0.5411764705882353, 0.9411764705882353)	1.972	None	6	(0.34509803921568627, 0.5411764705882353, 0.9411764705882353)
RFX6	THBS4	[72]	0.26006999999999997	37.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.72	None	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
RFX6	TMEM151A	[72, 96]	0.9807299999999999	50.88	0.8759999999999999	(0.8901960784313725, 0.19607843137254902, 0.2)	1.9976	None	8	(0.8901960784313725, 0.19607843137254902, 0.2)
RFX6	TMEM158	[24, 48, 72]	0.8784700000000001	50.63	0.629	(0.8784313725490196, 0.3803921568627451, 0.3843137254901961)	1.9926	None	6	(0.8784313725490196, 0.3803921568627451, 0.3843137254901961)
RFX6	TMEM178B	[48, 72]	0.5704	45.68	0.68	(0.8784313725490196, 0.3411764705882353, 0.34901960784313724)	1.8936	None	6	(0.8784313725490196, 0.3411764705882353, 0.34901960784313724)
RFX6	TMEM190	[72, 96]	0.35038	40.18	0.185	(0.8588235294117647, 0.7137254901960784, 0.7137254901960784)	1.7836	None	1	(0.8588235294117647, 0.7137254901960784, 0.7137254901960784)
RFX6	TMEM200A	[24, 48, 72, 96]	0.9991700000000001	50.98	0.977	(0.8941176470588236, 0.11764705882352941, 0.12549019607843137)	1.9996	None	9	(0.8941176470588236, 0.11764705882352941, 0.12549019607843137)
RFX6	TMEM59L	[24, 48, 72, 96]	0.8416399999999999	50.53	0.532	(0.8745098039215686, 0.45098039215686275, 0.4549019607843137)	1.9906	2,2	5	(0.8745098039215686, 0.45098039215686275, 0.4549019607843137)
RFX6	TMEM61	[24, 48, 72]	0.71744	49.15	0.146	(0.8588235294117647, 0.7411764705882353, 0.7411764705882353)	1.963	None	1	(0.8588235294117647, 0.7411764705882353, 0.7411764705882353)
RFX6	TMOD1	[24, 72, 96]	0.40505	41.52	0.517	(0.8745098039215686, 0.4627450980392157, 0.4666666666666667)	1.8104	None	5	(0.8745098039215686, 0.4627450980392157, 0.4666666666666667)
RFX6	TMPRSS6	[72]	0.67084	48.28	0.284	(0.8627450980392157, 0.6392156862745098, 0.6392156862745098)	1.9456	None	2	(0.8627450980392157, 0.6392156862745098, 0.6392156862745098)
RFX6	TNP1	[48, 72]	0.9946799999999999	50.95	0.9490000000000001	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)	1.999	None	9	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)
RFX6	TOX	[24, 48, 72, 96]	0.9998	50.99	0.987	(0.8941176470588236, 0.10980392156862745, 0.11764705882352941)	1.9998	None	9	(0.8941176470588236, 0.10980392156862745, 0.11764705882352941)
RFX6	TP73	[24]	0.500010000200004	None	None	m	1.0	None	10	m
RFX6	TPH1	[48, 72, 96]	0.8828	50.64	0.639	(0.8784313725490196, 0.37254901960784315, 0.3764705882352941)	1.9928	None	6	(0.8784313725490196, 0.37254901960784315, 0.3764705882352941)
RFX6	TPPP3	[48, 72, 96]	0.82729	50.48	0.479	(0.8705882352941177, 0.49411764705882355, 0.49411764705882355)	1.9896	None	4	(0.8705882352941177, 0.49411764705882355, 0.49411764705882355)
RFX6	TPST2	[72]	0.9946799999999999	50.95	0.948	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)	1.999	None	9	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)
RFX6	TRPC7	[72]	0.9417200000000001	50.77	0.7709999999999999	(0.8823529411764706, 0.27450980392156865, 0.2784313725490196)	1.9954	None	7	(0.8823529411764706, 0.27450980392156865, 0.2784313725490196)
RFX6	TSPAN11	[24, 48, 72, 96]	0.91422	50.71	0.706	(0.8823529411764706, 0.3215686274509804, 0.3254901960784314)	1.9942	None	7	(0.8823529411764706, 0.3215686274509804, 0.3254901960784314)
RFX6	TTC25	[48]	0.41617	41.81	0.809	(0.8862745098039215, 0.24313725490196078, 0.25098039215686274)	1.8162	None	8	(0.8862745098039215, 0.24313725490196078, 0.25098039215686274)
RFX6	TTC7B	[48, 72, 96]	0.97457	50.86	0.861	(0.8862745098039215, 0.20784313725490197, 0.21176470588235294)	1.9972	None	8	(0.8862745098039215, 0.20784313725490197, 0.21176470588235294)
RFX6	TTLL10	[96]	0.67048	48.27	0.267	(0.8627450980392157, 0.6509803921568628, 0.6549019607843137)	1.9454	None	2	(0.8627450980392157, 0.6509803921568628, 0.6549019607843137)
RFX6	TTLL6	[48, 96]	0.64756	47.55	0.5489999999999999	(0.8745098039215686, 0.4392156862745098, 0.44313725490196076)	1.931	None	5	(0.8745098039215686, 0.4392156862745098, 0.44313725490196076)
RFX6	TUB	[48, 72, 96]	0.9807299999999999	50.88	0.875	(0.8901960784313725, 0.19607843137254902, 0.20392156862745098)	1.9976	None	8	(0.8901960784313725, 0.19607843137254902, 0.20392156862745098)
RFX6	TUBA1A	[24, 48, 72]	0.9579700000000001	50.81	0.81	(0.8862745098039215, 0.24313725490196078, 0.25098039215686274)	1.9962	None	8	(0.8862745098039215, 0.24313725490196078, 0.25098039215686274)
RFX6	TUBA3FP	[24, 48, 72, 96]	0.9667899999999999	50.84	0.8440000000000001	(0.8862745098039215, 0.2196078431372549, 0.22745098039215686)	1.9968	None	8	(0.8862745098039215, 0.2196078431372549, 0.22745098039215686)
RFX6	TUBB3	[24, 72]	0.3884	41.24	0.244	(0.8627450980392157, 0.6666666666666666, 0.6705882352941176)	1.8048	None	2	(0.8627450980392157, 0.6666666666666666, 0.6705882352941176)
RFX6	UCHL1	[48, 72, 96]	0.5064	44.33	0.33	(0.8666666666666667, 0.6039215686274509, 0.6078431372549019)	1.8666	2,2	3	(0.8666666666666667, 0.6039215686274509, 0.6078431372549019)
RFX6	UCP2	[24, 72]	0.11907000000000001	32.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.62	None	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
RFX6	VAV3	[48, 72, 96]	0.68021	48.25	0.251	(0.8627450980392157, 0.6627450980392157, 0.6666666666666666)	1.945	None	2	(0.8627450980392157, 0.6627450980392157, 0.6666666666666666)
RFX6	VSTM2L	[24, 48, 72, 96]	0.9946799999999999	50.95	0.953	(0.8901960784313725, 0.13725490196078433, 0.1450980392156863)	1.999	None	9	(0.8901960784313725, 0.13725490196078433, 0.1450980392156863)
RFX6	VWA5B2	[24, 48, 72, 96]	0.9714299999999999	50.85	0.845	(0.8862745098039215, 0.2196078431372549, 0.2235294117647059)	1.9969999999999999	None	8	(0.8862745098039215, 0.2196078431372549, 0.2235294117647059)
RFX6	WNK2	[48, 72, 96]	0.6240399999999999	47.28	0.27699999999999997	(0.8627450980392157, 0.6431372549019608, 0.6470588235294118)	1.9256	None	2	(0.8627450980392157, 0.6431372549019608, 0.6470588235294118)
RFX6	WSCD1	[48, 72]	0.91422	50.71	0.71	(0.8823529411764706, 0.3176470588235294, 0.3254901960784314)	1.9942	None	7	(0.8823529411764706, 0.3176470588235294, 0.3254901960784314)
RFX6	YPEL1	[24]	0.500010000200004	None	None	m	1.0	None	10	m
RFX6	ZG16	[72, 96]	0.40652	41.64	0.6409999999999999	(0.8784313725490196, 0.37254901960784315, 0.3764705882352941)	1.8128	None	6	(0.8784313725490196, 0.37254901960784315, 0.3764705882352941)
SETBP1	AFF2	[48]	0.81816	50.44	0.44	(0.8705882352941177, 0.5215686274509804, 0.5254901960784314)	1.9888	2,2	4	(0.8705882352941177, 0.5215686274509804, 0.5254901960784314)
SETBP1	AK026379	[48]	0.20195	35.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.68	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
SETBP1	AK125437	[48]	0.64378	47.52	0.523	(0.8745098039215686, 0.4588235294117647, 0.4627450980392157)	1.9304	2,2	5	(0.8745098039215686, 0.4588235294117647, 0.4627450980392157)
SETBP1	BC033528	[48]	0.090783	31.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.6	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
SETBP1	BC041484	[48]	0.14748	33.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.64	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
SETBP1	BC042451	[48]	0.57815	46.17	0.168	(0.8588235294117647, 0.7254901960784313, 0.7254901960784313)	1.9034	2,2	1	(0.8588235294117647, 0.7254901960784313, 0.7254901960784313)
SETBP1	BC073932	[48]	0.23143000000000002	36.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.7	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
SETBP1	BEND5	[48]	0.2917	38.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.74	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
SETBP1	CCDC154	[48]	0.8293200000000001	50.49	0.488	(0.8705882352941177, 0.48627450980392156, 0.49019607843137253)	1.9898	2,2	4	(0.8705882352941177, 0.48627450980392156, 0.49019607843137253)
SETBP1	CCNA1	[48]	0.18681	35.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.68	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
SETBP1	CECR6	[48]	0.68625	48.47	0.46799999999999997	(0.8705882352941177, 0.5019607843137255, 0.5058823529411764)	1.9494	2,2	4	(0.8705882352941177, 0.5019607843137255, 0.5058823529411764)
SETBP1	CSH2	[48]	0.58538	46.33	0.327	(0.8666666666666667, 0.6078431372549019, 0.6078431372549019)	1.9066	2,2	3	(0.8666666666666667, 0.6078431372549019, 0.6078431372549019)
SETBP1	DOCK4	[48]	0.32455	39.32	0.317	(0.8627450980392157, 0.615686274509804, 0.615686274509804)	1.7664	2,2	3	(0.8627450980392157, 0.615686274509804, 0.615686274509804)
SETBP1	GUSBP9	[48]	0.2917	38.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.74	2,2	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
