	100_24h(24hpi)	100_24h(48hpi)	100_24h(72hpi)	100_24h(96hpi)	0_24h(24hpi)	0_24h(48hpi)	0_24h(72hpi)	0_24h(96hpi)
IDI2	6.1102	6.0007	5.7339	5.7678	6.2751	5.8282	5.6713	5.8506
IDI2-AS1	5.8408	6.0007	6.1299	6.5137	6.1725	6.0149	6.5268	6.3349
IDNK	7.1565	 7.468	7.4003	7.3499	7.0362	7.6071	7.4963	 7.518
IDO1	5.8166	6.3514	6.0564	6.5315	6.2879	6.0402	6.5716	6.3615
IDO2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IDS	11.6786	12.1151	12.3017	12.5025	 11.732	11.7661	12.4199	12.4737
IDS2	 5.129	5.9053	5.4595	5.9659	5.4208	 5.573	5.8015	5.8818
IDUA	9.4074	9.1805	9.1938	9.0627	9.2965	9.1065	8.9603	 8.853
IER2	 11.216	11.1022	11.7289	11.4714	10.9207	11.3176	11.4089	11.7407
IER3	10.9783	10.8665	 11.579	10.6218	10.7466	10.9879	11.0068	10.6973
IER3IP1	10.0258	9.70589	9.88399	10.0036	10.0056	10.0251	9.97481	10.1638
IER5	9.98918	10.2081	10.8559	10.7614	 9.7021	10.3854	10.5638	10.9465
IER5L	11.2425	 11.313	11.9205	11.1456	10.8061	11.5771	11.5544	 11.367
IFFO1	5.5667	5.6922	5.8093	5.6464	5.4048	5.4138	 5.765	5.6783
IFFO2	11.0115	10.3194	10.1057	9.90759	10.2619	9.88752	9.61036	9.92264
IFI16	8.3762	8.4025	8.1443	8.0691	8.2537	8.2497	8.1461	8.0189
IFI27	6.0887	7.1245	7.4799	7.0029	5.7037	6.1704	6.2748	7.0002
IFI27L1	6.5945	6.2779	6.8845	6.8584	6.3118	6.2538	 6.614	7.1531
IFI27L2	8.5981	8.0311	8.7357	8.3441	7.8696	8.4406	8.2004	8.9196
IFI30	8.8307	8.5103	8.7411	 8.418	8.4855	8.7914	8.1964	8.6645
IFI35	9.3608	9.5196	9.6546	9.5988	9.1619	9.6268	 9.352	9.7764
IFI44	6.8846	7.7375	6.9585	6.9423	6.4217	6.9036	6.6959	6.8051
IFI44L	5.4447	7.6126	6.1759	5.6151	5.2524	5.7472	5.7165	5.4192
IFI6	9.67085	10.6748	11.3566	10.3177	8.38925	9.90078	9.60436	9.93403
IFIH1	9.1499	9.2318	9.1518	9.2339	8.9183	 9.039	9.1278	9.2621
IFIT1	6.1521	7.0381	6.9905	6.3702	6.1725	6.2465	6.2933	6.7388
IFIT1B	4.5706	4.5706	4.5706	4.5706	4.5706	4.8653	4.5706	4.5706
IFIT2	8.0059	8.4504	8.3488	8.2518	8.2709	8.4053	8.4311	8.5745
IFIT3	8.4945	9.1845	 9.018	8.8628	8.8229	9.0228	9.1083	9.1751
IFIT5	8.0081	8.5166	8.4488	8.4391	8.2364	8.5053	8.4761	8.5049
IFITM1	10.9556	11.2203	11.9361	11.5713	 10.833	11.3155	11.5698	11.9708
IFITM10	8.0852	7.5879	8.0298	7.9424	7.7321	7.8478	7.9566	8.0724
IFITM2	11.0352	10.5652	10.6874	10.2005	10.9361	10.6814	10.2868	10.2652
IFITM3	11.4505	11.3653	11.4373	10.7289	11.4032	11.2985	10.9257	10.8706
IFITM4P	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFITM5	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNA1	4.9053	4.5706	5.0853	4.8689	5.5295	4.9725	5.1309	4.9981
IFNA13	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNA21	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNA4	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNA5	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNA8	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNAR1	11.4883	11.8014	11.9338	11.9135	11.5956	     12	12.1011	12.0799
IFNAR2	10.5466	11.0621	11.6128	11.7297	10.6612	11.1686	11.6854	11.8336
IFNB1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNE	6.9329	7.7693	6.8107	8.0995	8.1071	7.0972	8.1871	7.2483
IFNGR1	11.3773	12.0804	12.4593	12.4332	11.3317	 12.106	12.3228	12.5459
IFNGR2	11.6012	11.8826	12.5996	 12.468	11.4615	 12.121	12.5891	12.7934
IFNK	4.5706	4.5706	4.5706	4.8689	4.5706	4.5706	4.5706	4.5706
IFNL1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNL4	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFNLR1	8.87087	9.14046	9.55832	9.91808	8.83742	 9.3076	9.82674	10.1449
IFNW1	4.5706	4.8341	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IFRD1	8.77555	9.54402	9.94162	10.2919	8.66035	9.48433	10.2093	10.2835
IFRD2	9.7743	8.8442	8.8583	8.4843	9.4231	8.8603	8.1626	8.3254
IFT122	8.7051	8.5273	8.3237	8.2229	8.6653	8.3347	 8.341	8.1055
IFT140	10.3723	10.3008	10.2205	10.2297	10.1743	10.3189	 10.275	 10.157
IFT172	8.6554	 8.743	8.4662	8.3979	8.7294	8.7049	 8.577	8.1661
IFT20	8.9954	8.9288	8.9812	8.8783	8.9209	9.0443	8.7904	9.0945
IFT27	9.1854	9.2935	8.8356	 9.187	9.0317	8.7323	9.1576	 8.879
IFT43	8.4641	8.2774	8.3694	8.0536	8.3893	8.1989	8.0246	8.0286
IFT46	8.2955	8.1672	8.0072	7.7068	8.1227	8.1866	 7.864	7.6465
IFT52	8.5743	8.4291	8.3578	7.7566	8.4358	8.5123	8.1067	7.9106
IFT57	 9.484	9.3249	9.5248	9.1762	9.5048	 9.422	 9.292	9.2144
IFT74	8.4824	8.2961	7.7688	7.8489	8.9209	8.1816	7.8972	7.8862
IFT80	9.89466	10.1843	9.38493	9.51081	10.3007	9.97603	9.62624	9.37156
IFT81	8.6508	8.6342	 8.168	8.4958	8.8402	8.4552	8.4029	8.1649
IFT88	9.2369	9.2751	9.0259	9.3151	9.4459	9.2163	9.4497	9.3107
IGBP1	10.9326	10.6993	11.0161	10.7862	10.9322	11.1903	11.0637	11.1331
IGBP1P1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGDCC3	4.9053	4.9691	4.8501	4.5706	4.5706	4.5706	4.5706	4.5706
IGDCC4	6.3276	6.0754	5.9199	 5.543	6.2371	6.0413	5.6379	5.2462
IGF1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGF1R	9.2412	9.1648	8.8131	8.9888	8.7965	 8.745	8.8896	8.7344
IGF2	4.5706	5.6408	5.7491	4.5706	4.5706	 5.203	4.5706	4.5706
IGF2-AS	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGF2BP1	11.1006	11.3384	11.1009	11.3038	11.2805	11.1917	11.4006	 11.189
IGF2BP2	11.4033	11.4809	11.6416	11.9825	11.6295	 11.491	12.0395	11.9454
IGF2BP3	10.9175	 11.014	10.7629	10.5955	11.3258	10.9511	10.7361	10.5276
IGF2R	12.6898	12.9732	 12.879	13.2879	12.8382	12.8123	 13.212	13.1816
IGFALS	 5.208	 5.958	5.7861	5.6623	5.1483	 5.686	 5.526	5.2451
IGFBP1	8.5913	6.5316	7.0621	7.1869	7.9802	6.7702	6.6576	7.0148
IGFBP2	14.0046	13.5985	  14.51	13.9418	13.1043	14.1102	13.8428	14.2946
IGFBP3	12.5315	12.6408	13.7794	13.8025	12.2387	12.7731	13.6854	14.1466
IGFBP4	10.4441	9.26208	9.97021	9.80245	9.88397	 9.6027	10.0899	10.3092
IGFBP5	12.2975	12.9558	13.6432	13.9179	12.5651	13.4867	13.6224	 14.366
IGFBP6	8.0461	7.2698	 7.273	6.9395	7.8639	7.2667	6.8003	7.0508
IGFBP7	6.0944	7.0822	7.4911	6.5837	5.6034	7.0684	7.1486	6.6447
IGFBPL1	8.0081	8.8212	8.8326	8.1481	5.7568	5.4138	5.2775	 4.963
IGFL1	5.4279	4.8529	5.0628	4.8662	5.3212	 5.157	4.9511	4.5706
IGFL2	5.4279	5.0475	 5.127	5.0854	5.6381	5.0793	5.0041	 5.175
IGFL3	4.8326	4.5706	4.5706	4.5706	4.9374	4.5706	4.5706	4.5706
IGFL4	4.5706	4.9691	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGFLR1	6.3169	 6.228	6.1672	6.2538	5.7652	 6.225	6.1977	6.1277
IGFN1	6.3417	6.2641	5.0628	5.0965	4.8304	4.5706	4.8401	4.5706
IGHCgamma1	5.2524	4.5706	4.5706	5.0807	4.5706	4.5706	4.5706	4.5706
IGHG1	7.2822	5.2947	5.2948	4.5706	4.5706	4.5706	4.5706	4.5706
IGHMBP2	8.5006	8.5696	8.7266	8.7497	8.5631	8.5415	 8.722	8.5983
IGIP	8.1231	8.4719	8.0957	8.7829	 8.183	8.2767	8.5833	8.7594
IGJ	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGLL1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGLL3P	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGLL5	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGLON5	5.5667	 5.532	5.2041	5.6464	5.4849	5.2423	5.3699	5.3081
IGSF1	6.8532	7.5455	7.9663	8.0582	7.1641	7.2327	7.7045	7.6218
IGSF10	6.5056	7.0207	 6.502	7.0275	5.3823	 5.062	5.0041	5.0949
IGSF11	5.5637	5.4924	5.7491	5.4993	5.7043	5.8282	5.7307	5.3633
IGSF11-AS1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IGSF21	4.5706	5.4699	6.2429	5.2884	4.5706	4.5706	4.5706	4.8734
IGSF22	5.2524	5.4328	5.8093	6.0689	5.4486	5.4138	5.6932	5.9859
IGSF23	4.9667	 5.262	5.0853	5.2884	4.8521	5.0793	4.8777	5.3658
IGSF3	11.0396	11.3753	11.6151	 11.652	10.9402	11.5184	11.6324	11.7795
IGSF5	5.5576	5.9395	6.3134	6.2504	5.4926	6.0013	6.3929	6.3955
IGSF6	5.0924	5.3893	4.9916	 5.543	5.3823	4.8469	5.3159	5.4692
IGSF8	10.5137	9.96024	10.4596	10.1378	9.95266	9.97286	10.0469	10.3235
IGSF9	11.1128	11.6069	11.7866	11.9803	11.2322	11.7694	11.8236	12.1311
IGSF9B	7.0594	7.0999	6.3318	6.5136	7.4431	6.4178	 6.684	6.0561
IHH	 10.988	11.2778	11.7771	11.4599	10.3663	11.5546	11.4945	11.8891
IK	10.8255	10.7535	 10.897	10.6883	10.9783	10.8696	10.7981	10.8824
IKBIP	8.5432	 8.203	7.9222	7.6713	8.5062	8.3487	7.9439	 7.606
IKBKAP	10.1188	10.1239	9.78763	10.1413	10.1906	10.0129	10.0192	10.0909
IKBKB	10.0546	10.3197	10.1468	10.5245	10.2468	10.1631	10.4435	10.3084
IKBKE	9.33282	9.95044	10.0708	9.70269	9.30581	10.1326	9.94707	9.77845
IKBKG	9.0332	9.0764	9.4246	9.3399	8.9084	9.1123	9.4185	 9.542
IKZF1	4.5706	4.8468	4.8501	4.5706	4.5706	4.5706	4.5706	4.5706
IKZF2	9.41519	10.1382	10.2085	10.1999	 9.8544	 10.234	10.8148	10.2107
IKZF3	6.4426	6.7288	6.4698	6.9779	6.6986	6.3466	6.7237	6.8742
IKZF4	7.6079	7.7822	7.3078	7.9447	7.6143	7.4906	 7.931	7.4999
IKZF5	8.6639	8.8162	8.6899	9.0896	8.7517	8.8056	8.8152	8.9667
IL10	4.9053	4.5706	4.9732	4.8689	4.9374	4.5706	4.9511	4.8744
IL10RA	  5.91	6.0454	6.7604	6.6338	5.4901	5.9782	6.4129	6.5783
IL10RB	10.4617	10.9581	11.5647	11.4787	10.6787	11.2362	11.6065	11.7075
IL10RB-AS1	5.5637	5.7985	5.7339	5.9105	5.6715	 5.619	6.0262	5.9859
IL11	5.5637	6.4452	6.8107	5.8631	5.6197	6.7891	6.0709	 5.658
IL11RA	8.0849	7.8669	7.6788	7.9147	8.0795	7.5295	7.8464	7.8999
IL12A	5.5341	6.0299	5.8323	5.7575	5.7387	 5.907	5.6263	5.7546
IL12B	4.5706	4.5706	4.5706	4.8689	4.5706	4.5706	4.5706	4.5706
IL12RB1	5.0549	4.8529	5.0628	5.2269	4.9374	4.9607	5.2547	 5.173
IL12RB2	5.2356	5.1324	5.0532	5.0854	 5.131	5.0477	5.0566	 4.963
IL13RA1	11.2822	11.5351	11.6653	11.5869	11.2883	11.5806	 11.659	11.7856
IL13RA2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IL15	6.5046	6.8172	7.0082	7.1869	6.6097	7.1709	7.0765	7.4028
IL15RA	  8.53	8.2297	8.4452	8.3624	8.4358	8.3528	8.3922	8.5542
IL16	5.3481	5.9541	5.5795	5.8006	5.3583	 5.458	5.5709	5.7208
IL17B	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IL17C	6.0162	6.4733	6.8715	6.2076	5.3212	6.6629	 6.789	6.4288
IL17D	5.7309	5.7468	5.7569	5.8896	5.4575	6.0402	5.5294	5.8223
IL17RA	 9.6503	  9.787	9.94162	9.99541	9.65575	9.91507	10.0916	10.1163
IL17RB	7.8183	7.7553	7.9053	8.4433	7.7983	7.8255	8.0186	8.3172
IL17RC	9.53218	9.77037	9.93357	9.88926	9.31151	9.99157	9.98313	10.0625
IL17RD	7.5989	7.5527	7.1905	6.9845	7.4434	7.2998	7.0277	6.9073
IL17RE	 10.717	10.7908	10.7746	10.6716	 10.928	11.0161	10.7529	10.8039
IL17REL	6.3628	6.5798	7.3513	8.1429	6.4444	6.9361	8.0663	8.3642
IL18	10.2553	10.5039	10.1677	9.74832	10.8376	 10.262	9.86914	 9.2384
IL18BP	7.2903	7.8849	7.2262	8.1163	 7.952	7.3721	 8.026	7.5168
IL18R1	7.2728	7.9347	7.8293	8.2236	7.6143	7.8029	8.0125	7.7981
IL18RAP	4.8326	4.8468	4.9652	4.9878	4.5706	4.5706	5.0041	4.8744
IL19	4.5706	4.9427	4.5706	4.5706	4.5706	4.5706	5.1005	4.9995
IL1A	5.4447	6.6754	6.9601	6.6433	5.3416	6.4505	6.8337	 6.894
IL1B	5.7309	6.3514	6.6377	6.4618	5.7945	6.1591	6.0936	6.3783
IL1F10	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
IL1R1	8.3322	8.6897	8.5355	 8.717	8.3537	8.3371	  8.41	8.4534
IL1R2	7.1715	6.5798	 6.998	6.7024	7.4434	 6.859	7.1821	6.9968
IL1RAP	9.45234	10.3751	10.9108	10.9682	 9.8764	 10.425	11.0975	11.0924
