	100_24h(24hpi)	100_24h(48hpi)	100_24h(72hpi)	100_24h(96hpi)	0_24h(24hpi)	0_24h(48hpi)	0_24h(72hpi)	0_24h(96hpi)
CCDC79	4.8326	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCDC8	9.8338	9.3925	9.5767	8.9619	9.6557	9.7208	9.3883	 9.092
CCDC80	7.9675	8.0955	8.6737	8.7497	8.1748	8.4093	8.3664	8.5336
CCDC81	5.0231	5.0579	5.1639	4.8662	5.0193	4.8653	5.0566	4.8485
CCDC82	 9.243	9.5401	9.2456	9.6007	9.5646	9.5397	9.6238	9.4498
CCDC83	4.5706	4.5706	4.8501	4.5706	4.5706	4.5706	4.5706	4.5706
CCDC84	7.6571	7.6179	7.5391	7.8529	7.7321	7.3883	7.8949	7.9311
CCDC85A	4.5706	4.5706	4.5706	4.8689	4.8304	4.5706	4.5706	4.5706
CCDC85B	8.8506	7.5635	8.0129	7.5054	7.9417	7.7417	7.2361	7.3287
CCDC85C	11.6462	11.1419	11.4439	 11.492	11.0804	11.3643	11.2545	11.7305
CCDC86	8.4989	7.5455	7.6331	 6.867	8.1739	7.3638	6.7776	6.6447
CCDC87	6.1314	6.0233	5.8933	5.5757	5.6715	5.7208	5.7165	5.7189
CCDC88A	9.5291	 9.319	8.2005	8.5438	9.9764	8.4367	8.2686	7.6593
CCDC88B	7.1658	7.4415	7.5967	7.9881	7.0259	7.2154	8.1735	 7.749
CCDC88C	10.8941	10.8143	10.7215	10.8349	10.8213	10.7097	10.8041	10.8372
CCDC89	4.5706	5.1565	5.1639	5.3104	5.1043	4.9725	5.3252	4.8734
CCDC9	8.7512	8.7338	8.9366	8.8615	8.6487	8.8193	8.6656	8.9635
CCDC90B	9.6159	9.5047	9.3997	9.2014	9.5544	9.4168	  9.04	9.1895
CCDC91	8.5947	8.6109	8.4494	8.4924	8.6248	8.4483	8.4622	 8.488
CCDC92	9.0487	9.2203	9.3626	9.1686	9.1321	9.2369	9.2311	9.1885
CCDC93	10.2226	10.5444	  10.33	10.7537	10.4626	10.4764	 10.694	10.7087
CCDC94	8.7573	8.4258	8.5395	8.2357	8.8374	8.6049	8.2528	8.2131
CCDC96	6.9903	6.9672	6.9905	6.6006	6.5865	6.8207	6.5391	6.6204
CCDC97	10.0554	9.91134	9.98436	9.67642	10.1318	10.0029	9.82277	9.61548
CCHCR1	9.0551	 9.125	9.1083	9.1713	9.0408	9.4009	9.4473	 9.149
CCIN	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCK	4.8511	4.5706	4.8689	4.9878	4.5706	4.5706	4.5706	4.5706
CCKAR	4.8511	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCKBR	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL14	4.5706	4.9606	4.9732	4.5706	4.5706	4.9867	 5.036	4.8734
CCL15	8.3446	8.9278	9.0539	 8.825	8.5768	  8.99	8.8663	9.0751
CCL15-CCL14	6.4911	6.9057	7.1618	7.3408	6.8601	7.2792	 7.146	7.2552
CCL16	 5.129	5.0954	5.1639	5.4911	5.3823	5.2623	5.2775	5.5177
CCL17	4.5706	4.9427	5.4531	5.7575	4.5706	5.2251	5.0566	5.3484
CCL19	4.8511	4.9427	5.3033	5.2884	4.5706	4.5706	4.5706	4.5706
CCL2	5.5997	6.5277	7.0216	7.1971	5.7037	6.0149	7.0305	7.0214
CCL20	 9.9288	12.2831	 13.092	12.8914	9.39419	12.3325	13.2458	12.9636
CCL21	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL22	5.2581	5.3436	5.5603	5.7575	4.9681	5.3897	5.2775	5.3484
CCL23	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL24	5.4018	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL25	4.9406	5.1978	5.4424	5.7238	5.2548	5.1207	 5.412	5.5131
CCL26	5.0231	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL27	4.8326	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL28	8.47898	10.1444	10.4452	10.4025	  8.477	10.4719	10.8287	10.6191
CCL4	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.8521	4.5706
CCL4L2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCL5	6.9106	7.2144	6.6844	7.1245	7.1173	6.9047	7.0652	6.8254
CCL8	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCM2	9.3687	9.0788	9.4971	 9.276	9.1314	9.1495	8.9301	9.2165
CCM2L	4.9406	5.0579	5.2499	5.2471	4.5706	4.5706	4.8401	4.5706
CCNA1	4.5706	4.5706	5.0853	5.4453	5.0193	4.5706	4.5706	4.5706
CCNA2	8.4366	6.3847	5.8005	6.2076	8.2394	6.1363	6.1477	5.8223
CCNB1	9.6902	7.4796	7.3649	6.8044	9.5329	7.3803	6.9147	6.8394
CCNB1IP1	9.3186	8.7584	8.6279	8.1684	9.2659	8.6474	8.1689	8.1229
CCNB2	8.2872	6.1935	6.2262	6.2759	8.2235	6.2034	6.5265	6.5083
CCNB3	5.5667	5.5054	5.6161	 5.543	5.6208	5.2864	5.7667	5.5161
CCNC	10.6803	10.3671	10.4092	10.3825	10.6105	10.5096	10.4788	10.3483
CCND1	13.2202	12.1455	12.0698	11.5954	13.2418	 11.636	 11.748	11.3862
CCND2	8.3036	7.2488	7.2462	6.8044	7.5386	6.9253	6.6474	6.5952
CCND3	10.5536	11.0833	11.8312	11.6542	10.1987	11.3737	11.5884	12.1007
CCNDBP1	10.2247	10.4459	10.7528	10.6367	10.3507	10.7424	10.6994	10.8636
CCNE1	7.5668	6.8049	6.5793	6.6425	7.3345	 6.728	6.6322	6.6706
CCNE2	6.3061	5.7199	5.4424	 5.922	6.2537	5.8487	5.9594	5.8879
CCNF	8.5238	7.2545	7.2362	6.9177	8.1748	7.2212	6.9595	6.9654
CCNG1	 12.545	12.0582	11.6781	11.5608	12.5856	12.4226	11.7952	11.7726
CCNG2	 11.727	12.4581	12.9543	13.0685	 11.601	12.8207	13.2923	13.3875
CCNH	8.9806	8.8614	8.7029	8.7884	9.1344	8.8168	8.8021	8.7483
CCNI	  12.46	12.6298	13.1828	13.1033	12.6518	 12.961	13.3585	 13.454
CCNI2	6.5784	6.9672	6.7862	6.9132	6.8014	6.8225	6.8026	7.0508
CCNJ	8.5536	8.6079	7.9334	8.1735	8.2707	8.3425	7.7697	7.8927
CCNJL	9.6314	9.4378	9.6705	9.3539	9.1861	9.1639	9.3363	9.4539
CCNK	10.3692	 10.149	10.4473	10.1632	10.2671	10.2839	10.3534	10.3909
CCNL1	10.9499	11.3562	11.4293	11.9577	11.4399	11.2445	12.2506	11.9098
CCNL2	12.6735	12.8409	12.7058	13.0286	12.7052	12.7879	 12.877	12.8949
CCNO	8.1091	7.9858	7.9839	7.6276	7.8408	8.0534	7.6927	7.7993
CCNT1	10.0869	10.0457	10.0074	9.95109	10.1007	9.97485	10.0856	10.0673
CCNT2	10.3366	10.7034	10.4024	10.8132	10.6479	10.6315	10.9219	10.7427
CCNY	11.4477	11.1961	11.5834	11.5193	11.3386	11.4636	11.5111	11.8495
CCNYL1	8.7633	 9.313	9.6192	9.9206	8.7765	 9.133	9.7346	9.8535
CCP110	9.67363	9.78865	9.50463	9.63631	9.84319	9.62397	 10.015	9.61935
CCPG1	 10.284	10.8873	10.7846	10.9265	 10.539	10.8309	10.9403	10.9456
CCR1	5.4649	5.3937	5.2328	5.1586	5.4048	5.2951	4.8521	 4.963
CCR10	5.1532	 5.262	4.9732	 5.404	5.2524	 5.203	5.3581	5.0932
CCR2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCR3	4.5706	4.5706	4.5706	4.5706	4.9681	4.5706	4.5706	4.8485
CCR4	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCR5	4.5706	4.5706	4.5706	4.8689	4.5706	4.5706	4.5706	4.5706
CCR6	6.0887	6.4171	5.8005	6.5629	6.6842	6.3472	6.6959	6.6226
CCR7	4.8511	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CCR9	5.3059	5.0475	 5.127	5.0854	4.8304	5.3439	 5.036	5.5996
CCRL1	8.5709	8.8093	 8.462	 8.628	9.0587	 8.966	8.4761	8.5217
CCRL2	6.6642	6.8856	7.3675	7.3408	 6.756	6.9253	7.3254	7.4999
CCRN4L	6.9764	7.3511	7.3328	7.2162	7.2548	6.9036	7.1916	7.0804
CCS	  9.57	9.0647	9.2236	8.6843	8.9378	9.1836	 8.774	8.8951
CCSAP	7.6804	 7.764	7.9663	7.9207	7.7016	7.7686	8.1922	7.9632
CCSER1	7.4553	7.7845	7.6176	7.8471	7.7202	7.7266	7.8099	7.8337
CCSER2	 9.487	9.6062	9.5393	9.6461	9.6557	9.5703	9.6528	9.8579
CCT2	11.4393	10.7837	10.6564	10.1795	11.3071	10.6259	10.2093	10.1368
CCT3	12.1342	11.5984	11.4515	11.0752	 12.158	11.5329	11.2025	11.1017
CCT4	11.7084	11.0179	10.8612	10.4401	11.4309	11.0478	10.6223	10.5603
CCT5	11.8776	11.4389	11.2895	11.0644	12.0036	11.3445	11.0897	11.0912
CCT6A	11.9847	11.5128	11.3034	11.0644	11.8718	11.4765	11.0768	11.0945
CCT6B	5.7404	 5.606	5.3681	5.5757	5.8306	5.6499	5.5607	 5.625
CCT6P1	6.9218	 6.934	6.9585	6.8999	7.3234	6.7027	7.0428	6.9009
CCT6P3	7.4287	 7.653	 7.264	7.8529	7.6319	7.4473	7.7304	7.6065
CCT7	11.9898	 11.269	 11.397	10.8934	11.8097	11.2483	10.9422	10.9092
CCT8	11.9699	11.3433	 11.365	11.0194	11.8512	11.3318	11.1497	11.0779
CCT8L2	4.5706	4.8468	4.5706	4.8689	4.5706	4.5706	4.5706	4.5706
CCZ1	10.0724	9.92826	9.98436	9.89151	10.0364	9.85849	9.72121	 9.9809
CCZ1B	8.9896	9.0671	8.8877	9.0345	9.0764	9.0874	 9.104	9.1989
CD101	5.3059	5.3937	5.6306	5.2329	5.4926	5.4138	5.4281	5.0949
CD109	8.9186	7.5598	6.8845	7.0083	8.8192	7.5913	7.0865	6.9844
CD14	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.8485
CD151	12.9031	12.7607	13.1933	12.8913	12.4316	13.0949	12.7143	13.2276
CD160	5.1939	5.6636	5.2948	5.6623	 5.677	5.6144	5.6932	5.4377
CD163	4.5706	4.8341	4.8689	5.0807	5.0193	4.9607	5.1814	5.2992
CD163L1	4.8326	5.0475	5.1381	 5.164	4.5706	4.9867	5.1005	4.8734
CD164	13.8122	14.2287	14.5012	14.6648	13.8977	14.5682	 14.699	 14.891
CD164L2	5.7664	 5.262	5.6161	5.2269	5.4901	5.3897	5.3252	 5.173
CD177	5.7918	5.6743	 5.404	5.1768	5.5295	5.6519	4.9511	5.1239
CD1D	4.9406	4.9691	4.8689	4.8754	4.5706	4.8653	5.0566	4.5706
CD2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD200	 5.975	8.0713	 7.204	6.8278	4.5706	4.5706	4.8521	4.8744
CD200R1	4.5706	4.5706	4.8501	4.8689	4.5706	4.5706	4.5706	4.8485
CD207	4.5706	4.5706	4.8501	4.5706	4.5706	4.5706	4.5706	4.5706
CD209	4.5706	4.8529	4.8557	4.5706	4.5706	4.5706	4.5706	4.5706
CD22	4.5706	4.9427	4.9916	5.0854	4.5706	4.8552	5.0041	5.0949
CD226	4.8326	4.9606	4.5706	4.5706	4.5706	4.9867	5.0041	4.5706
CD24	15.2237	15.4235	15.7573	 15.462	15.1447	15.5125	15.7411	 15.678
CD244	4.5706	4.8341	4.8501	4.9878	4.8304	4.8653	4.5706	4.8734
CD247	4.5706	4.5706	4.8689	4.9917	4.8304	4.5706	 5.036	4.9981
CD248	4.9053	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD27	4.8511	5.0475	4.8689	4.9917	4.5706	4.9607	4.5706	4.5706
CD27-AS1	7.2728	7.3374	 7.273	7.3877	 7.246	7.3242	7.3675	7.0804
CD274	5.6088	6.0754	5.8381	5.8896	5.3212	5.9436	5.9884	5.7853
CD276	 11.024	 10.807	11.1652	10.9508	 10.814	10.7843	10.8224	11.0392
CD28	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD2AP	12.7583	12.9054	13.0321	13.2249	13.0522	13.0491	13.4162	13.4228
CD2BP2	10.8111	10.7561	 10.907	10.7766	10.5922	10.8023	10.5818	10.8357
CD300A	9.65354	9.76774	10.5716	9.99086	9.24258	10.0027	10.4679	 10.283
CD300C	5.0231	5.0475	 5.127	4.9878	4.8304	5.0793	5.1961	5.0949
CD300E	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD300LB	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD300LF	5.5667	5.2566	5.6242	5.4453	5.4849	5.8912	5.9297	5.8223
CD300LG	4.5706	4.8468	4.5706	4.9878	4.8521	4.9607	4.8401	4.5706
CD302	8.7959	9.5152	9.3862	9.7552	8.8985	9.7968	9.7382	9.9382
CD320	9.5199	7.8266	7.7347	7.3499	8.9767	7.6775	7.0086	6.9903
CD33	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD34	5.0231	5.0579	4.9652	4.5706	4.8521	4.5706	4.5706	4.5706
CD36	7.0289	8.2817	8.5374	9.2549	6.8014	8.6771	8.6143	 9.596
CD37	6.5208	  6.78	5.9502	6.3891	5.8306	5.9059	6.0709	5.6029
CD38	5.6573	5.4328	5.6622	5.1586	5.4849	5.3668	5.3742	5.1883
CD3D	4.5706	4.5706	4.5706	4.5706	4.5706	4.8653	4.5706	4.5706
CD3E	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD3EAP	7.2577	6.5674	6.1764	  6.13	6.7861	6.0013	5.8991	5.8818
CD3G	4.5706	4.8341	4.5706	4.8689	4.5706	4.5706	4.5706	4.5706
CD4	5.4649	5.2566	5.3033	5.1768	5.7568	 5.157	5.1961	 5.175
CD40	 8.183	 7.704	8.0194	7.6998	8.0095	7.8785	 7.645	7.4379
CD44	11.6514	10.3908	10.0241	 9.5856	11.4089	10.1989	10.1112	9.40553
CD46	13.3138	13.3418	13.5328	13.6693	13.2542	13.5252	13.7496	13.7951
CD47	11.8803	12.1782	12.2383	12.0586	12.0591	 12.149	12.2306	12.1385
CD5	4.5706	4.9691	4.5706	4.8689	4.5706	4.8469	4.5706	4.5706
CD52	8.3606	6.0441	5.8929	5.6243	6.3475	5.4138	5.4281	5.5907
CD53	4.5706	4.5706	4.8501	4.5706	4.5706	4.9607	4.8777	4.8744
CD55	9.83254	11.2428	12.6092	12.3973	9.66138	11.5112	12.6515	12.7811
CD58	8.4492	8.3921	8.7388	8.8936	8.3459	8.5012	8.8929	8.9864
CD59	13.7658	13.9886	14.4419	14.1891	13.8315	14.1389	14.2411	14.3755
CD6	5.0231	4.5706	4.9732	4.8662	4.9681	4.5706	4.5706	4.5706
CD63	13.8767	13.8012	14.4095	14.1117	13.4943	14.0928	14.1043	14.5623
CD68	11.2791	 11.938	12.6712	12.3438	11.3873	12.3084	12.7187	12.7693
CD69	5.1939	5.0954	4.8501	5.0008	5.0193	5.2251	4.9511	 5.173
CD7	5.0231	5.1978	 5.685	6.0815	5.1043	 5.062	5.7165	6.0251
CD70	8.6703	7.3232	 6.998	7.3235	7.9417	7.3161	6.5115	 7.238
CD72	6.0887	5.7379	6.0815	6.3188	5.9639	5.9623	6.1722	5.8078
CD74	11.8002	11.4063	 11.442	10.9832	11.4074	10.8917	 10.828	10.6456
CD79A	4.8511	4.9427	4.5706	4.8689	5.1962	5.1847	5.0041	4.8734
CD79B	4.8511	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.8485
CD80	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD81	12.0844	11.5274	12.1051	11.6686	11.7084	11.6696	11.7207	 11.892
CD82	11.9254	12.0017	12.3427	12.1091	11.6862	12.3429	12.0702	12.3016
CD83	5.5997	5.1844	5.3527	4.9878	5.4849	5.4327	5.3159	5.0932
CD84	5.2524	5.4069	4.8501	5.0008	5.3212	   5.5	5.1697	5.0505
CD86	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CD8A	4.5706	4.5706	4.8557	4.5706	4.5706	4.5706	4.5706	4.5706
CD8B	5.5262	4.9691	5.2634	5.2884	 5.131	5.2251	 4.968	4.9981
CD9	12.9217	12.2719	12.5864	12.5807	12.8094	12.5261	12.6027	12.9179
CD96	5.5997	6.0454	5.0628	5.3104	 5.088	4.8653	5.3252	4.9981
CD97	11.3751	10.5547	10.6975	10.3106	11.1014	10.8526	10.5732	10.4624
CD99	11.5937	11.2792	11.6811	11.2718	11.3514	11.6324	11.3191	11.6052
CD99L2	9.3667	8.8324	8.7698	8.1481	8.1875	8.3191	7.8588	7.7566
CD99P1	6.7589	7.4682	 7.264	7.6851	7.1065	7.2958	 7.935	7.6204
CDA	7.3728	 7.285	8.3856	7.9424	7.2514	7.5671	7.8002	8.5162
CDADC1	7.1411	7.1339	7.1326	7.1441	7.1935	 7.275	6.9286	  7.09
CDAN1	8.4266	8.5291	8.1786	8.3624	 8.517	8.5595	8.1626	8.2518
CDC123	10.1281	9.68513	9.77365	9.38595	10.1795	9.75448	 9.5282	9.39413
CDC14A	7.8267	8.0907	8.2791	8.5085	7.8408	8.1766	8.1673	8.6895
CDC14B	10.0676	10.0898	10.0017	10.2559	10.2241	10.2381	 10.285	10.2514
CDC14C	5.1939	5.2947	5.2328	 5.404	5.3416	4.9725	5.4281	5.5996
CDC16	10.4234	10.3621	10.0446	10.1493	10.6166	10.3154	10.2185	10.0948
CDC20	9.1247	5.4699	5.3178	 5.519	8.6605	5.7543	 5.412	5.5131
CDC20B	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.9511	4.5706
CDC23	9.6112	9.4636	9.2097	9.2139	 9.657	9.5329	 9.168	9.2442
CDC25A	7.7507	7.0381	6.7208	6.8044	7.5254	6.9885	 6.497	6.8051
CDC25B	10.4809	10.0605	9.94997	10.1211	10.2844	9.96025	 10.108	 9.9718
CDC25C	6.5951	4.9691	4.8501	5.0008	6.6097	4.5706	4.9511	4.9995
CDC26	8.9005	8.8156	9.1163	8.9558	8.9626	9.0494	9.0217	9.2447
CDC27	10.6305	10.5566	10.3311	10.3529	10.9402	10.4577	10.5621	10.3164
CDC2L1	5.7903	5.9776	6.1335	5.6243	5.9846	 6.046	6.1977	 5.912
CDC34	10.4058	10.3931	10.8325	10.5718	9.85392	10.4004	10.4345	10.7468
CDC37	11.8632	11.6115	11.7467	11.5787	11.9001	11.7768	11.6712	11.5668
CDC37L1	8.7807	8.7553	8.9143	 9.009	8.7576	8.9873	8.9685	9.0625
CDC40	9.6149	9.6835	9.4575	9.7182	9.8764	9.7241	9.7688	 9.654
CDC42	12.7303	12.6893	12.8737	12.6571	12.7901	12.7704	12.8133	12.8756
CDC42BPA	11.7365	12.2719	12.1114	12.5851	12.1704	 12.345	12.7927	12.6086
CDC42BPB	12.5655	12.6497	12.7148	 12.739	12.6702	12.6928	12.8351	12.7881
CDC42BPG	 10.743	10.8345	11.1567	11.4913	10.7874	10.9267	 11.426	11.6503
CDC42EP1	 11.997	11.8441	11.9999	11.3093	11.8856	11.9989	11.7214	11.5082
CDC42EP2	9.84532	9.73311	10.2859	9.98659	9.50047	10.0306	10.1706	10.3693
CDC42EP3	9.8947	9.4128	8.9833	8.7495	 9.444	8.9974	8.6296	8.5092
CDC42EP4	11.3887	11.2208	11.3365	 11.279	11.3441	11.4598	 11.203	11.3854
CDC42EP5	10.5597	10.7746	11.9918	11.4019	9.99049	11.3294	11.6354	12.0216
CDC42P3	5.3059	5.4328	4.9652	 5.543	5.5896	5.2864	5.7307	5.3944
CDC42SE1	11.2036	11.3331	11.5519	11.7671	11.2263	11.2888	11.6395	11.7659
CDC42SE2	10.8413	11.1581	11.5514	11.4991	10.8035	11.3724	11.6549	11.7844
CDC45	6.8649	5.1844	4.8501	4.9878	6.5801	5.0477	4.9511	5.0505
CDC5L	 10.318	10.2668	10.0216	9.93122	10.4571	10.2465	10.2279	10.0989
CDC6	7.9478	6.0975	6.1051	6.0565	8.3013	6.1591	6.1227	6.1277
CDC7	7.3529	6.8549	6.2823	6.5121	7.4033	6.7027	6.3128	6.0023
CDC73	 10.277	10.1743	10.1187	10.0922	10.0925	10.2191	10.1145	10.2649
CDCA2	7.7019	6.1758	 6.326	6.2759	7.8616	6.4992	6.7579	6.7513
CDCA3	  7.42	5.9541	6.2168	 6.185	7.1173	5.7777	5.8249	6.0821
CDCA4	 8.128	 7.355	7.3675	7.0548	7.9417	7.4228	7.1372	7.0455
CDCA5	7.7019	5.9776	5.6242	5.2884	7.3899	5.9306	 5.526	5.5996
CDCA7	9.4157	 7.329	5.8661	5.6528	8.9183	7.5057	5.7667	5.0949
CDCA7L	8.7414	7.7203	7.2092	6.6893	8.4583	7.6505	7.0046	6.6284
CDCA8	8.3422	7.0913	7.2482	7.0478	8.1581	7.1161	7.2255	7.1187
CDCP1	11.9738	11.9964	12.4862	12.6041	11.6685	11.8577	 12.621	 12.685
CDH1	14.5691	14.8319	14.9492	14.8322	14.7383	14.9692	15.1312	14.9681
CDH10	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CDH11	4.5706	4.5706	4.8501	4.5706	4.5706	4.5706	4.5706	4.5706
CDH12	5.2356	5.6636	5.5228	5.6464	5.4208	5.0793	5.3742	5.3484
CDH13	4.5706	4.8468	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CDH15	5.3059	4.5706	4.5706	4.5706	4.9681	4.8552	4.8521	4.5706
CDH16	6.8127	6.9562	6.9964	6.9905	 7.186	 7.519	7.1026	6.9654
CDH17	12.3236	13.6745	14.1879	14.4286	12.5752	14.0682	14.5348	14.7947
CDH19	4.5706	4.5706	4.5706	4.5706	4.8304	4.5706	4.5706	4.5706
CDH2	5.0231	5.3088	5.0532	5.2471	4.5706	5.0793	4.8521	4.5706
CDH20	4.5706	4.5706	4.9652	4.5706	4.5706	4.5706	4.8777	4.5706
CDH22	6.2853	5.5054	5.4992	5.2884	4.5706	4.5706	4.5706	4.5706
CDH23	6.5945	7.9061	9.0507	9.1557	   6.8	8.4037	9.1482	9.4536
CDH24	8.8618	 9.201	9.4207	9.3121	8.8059	8.9603	9.1867	8.9078
CDH26	5.9981	5.9329	5.8687	5.8817	5.9846	5.9306	6.4235	 5.625
CDH3	12.6538	12.2671	12.3043	11.7259	12.5946	 12.447	12.0249	11.7443
CDH4	5.5637	5.9541	 6.106	6.5121	5.7309	5.9688	6.2933	6.1986
CDH5	6.4745	5.3937	5.7569	6.0689	 5.131	5.4429	5.6713	6.5382
CDH6	4.8511	4.9606	4.5706	4.5706	4.5706	4.8552	4.5706	4.5706
CDH7	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CDHR1	4.9406	5.3088	4.8501	5.0965	4.5706	4.5706	4.8401	4.8485
CDHR2	8.72002	10.9436	12.7435	13.2564	9.04738	11.3206	13.0031	13.4542
CDHR3	6.7932	8.4538	7.9241	8.9355	6.4158	6.4494	6.4681	6.7637
CDHR4	 5.761	5.7681	5.6638	  5.92	5.6208	5.6499	 5.526	5.6899
CDHR5	11.2935	13.0001	14.6056	14.6506	11.1309	13.3394	14.1344	14.9353
CDIP1	9.65354	9.70727	10.0717	9.76711	9.19472	9.75214	 9.7591	9.98234
CDIPT	10.5415	10.4679	10.7937	 10.553	10.1743	10.6638	10.3788	10.7767
CDIPT-AS1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
CDK1	8.9141	6.4164	6.1335	6.3118	 8.375	6.6237	6.1343	6.4274
CDK10	10.7811	10.8659	10.8088	11.0055	10.8128	10.8445	10.7241	10.9687
CDK11A	9.4285	9.6803	9.6505	9.9495	9.5895	9.6442	9.8028	 9.848
CDK11B	9.53579	9.67066	9.97269	 9.8602	9.58213	9.78448	9.72173	10.0415
CDK12	10.7331	 10.768	10.4878	10.7385	11.0041	10.6717	 10.765	10.6236
CDK13	10.4571	10.8547	10.6531	10.9333	10.7571	10.6665	11.0246	10.8412
CDK14	6.2023	6.8236	7.0082	6.6338	6.8452	7.0864	 7.116	6.7908
CDK15	4.5706	4.5706	4.5706	4.8689	4.9681	4.5706	4.5706	4.5706
CDK16	11.0922	10.9889	11.4013	11.1784	11.1044	11.1255	11.2227	11.2503
CDK17	9.4141	 9.633	9.5777	9.5553	9.3766	9.5909	9.8214	 9.736
CDK18	10.2149	10.1331	10.4424	10.7195	10.2735	10.2884	10.8095	10.7975
CDK19	10.2644	10.7361	10.9975	11.1258	10.3076	10.8093	11.3709	11.2804
CDK2	9.6285	9.4182	9.4212	9.3816	9.6927	9.5045	9.6498	9.5216
CDK20	9.2411	9.6427	9.7111	9.7064	9.1156	9.5809	9.5746	9.6532
CDK2AP1	10.5257	10.2616	10.3991	10.2594	10.1241	10.2469	10.0378	10.2132
CDK2AP2	10.4972	 10.421	11.0508	10.6945	10.4068	10.5835	 10.819	11.0889
CDK3	7.8925	  8.24	8.4254	 8.746	 7.952	8.2539	8.5656	8.5092
CDK4	10.8982	10.0943	9.90833	9.10273	10.6346	10.2277	9.30726	9.03488
CDK5	8.6115	8.2731	8.3074	7.9758	 8.257	8.2591	 7.931	8.0807
CDK5R1	6.5784	7.0017	 6.666	6.6425	5.9389	6.1815	5.8015	5.7796
CDK5R2	5.6573	7.3221	7.9118	7.1664	4.8304	4.8552	4.8777	4.5706
CDK5RAP1	8.4411	8.4324	8.1104	8.1439	8.5278	8.2101	7.9692	7.8195
CDK5RAP2	9.6696	9.7074	 9.451	9.6597	9.7359	9.6137	9.6408	9.4167
CDK5RAP3	11.6643	11.8862	11.9645	12.5072	 11.823	11.8382	12.4609	12.4226
CDK6	11.6021	 11.381	10.6942	  10.66	11.7599	10.9913	10.7346	 10.408
CDK7	9.2542	9.0181	9.1374	8.7733	9.3386	 9.182	8.9763	8.9754
CDK8	8.4152	8.8072	9.2744	9.0923	8.5419	8.8282	9.0835	9.3898
CDK9	10.5142	10.3908	10.5695	10.4716	10.2542	10.4441	10.3546	10.4845
CDKAL1	8.6767	8.8365	8.3112	8.1274	8.1875	8.1515	7.8749	7.8978
CDKL1	5.6676	  5.93	5.6242	6.1632	5.7568	 5.907	6.0491	6.2554
CDKL2	 5.129	5.1204	4.5706	4.9917	5.3085	4.8552	5.1072	4.8734
CDKL3	5.7136	5.9395	5.7176	6.0064	5.8769	5.6499	6.1722	5.8352
CDKL4	4.8511	4.9606	4.5706	5.0008	4.5706	4.5706	4.8777	4.8485
CDKL5	7.7875	7.7961	7.6315	7.9327	8.0844	 7.907	8.0953	 7.735
CDKN1A	 13.132	13.8737	14.4742	14.1096	12.8867	14.0206	 14.157	14.4089
CDKN1B	10.9122	11.2252	11.4919	11.4678	 10.901	11.5316	11.6558	 11.677
CDKN1C	10.8411	11.0019	10.6384	10.3539	8.08437	9.89833	8.47167	9.02023
CDKN2A	9.81507	10.1244	10.7538	10.3573	  9.626	10.2957	10.2229	10.6294
CDKN2AIP	8.9032	9.0671	8.9741	9.0016	9.0773	 9.111	 9.072	9.3003
