	genes
FBLN2	2
SYNPO2	3
PTF1A	4
FAM13A-AS1	3
AK127224	0
CELF3	3
SYNPR	3
CNTNAP3	4
P2RX1	3
SPINK1	2
KCNB2	2
AHR	2
ARID5A	2
SCG3	3
SYT4	1
ASCL1	3
KCNA5	3
HBEGF	6
BHLHE40	5
ENPP2	5
BANK1	2
CCDC74B	2
RAPGEF4	1
EBF3	1
THBD	4
EGR4	2
MYH11	2
EHF	2
SPRY4	3
ELF3	5
LINC00643	0
SH3RF3-AS1	6
ESRRB	1
ANKRD65	6
FAXDC2	1
GDAP1L1	2
NPR1	1
SSTR5	1
ETV1	3
TNP1	3
TPPP3	4
ETV4	1
GHRL	4
ARL4A	4
MANEAL	1
FEV	3
CHGB	3
GPD1	3
HTRA1	6
SEZ6	4
LTB	3
MAP2	4
STAT1	2
FOXP2	3
ITIH2	2
VGLL3	4
C1QL1	0
GLIS3	1
SGCD	2
C2CD4B	3
HOXA9	3
RGS4	6
HOXB3	2
SLC6A17	3
HOXD1	1
SLC4A4	2
CXXC5	2
KIF19	4
KREMEN2	2
IRF4	0
G0S2	6
WNT1	6
LMX1A	3
LMX1B	4
CALB1	4
MECOM	2
CAMK1D	5
TMEFF2	5
POU3F4	3
MEIS2	6
TBX3	3
TFPI	2
NEUROD1	3
KCNK16	3
NEUROD2	1
IL32	2
RRAS	5
SATB2	4
DSEL	1
SERPINA4	1
ST8SIA3	1
OLIG3	6
ONECUT3	2
TCERG1L	2
PGM5	0
RXRG	4
HSBP1L1	1
TTLL7	4
MAPK15	2
NAAA	4
SH2D3C	2
SOX9	4
DCX	4
THY1	3
TBX2	6
TBX20	4
CAMK2N2	4
CADPS2	1
LHFPL4	2
HYDIN	3
EDN1	5
CYP27C1	2
PFKP	2
HLA-DQA2	1
IGFN1	5
PTGER4	2
LIMCH1	3
RRAD	6
MLF1	6
TNFAIP2	2
MYBPC1	4
PLAUR	5
TBL1X	5
PAX6	1
H19	3
IGF2	4
GRID2	2
LOC389332	1
LHX1	3
MMP1	1
MPPED1	4
FSTL3	2
GRIN3A	3
SCN3A	6
NOTCH4	4
VSTM2A	0
PPFIA3	3
GPR85	2
TTLL6	3
TNC	2
NFASC	4
PDE4B	4
GALNT14	3
NPPB	2
HEY1	4
GRIK2	2
GUCY1A2	2
PCOLCE2	2
TMOD1	0
GCG	0
MMD2	3
DL492557	4
PTGDR2	4
SMTNL2	5
LRRTM1	3
PRSS23	2
CDH20	4
BSN	3
ANGPT2	3
ID4	2
LMOD1	1
LRRC10B	5
PLEKHH2	5
INHA	3
HRK	4
MIAT	2
MEIS1-AS3	1
SNED1	0
SHISA2	5
DNAH5	3
COL8A1	2
HIST1H2AC	0
SLC7A1	2
SLC2A6	6
ACVR1C	6
ADAMTS12	5
CALCA	0
NTS	1
GPR142	1
GPRIN3	5
MARCH8	0
SCGN	3
ELAVL2	3
LYZ	1
AFF3	2
CPLX1	1
MERTK	4
PPFIBP2	2
KIAA1653	6
MAP7D3	1
FGF1	3
PHGR1	1
SIX2	4
SKOR1	3
SLC35G2	2
EML6	1
PCSK6	1
FBLL1	2
LRIG3	3
SLC1A1	2
KIAA1211L	1
KIAA1199	3
STX1A	1
RNF135	6
SYT7	2
SLIT3	2
FOXB1	4
ENPP1	1
CNGA3	3
RUNX1T1	3
CACNG7	1
TMEM179	1
ADAMTS17	2
NYAP1	1
UNC80	3
ZNF702P	6
KCND3	6
OTOGL	2
THBS3	1
MAOB	5
TMEM59L	1
PPP1R1A	4
DDC	3
MFAP4	3
NPAS1	2
BC021061	2
NKAIN4	2
CDH11	6
TESC	2
CHL1	4
MSLN	3
HRH1	4
ITIH4	4
CKB	2
SBK2	2
PPP1R17	3
ANKH	4
PTPN3	2
ADAMTS20	1
COL9A2	4
ELOVL2	4
SNAP25	2
CACNA1A	3
GPR119	3
APCDD1	6
SLC17A8	1
RBBP8NL	2
BAAT	2
CDH5	1
DRD2	2
PCSK1	3
ISG15	2
STX11	2
ADH1B	2
KCNMB1	2
SLC15A1	2
HKDC1	3
SERPINE1	2
DLL3	3
FNDC5	4
UGT2B15	4
CRYBA2	1
GRIA2	3
INS	1
TUBA4A	1
UNC13A	1
CRH	3
SPEF2	3
NCAN	1
RHOJ	6
MAPK11	2
GNAO1	3
RSAD2	5
SPTBN4	6
LOC642366	0
NOG	3
PLAC8	2
ZNF385B	2
CLVS1	3
AX747593	5
TAGLN3	4
ADCYAP1	4
NRSN1	4
FFAR4	3
OLFM1	4
PKHD1	6
ABCB1	4
CALB2	2
AREG	2
MIA2	6
CERKL	6
IRS2	2
KLHL41	6
SLC26A4	6
SSTR3	0
NLGN3	6
THBS1	2
PMP22	2
PLCXD3	4
EPHA8	3
CKMT1B	1
KCNH3	6
WDR66	1
MYT1L	2
LPAR3	1
NPPA	6
CTSE	2
HS3ST1	1
NEB	2
TLL1	2
ANO9	2
OCA2	6
DCDC2	2
RGS7	4
LOXL4	2
IGFBP7	5
C7	3
FSTL5	3
LINC00617	3
BC033961	1
PLBD1	2
PLA2R1	2
CXCL5	2
ATP12A	4
GPR3	6
PCDHB19P	4
TUB	2
PGA4	6
IER5	4
IGFBP6	2
MT1E	5
NRARP	4
SEZ6L	4
MRC1	4
MICAL2	2
HTR7	1
S100P	2
STK38L	2
DUOX1	0
LRTM1	4
TMEM151A	1
L1CAM	2
BAIAP2L2	1
ADH1A	6
STEAP4	1
PALMD	6
LRRIQ1	6
KCNMB2	1
TMEM51-AS1	6
SULF1	6
MAN1A1	3
MMRN1	3
MN1	2
POU3F2	4
KLHDC8A	1
STX1B	1
RAP1GAP2	4
LANCL3	2
FLT1	2
CDH12	1
IL18	2
SERPINB2	3
PGA3	2
DRC1	4
ATP2A3	6
STXBP1	6
GPR126	5
DDX60	3
PCDH8	2
BMP6	2
RUNDC3A	3
FRMPD4	0
NEGR1	3
TCRVB	3
CLEC4G	1
ANK1	4
ARHGEF6	1
BEX1	6
ILDR2	6
NTN1	4
S1PR3	4
FAM46A	2
SLC7A7	6
PCDH1	2
CPA4	2
MAP6	0
NEXN	2
LHFPL3-AS2	3
DNAJC12	4
SLC38A3	4
STARD9	4
ABCC8	1
SEC11C	5
CHSY3	2
CMSS1	5
MAMLD1	3
TCF24	5
MME	0
NME1-NME2	4
CBLN4	6
AQP3	5
KCNC1	1
KCNA3	6
CKMT1A	2
RBP2	6
JAG1	2
GLIPR1	2
LOC100129175	6
LOC90246	2
SLC25A30	6
PID1	4
SLITRK6	6
ALOX5	6
INHBA	1
ASB2	2
KRT7	2
LRTM2	0
CADPS	5
NOV	0
PDE2A	6
CNN1	2
GPR183	2
PAPPA2	2
IGSF11	4
WDR17	3
PDZD8	4
SLC39A5	3
KIF5A	1
TMEM88	5
SIM1	0
HOXA-AS4	0
PAH	4
PCSK1N	6
GNG5	2
ELAVL3	1
UNC79	0
CD82	1
SLC8A1	4
RELN	2
CDKN2B	2
KCNK10	2
TLN2	4
FAM57B	1
PCBP3	6
SLCO1C1	0
SPHK1	1
NEURL1B	3
CBLN1	2
CEBPA	2
ALDH1A3	6
PTPLA	2
NEFL	2
SYT5	6
ZC3H12A	5
NPTXR	2
CATSPERG	6
KCNK3	6
IP6K3	6
GMNN	4
NOVA2	1
DLX5	6
C2CD4A	1
CXCL1	2
LFNG	2
NKX6-1	1
CCND1	5
MOXD1	5
KCNQ5	2
DUSP5	2
ACTL6B	3
CACNA1C	0
MAPK8IP2	3
PLCB4	2
RAB26	3
ST18	3
CES1	5
GPR115	2
CNTNAP4	1
NRP2	5
FSTL4	2
KCNJ2	2
LRP1B	2
SRRM4	4
XYLB	1
SLCO2A1	3
ITPR2	2
CDC42EP1	2
IGFBP3	0
AK097288	0
SORCS3	5
CPEB2	3
GALR1	3
DYSF	2
XKR7	4
PTCHD2	4
QPCT	3
DUSP6	3
RCAN1	2
LOC728392	0
MYO18B	2
RAB3IL1	3
MPHOSPH10	2
CNTNAP3B	3
TRPA1	2
DLC1	3
APOC3	1
AB074188	3
ATP10D	1
PDLIM3	2
ANXA9	1
PSD2	2
ADCY1	3
AHNAK	4
SKAP1	6
PPM1E	1
KIAA1377	3
CLPS	6
MIR137HG	4
SLC16A12	2
DNAH7	4
DAAM2	2
CDHR1	6
EFCC1	6
ID1	2
PDIA2	6
CRMP1	3
NKD1	2
AMER2	4
PIK3AP1	4
SMOC2	1
GRM8	4
COTL1	5
BTBD17	5
DQ583756	3
BMPER	2
SPRED3	1
SH3GL3	3
WNT4	2
KLHDC7A	3
KIAA1462	2
HPCA	1
KCNJ5	1
TUBA3FP	3
BHMT	1
KLHL4	4
ADAMTSL1	1
DEPTOR	3
IGSF10	3
STARD13	5
SDK1	2
TGFBI	2
CPN1	2
ZNF503	5
WDR65	4
TMEM130	1
GLS	5
RAP1GAP	2
NTM	4
NEURL	4
HIVEP3	2
LINC00152	2
DACH1	3
SHANK1	1
ROS1	4
SYP	3
FOSL2	2
KCNIP1	1
P4HA2	5
CCDC50	2
CPLX2	3
TMEM198	5
GLB1L2	5
RYR1	3
ACO1	2
GCK	3
CST2	2
NEFM	6
ACOX3	5
NGFR	2
SULT1E1	0
TM4SF1	2
KLK10	0
ALPP	6
GRIN2D	4
STK17B	2
TMEM185A	2
HS3ST3B1	4
CHST1	2
ADAP1	2
CDX2	5
BX538226	1
SLC6A2	1
LRRC6	0
GALNT3	2
DPP6	4
BAI1	3
GALNT18	2
FFAR2	4
NPTX1	4
SLC6A4	6
CHRNA1	3
NPHS1	1
ELMO1	3
MTHFD2	6
IL13RA2	0
DLGAP3	1
RASSF4	2
KCTD16	5
STMN2	2
ATCAY	1
ALDH3A2	6
SUCNR1	3
AP3B2	3
TMEM145	3
SAMD5	2
CER1	2
RAB17	2
BIRC3	3
ENTPD3	3
MAK	4
PARM1	2
ST3GAL5	2
AK308605	2
BC014312	6
KCNB1	1
MAST1	4
GLRB	4
MARVELD1	1
NES	5
SERPINA3	3
MDGA1	6
SMPD3	3
CD163	1
MYL4	2
ME3	0
INS-IGF2	5
LOC653513	0
GRASP	2
CNNM1	1
CAV2	2
RGS16	1
GPR83	2
LPPR1	1
CEBPA-AS1	2
HLA-DPB1	2
LPPR5	4
PGA5	6
RBFOX1	4
SOD3	5
CDKN1A	2
ATP2B2	4
MYBPC3	4
PRUNE2	3
LINGO2	1
CYB5A	3
NPFFR2	3
SH3RF3	4
MVP	2
PMAIP1	2
DIRAS2	4
MYT1	1
ADCK3	1
PTPRN	1
CLRN3	3
ACSM3	4
ADRA2B	6
JAZF1	2
PDE1C	2
FLJ46481	1
TYRP1	3
HIF1A-AS2	1
KAL1	2
SGPP2	1
SV2B	1
KCNT1	6
SRRM3	0
CALCRL	3
UNC5C	4
MYPN	2
FBN2	2
GFOD1	2
LYPD1	5
NFKBIZ	2
TRIB3	1
NKX6-2	2
GNG3	2
LHFPL3	6
SLC28A3	1
SLC7A5P1	5
CRIP2	2
CYP11A1	0
PLEKHG4	6
NUAK1	2
ATP8A1	4
SOCS3	5
TMEM196	6
PDK4	4
CALY	1
CYP19A1	4
FGD5	5
CPXM2	5
ITGAM	1
FAM105A	5
TTC40	0
HLA-DQB1	6
DLL4	4
GABRG2	6
UBE2QL1	6
PTPRN2	3
LMO2	1
CD36	3
IER3	2
ATP6V0D2	0
NOTUM	4
NRCAM	2
SSBP2	5
DLK1	6
B2M	3
CPA1	3
SYNPO	1
KCNJ6	0
SSTR5-AS1	3
DOCK10	4
ADAMTS9	3
NECAB2	0
IQSEC3	1
NAALAD2	5
NKX2-2	0
RHOH	3
NEBL	2
AMN	2
SSTR2	3
NUDT16P1	6
ITGA4	3
GPR123	3
NTNG2	1
TTBK1	1
APBA1	2
SLC20A1	2
MICALCL	0
SCPEP1	2
C1QTNF1	3
GRIK3	4
LACC1	6
CCK	6
KLHL29	1
MUC13	6
TIMP3	5
A1CF	1
AMPH	3
PTGER3	3
GRID1	5
CCBE1	5
SMOC1	4
LPPR2	1
S100A3	3
ACTG2	3
PALM2	1
BC084558	0
FLJ16779	2
ADCYAP1R1	4
SH3RF2	6
PDE4A	5
BAI3	2
ATP1B2	2
RNF165	4
UCA1	0
LRIG1	6
GSTA1	2
LIPG	2
PLXNA2	2
ADAMTS5	5
STMN3	3
CADM2	3
CCDC162P	3
BX537481	4
RPS6KL1	4
DNASE1	1
PHLDA1	1
RBFOX3	6
ATOH8	4
LRRN3	4
CACNA2D3	4
SIK1	2
SSTR1	1
TMEM27	2
SLC7A14	1
LRRC73	3
ELAVL4	3
TSPAN8	3
LOC286189	5
BC107568	1
SLC25A19	3
CELA3B	0
COL4A4	2
PIK3IP1	2
ODF3B	4
CGA	3
GAL	3
IGF2-AS	3
LOC100127983	6
SLC8A3	1
JAM2	4
MARCH4	0
HSPB1	2
PLCL1	2
CHRM1	2
DGKG	4
C2CD4C	1
LINC00936	1
NELL2	0
CCDC152	5
PKIA	5
SLC34A2	2
BCHE	3
AK131337	4
LEMD1	1
SYCP2	4
VGF	1
LYST	4
TGFB3	2
PRG4	3
ATP1A3	1
PALM2-AKAP2	4
ADAM8	5
RGS3	2
SELM	2
GGN	1
PLD1	4
TBX4	3
MGC45800	2
GPR176	2
TMEM151B	3
CCDC3	3
ASPHD1	2
HMP19	3
LAMP5	6
FAM21B	6
NGF	2
KRT81	1
ARHGAP24	4
LMO1	1
CXCR4	2
ACADL	3
ARHGEF4	2
SLC25A14	3
LOC541471	2
IL31RA	3
CALHM3	4
TTLL10	4
SLC47A1	4
AK055386	1
AK026379	4
GPD1L	2
SVOP	1
KIRREL2	5
KCNN3	3
ERO1LB	1
GRAMD1C	5
HIST1H2BK	3
DNER	1
AK130759	2
CAPN14	3
PRICKLE2-AS1	3
ANKRD20A8P	5
TTYH1	3
SLC19A2	2
ENOX1	4
B3GAT1	2
MMP24	2
KLK12	3
LMCD1	2
ITPR1	3
RFTN1	2
KCNC2	3
FLVCR2	2
TIE1	3
TNFRSF21	4
GPR113	6
TNFSF15	2
FMN2	3
MAN1C1	2
NMRK2	5
DCDC5	3
FAM5B	4
PHYHIPL	3
HPSE	4
BCAN	3
MEG3	2
HCN2	1
B3GALT2	6
NMB	2
SCTR	1
UBTD1	2
CSPG5	2
PSD	1
LRP11	1
PVRL4	4
CEACAM1	6
KIF9	2
SCN1B	2
PXDNL	2
SERTAD4	3
LOC145845	0
CCDC173	6
SLITRK1	6
LOC541467	0
MIR7-3HG	1
GPR111	2
CTNNA2	4
NALCN	1
NXPH4	1
CNTNAP5	4
CCL2	2
CNTFR	2
FAM19A3	2
ADAM12	2
LOC283731	5
NIPAL4	2
CLDN10	1
UBD	6
SLC8A2	6
SLC20A2	2
CDH9	2
PGBD5	3
TSPAN32	5
CPA2	1
NEU4	3
MBOAT1	4
CPB1	2
CCSER1	3
AK026392	2
ALX1	2
AK056625	4
GP2	1
AX747090	1
SMN1	0
PKIB	0
ARHGEF19	4
RXFP3	4
NTF3	2
LINC00574	2
KCNH2	0
LMO3	2
RASGRP1	2
PPM1J	2
FAM135B	0
SHISA3	4
LOC100130476	6
PCDHB6	4
PLK3	2
CALCB	2
MCAM	2
AX748395	6
KL	1
LRFN5	3
CBLN2	3
CALN1	3
CELA3A	4
PDE3A	2
MFAP3L	2
HDAC9	3
PAK7	1
EGLN3	4
LEFTY1	1
GAP43	4
IFFO2	5
BICC1	2
NAV3	3
CHRNB2	3
FUT9	3
DNAAF3	2
DES	3
GPR112	1
DPYD	5
PRLR	3
LINC00607	6
KIAA2022	1
SLCO3A1	1
CACNA1B	1
RASD1	6
LOC285484	1
RASAL1	2
KIAA1244	6
NR2F1-AS1	0
FAM167A	4
SLC35D3	3
CRYAB	4
LINC00890	4
CGREF1	2
RGAG4	5
CASR	4
RASGEF1B	2
LRRK1	2
NCCRP1	1
RYR3	4
GABBR2	1
GAS2L3	1
SLC41A2	5
DSC3	6
JPH4	3
JAKMIP1	3
TNR	2
GNG4	3
MGAT4C	3
FOLR1	3
TNFAIP3	2
BDKRB2	1
ENTPD3-AS1	5
AK026777	4
MAGED4B	6
DCC	3
RAI2	2
USH2A	1
SHISA7	2
CCDC169-SOHLH2	1
LRRC32	1
ABLIM2	4
LRRN4	1
BAIAP3	0
GPRIN1	6
SCHIP1	4
MPC2	3
INSRR	3
LINC00634	1
RAB33A	6
RASSF9	6
FILIP1	2
CDH22	1
AK096314	1
TMEM55A	0
ADCY9	0
CCDC108	4
TPBGL	5
ABCG1	5
CTSC	5
ELFN2	0
KCNG2	3
NNMT	2
ANKS1B	4
ANKRD29	1
FZD4	1
ANO3	1
RMST	2
HHIPL1	3
ATP8B1	3
AL953854.2-002	1
ARL6	1
PCDP1	2
WNT7A	6
GAD2	3
ST6GALNAC2	2
SV2C	1
GABRB2	1
AL832007	1
LOXL2	2
S100A14	2
FLJ42875	1
FAM150B	2
F5	2
SPOCK1	4
CLEC4GP1	1
FAM95A	5
TNFSF8	6
HSD17B2	3
LINC00176	2
LHX6	2
LDB3	4
MEGF10	3
AL355711	1
KHDRBS2	3
SPNS2	1
WNK4	0
CHST8	3
PTPRH	4
ATP2C2	4
AK128833	1
LOC100996634	1
NME5	3
AX747167	4
ANG	3
TSGA10IP	1
TENM2	4
MOK	4
AK5	3
PCED1B	1
HRH2	4
AK316321	2
AK127555	5
TIMM23B	2
CYP26A1	0
NPHP1	1
BC087859	6
OPRD1	1
AL049415	6
C6	6
HIST1H3F	1
AK123868	2
LYSMD2	3
CYP4A11	1
