Unnamed: 0	wt_0_8h_8hpi_1	wt_0_8h_8hpi_2	wt_0_8h_8hpi_3	wt_100_8h_8hpi_1	wt_100_8h_8hpi_2	wt_100_8h_8hpi_3	wt_0_8h_24hpi_1	wt_0_8h_24hpi_2	wt_0_8h_24hpi_3	wt_100_8h_24hpi_1	wt_100_8h_24hpi_2	wt_100_8h_24hpi_3	wt_0_8h_48hpi_1	wt_0_8h_48hpi_2	wt_0_8h_48hpi_3	wt_100_8h_48hpi_1	wt_100_8h_48hpi_2	wt_100_8h_48hpi_3	wt_0_8h_72hpi_1	wt_0_8h_72hpi_2	wt_0_8h_72hpi_3	wt_100_8h_72hpi_1	wt_100_8h_72hpi_2	wt_100_8h_72hpi_3
AAK1	11.0519012414515	11.157063130822198	11.1369096367898	10.9945867497207	10.6791010816086	10.739561563705802	11.045383763373401	10.8469574016804	11.2706562518496	11.1413198388571	11.0808120865462	11.042301797960901	11.0800065016853	11.0973310484694	11.181117356379001	10.995138735352302	10.977814188568098	10.8940278806585	10.9527204025006	10.978752156250101	11.000514676695099	11.010866469344	11.2437688295983	10.8368177475695
AAMDC	8.64450859117032	8.588077033147709	8.59493578098173	8.24465786178633	8.41395253585415	8.39337629235209	8.42911662722812	8.51054006953997	8.43616399516892	8.5640164592365	8.610070542286829	8.489561446056111	8.58981522382607	8.577545398330491	8.28313705271883	8.49927659382256	8.51154641931814	8.80595476492981	8.57885055271336	8.69572622063551	8.57405520867048	8.60619999611928	8.36184680283497	8.67840298540175
AAMP	11.654100155799998	11.5619808950817	11.645391439817299	11.6024400394712	11.878797821626101	11.6285661874193	11.5172270179338	11.6834900371688	11.604834165622199	11.6446496833253	11.6317121361329	11.5334782248345	11.6366236762537	11.677257714089802	11.5203737496771	11.6457465771819	11.605112539345699	11.7619965037584	11.690301924660401	11.668691967907698	11.657505653143101	11.7125618809517	11.5808463656618	11.7689224632713
AANAT	6.497533496012401	6.47086689508128	6.47307423346266	6.39969644581345	6.4796962486068	6.47307423346266	6.40060142734617	6.5100964319544605	6.282350867245441	6.45776630659832	6.343391757843451	6.43863096689212	6.4661585571053495	6.507049960458059	6.47307423346266	6.47998990981997	6.439098506467261	6.47307423346266	6.5088204035448	6.343391757843451	6.58995221235704	6.52510879636134	6.69541698620927	6.58136288735603
AAR2	10.078429065781	10.0678458875369	10.0059014779042	10.1050097471621	10.1367592818945	10.3225925107925	10.050121767982098	9.930254576172901	10.0830517713653	10.1396768370156	10.1510038704416	10.032804543240301	10.1399118381214	10.020981046488199	9.976423484539179	10.0302366341312	10.149167425764402	10.1937249877134	10.1277752249316	10.0794190864649	10.127783625529599	10.0227231145759	10.1796194114257	10.09665700437
AARD	7.902922109700249	7.87571545732608	8.01566133752904	7.7698791815765	7.8514991386989905	7.431661498090099	7.57382065061099	7.3530228179218495	7.07967648497877	7.680313269209219	7.67249693311071	7.3465855885096705	7.9121209275885995	7.8307628079906495	7.835801925198821	7.82720182775002	7.90855994734796	7.903520830139789	8.68556233183153	8.746032081828691	8.431888757484469	7.538949259025481	7.70709367781599	8.62049467970432
AARS	11.7112595890683	11.6652975112033	11.6551773254638	11.4727006713693	11.610586904964302	11.640947462182801	11.593393693139	11.643813333145301	11.6466737092105	11.692850894969098	11.6816244501948	11.6610758506748	11.6348583485316	11.6553505523807	11.660326221691802	11.668381370755501	11.647889166906399	11.6429134975953	11.6706076139449	11.552112399481402	11.620235082941198	11.649627236521301	11.7289292557527	11.6784947957478
AARS2	10.12126264443	10.0703649600249	10.0774419252317	10.0077143603756	10.160407413590901	10.139176517970698	10.0711396303451	10.061549285184599	10.027022280083301	10.0938240465195	10.059705374045	9.93321116717413	10.0939880229272	10.122301222157699	10.0170992161674	10.091763123905599	10.0634499246751	10.1686519306654	10.252725971542699	10.336671806977	10.2722621010288	9.9538126452584	9.9135758274591	10.1390067453795
AARSD1	9.27098893175985	9.28646234411751	9.31296431141786	9.387921464377438	9.341501227304471	9.2619953254034	9.24076720399314	9.390506607978152	9.37923101887527	9.282984956318561	9.282803413844949	9.27483062658373	9.298535596779528	9.345160081454539	9.18629302797295	9.301908533048971	9.25528404837395	9.41415110185555	9.23220341706742	9.204287832086449	9.20688178547128	9.44493268227787	9.323290405747429	9.339944828726699
AASDH	9.0291853783124	9.05930624134184	9.036034046475551	9.01570130729965	8.925338718211322	8.995155302810181	9.11275552246226	9.03490144875172	8.978497956835369	9.02716862756386	9.00368230948324	8.99323436011226	9.05705608391249	8.99526018654186	9.09032679834914	8.99457263720593	9.05636853457656	8.96130192276928	9.07182931600708	9.184747740300642	8.936010829389131	8.89150397620364	8.87992594370124	9.19551429590007
AASDHPPT	10.936993893354199	10.924680231204901	11.029062771515601	11.129875100727	11.166816087175	10.8536684662427	10.9864974657121	11.1021495520506	10.921137229063401	10.9636555742625	10.931608703739	10.970219979188599	10.9510487605547	10.811176534772699	10.8951271322696	11.019379629840099	11.159251855622099	11.0753012581252	10.996720721668801	10.966782753210799	10.8608015421408	10.9939830191462	10.9403157717892	11.1886980303968
AASS	11.3767812998523	11.3631802843485	11.4146392694455	11.3029402086037	11.343743255115301	11.189366299824199	11.6704851434403	11.8576718794389	11.932223096265302	11.3987684295591	11.3245734094236	11.2439397625157	11.466844057228998	11.4555596868657	11.4775984728058	11.2497979968514	11.2610823672147	11.2390435812746	11.131371707041499	11.1498965185798	11.2778155306671	11.2326588281199	11.101142300718301	10.979305718712599
AATF	10.112503003026099	10.0168396971327	10.0254529928447	9.99198102386531	10.2789709415457	10.2531310544097	10.2249678226302	10.2334875747558	10.325351633997	10.329438012576901	10.3201325482145	10.4064235886734	10.0740821325858	10.0217358154762	10.013307491223301	10.0906628838861	10.1430092009956	10.1514375252486	9.83664736877091	9.763194294298449	9.780552529180829	9.938436828965731	10.0126756156749	9.81716228109252
AATK	9.281374799010369	9.27556962973467	9.38935114817699	9.44976523991521	9.467180747742301	9.125836192415349	8.91684795558253	8.963371060433142	8.8357177386377	8.74122346834142	8.85440658043211	9.00366303176239	9.120914111961278	9.340675454010759	9.28526025623483	9.52603070651187	9.306269364462391	9.36168456223833	9.83245005819168	9.72628632306365	9.594221829471131	9.80336815483068	9.74982567301741	9.8602870370751
AATK-AS1	6.785300162624661	6.755106082105139	6.83748242467126	6.61631395924538	6.7068962008039295	6.4597671731055595	6.653890762803321	6.68603576141289	6.65471427948444	6.7719744621891795	6.78092560955354	6.437970077089259	6.76638017733964	6.825023518604651	6.84456094683589	6.71972704622004	6.661083704955031	6.6415462767237905	6.8375556452578605	6.98592198885105	6.92175915563366	6.708793576868991	6.51933108730188	6.9577709349119905
AB000466	7.70420125519626	7.9600944156434	7.84103510722895	8.03151079228705	7.26383131094563	7.62100923618897	7.64711798043445	7.59117913038149	7.7730432462896	7.978512432729	7.705553844383349	7.646842746615831	8.43814543838376	7.65180912476313	7.6549689424275895	7.13391184055415	7.9202481541747805	7.917088336510321	8.01333971341432	7.8568006386457405	7.68539388349211	7.505144431298059	7.99058094446524	8.038834681478269
AB007962	7.635638152548231	7.76281493793724	7.718097996696071	7.6634656994219394	7.281935343254889	7.416086166978401	7.627330979436111	7.64044534307599	7.77494256713974	7.8885761262203395	7.679729662032339	7.76419984443838	7.63160702589577	7.67399965746208	7.70087746550802	7.65358305263754	7.611190421071219	7.58431261302529	7.73864766683993	7.64685281888435	7.7139712731765595	7.3158253845702195	7.603352333073929	7.31726647231192
AB062081	6.90700318464086	6.9192511728690995	6.916406834026691	6.784710929621281	6.74796696493657	6.756499981463809	6.90126270355454	6.89276079081427	7.028810216235731	6.78826933952494	6.83982041119555	6.8527372892525396	6.95564184360838	7.073648322638349	6.92043891756369	6.797218398163559	6.679211919133589	6.83242132420825	6.7889836466792906	6.888980701442679	6.912953245191059	7.0272047937851	6.884158580091371	6.71121973286455
AB062083	6.4618228356127	6.46285252717296	6.3957071897013	6.197360251967139	6.1942711772863195	6.3957071897013	6.51040560450237	6.354308745402019	6.35828054712608	6.56408528847821	6.354308745402019	6.35828054712608	6.50431831040315	6.3957071897013	6.3957071897013	6.287096068999451	6.3957071897013	6.3957071897013	6.334093441555929	6.519902522599139	6.35828054712608	6.17424442426869	6.354308745402019	6.50798711742695
AB073649	7.23900480880661	7.3751674392001405	7.416252335859519	7.8575156151405094	7.449027723959889	7.325773033981769	7.41486741197199	7.328298034666059	7.25575101467817	7.34012851108884	7.35225155537951	7.66019557564224	7.48067813692526	7.67025875768325	7.52897340614643	7.306586883854901	7.11700626309691	7.25829161463373	7.50807816564543	7.42916656845484	7.168329935433481	7.311455952854081	7.46481388305992	7.49025351580645
AB074160	6.56115037913198	6.42741188799024	6.4677787234328905	6.18766375633564	6.58887922976085	6.4677787234328905	6.2289134956145595	6.276729288777231	6.21637659793756	6.2289134956145595	6.276729288777231	6.21637659793756	6.30457282212628	6.259986924123981	6.383249287815219	6.63098462473951	6.6755705227418	6.552308159050571	6.2289134956145595	6.276729288777231	6.68507204359393	7.18437440688791	7.04092702739988	6.75328965426252
AB074162	6.74956151974458	6.8744893398069005	6.88772889124221	6.840711955902309	6.465928495715341	6.4262098414094195	6.87082518740216	6.84222204506049	6.88402728930232	6.72404473765676	7.0538247905373	7.26379065568675	6.82383617591773	6.85100400369692	6.79419752287665	6.72086208165029	6.6936942538711	6.75050073469137	6.593936274323929	6.60060036788056	6.64827157038975	6.900590315753191	6.592749311657701	6.29330699975723
