	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	5	3	0	2	3	0	3	0	0	0	0	0	0	0	0	2	0	4	5	0	0	4	0	2	0	0	0	2	0	4	2	3	3	3	0	3	2	0	3	0	0	4	0	5	3	0	0	6	2	0	0	0	0	0	0	0	3	0	0
GO_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	0	0	2	4	4	0	0	0	0	0	0	0	0	2	4	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	4	0	3	0	2	0	0	0	2	3	0	0	0	0	0	2	0	0	0	4	3	2	0	0	3	0	0	0	0	0	0	2	0	4	0	0
GO_IN_UTERO_EMBRYONIC_DEVELOPMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	0	0	3	2	0	0	0	0	0	0	0	0	2	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	3	4	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0
GO_ION_CHANNEL_BINDING	0	0	4	3	4	0	0	0	0	0	0	0	4	2	6	8	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	5	5	0	4	0	6	0	4	0	5	4	0	4	0	2	0	0	0	0	0	0	5	6	8	4	0	0	0	0	0	0	2	0	0	0	0	5	0	0
GO_ION_CHANNEL_REGULATOR_ACTIVITY	0	3	0	3	0	0	0	0	0	0	0	0	4	0	6	8	4	0	4	6	0	2	0	0	0	0	2	3	0	0	4	0	0	4	0	7	6	0	0	0	6	0	0	0	7	3	0	5	0	0	3	3	0	0	0	0	5	6	7	4	0	0	7	0	0	0	2	0	0	0	0	5	0	0
GO_ION_GATED_CHANNEL_ACTIVITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_ION_HOMEOSTASIS	0	0	0	0	10	0	0	0	0	0	0	0	0	8	22	28	0	0	0	20	0	0	0	0	0	0	0	0	0	0	12	0	16	0	3	20	26	0	0	0	0	0	9	0	22	19	0	18	14	0	0	0	0	0	0	0	0	19	26	20	0	0	22	0	5	0	7	0	2	10	0	15	0	4
