	genes
KIAA1211L	0
FOXB1	4
ENPP1	4
CNGA3	1
RUNX1T1	9
SOWAHA	3
CACNG7	1
UNC80	4
KCND3	9
CA3	5
AK129672	2
FAM182A	4
CHL1	10
HRH1	0
MT1F	7
PPP1R17	0
ADAMTS20	1
ELOVL2	8
MSX1	3
CACNA1A	6
GPR119	6
U50535	1
SLC17A8	8
PCSK1	5
GLYATL2	8
DLL3	8
GATA2	3
CRYBA2	4
GRIA2	4
INS	4
TUBA4A	4
UNC13A	1
CRH	5
SPEF2	3
NCAN	9
MAPK11	5
GNAO1	4
MFAP4	4
RSAD2	7
SPTBN4	6
SPON1	10
AX747593	5
TAGLN3	9
ADCYAP1	2
FFAR4	6
OLFM1	9
RGS2	5
ABCB1	3
CERKL	6
PLCXD3	8
EPHA8	6
VEGFC	6
MYT1L	6
HS3ST1	8
OCA2	9
RGS7	8
C7	10
FSTL5	5
LINC00617	5
AK124262	1
WDR63	8
LIX1	0
ADAM28	3
PGA4	0
SEZ6L	0
HTR7	8
SLITRK2	0
LRTM1	8
ZIC1	4
MAN1A1	5
MMRN1	5
TESC	1
POU3F2	3
KLHDC8A	4
HIST1H2BK	5
SERPINB2	5
ATCAY	1
PGA3	0
DRC1	0
ATP2A3	7
P2RX1	0
RUNDC3A	5
FRMPD4	9
NEGR1	5
CLEC4G	8
PLXNA4	3
BTBD11	8
MAP6	4
LHFPL3-AS2	7
DNAJC12	4
SLC38A3	4
GDAP1	6
ABCC8	4
CBLN4	5
KCNC1	9
KCNA3	1
CKMT1A	7
GLIPR1	8
LOC100129175	0
HIST2H2BE	1
DNAH8	9
AX748200	9
ASB2	3
LRTM2	8
CADPS	2
PAPPA2	1
LAMA3	2
WDR17	10
KIF5A	2
KANK4	4
ELAVL3	9
GPR1	2
FAM57B	9
KCNK3	4
LINGO3	1
ANKRD37	6
NOVA2	7
OPCML	2
CRABP1	6
C2CD4A	5
NS3BP	3
CXCL1	5
NKX6-1	9
ACTL6B	5
CACNA1C	4
MAPK8IP2	4
PLCB4	4
RAB26	4
ST18	6
BRD7P3	0
SRRM4	0
DQ575504	1
GALR1	1
XKR7	1
PTCHD2	2
SCN3B	8
CNTNAP3B	6
TRPA1	10
APOC3	4
AB074188	9
PKDREJ	0
BEX1	8
CAPN9	6
KIAA1377	6
CLPS	7
MIR137HG	4
DNAH7	5
ARHGAP9	8
PIK3AP1	8
BTBD17	7
DQ583756	6
HPCA	9
KCNJ5	4
BMPER	6
TUBA3FP	5
ADAMTSL1	4
IGSF10	0
MBOAT4	2
NTM	10
KLHL35	6
NEURL	2
ROS1	4
SYP	0
KCNIP1	6
NEAT1	1
CPLX2	6
TMEM198	7
RYR1	6
MID1IP1	8
GCK	4
EBF2	3
NGFR	5
TM4SF1	1
RAB3C	10
TTC6	1
ALK	7
KIAA1045	8
LOC283194	3
BX538226	6
CHRNA4	0
BAI1	6
UNC5A	7
ARMC3	4
FFAR2	8
CHRNA1	4
NPHS1	4
AL137522	3
IL13RA2	4
PRSS3	1
SUCNR1	8
AP3B2	7
SCGN	6
SLC25A53	4
TMEM145	4
CDH20	3
KCNB1	9
LOC100294362	1
SMPD3	0
ME3	1
JH8	8
LPPR1	0
PGA5	3
AX747081	0
EREG	7
SAMD5	6
ATP2B2	9
PRUNE2	4
LZTS1	8
CR627206	9
SH3RF3	10
PTPRN	4
CLRN3	9
NEFM	3
GAS1	3
FLJ46481	4
TYRP1	0
BC020343	2
MYPN	6
SLC28A3	8
ATP8A1	9
TMEM196	0
DQ576994	10
PDK4	10
CYP19A1	7
SAMD15	8
FAM105A	2
DLL4	8
GABRG2	5
PTPRN2	6
DLK1	8
CPA1	5
KCNJ6	4
SSTR5-AS1	4
WNT6	3
NECAB2	6
NKX2-2	0
GGT5	8
FAM155B	10
RHOH	8
ANXA13	3
SSTR2	5
SNAP91	1
LINC00482	0
TTBK1	4
GRIK3	8
NKX2-8	3
DBC1	5
CCK	2
KLHL29	9
AMPH	8
PTGER3	7
LRRTM3	4
PALM2	0
TMEM105	0
AB074166	10
PPP1R3C	8
STMN3	6
AK130076	10
RAB39A	9
RBFOX3	6
ATOH8	0
CGB7	5
THSD4	6
CCBE1	2
SLC7A14	6
ELAVL4	4
TSPAN8	5
LOC286189	5
IGFALS	10
CELA3B	0
MARCH4	0
DGKG	3
EDNRB	1
NPAS4	1
ATP1A3	6
CCDC83	3
CADM2	3
ZNF835	1
TMEM132B	9
CRTAM	5
DDC	4
HMP19	6
LMO1	1
DCHS2	5
AK055386	4
SVOP	4
KIRREL2	9
KCNN3	9
ERO1LB	6
TCRVB	6
DNER	6
TTYH1	6
KLK12	0
KCNC2	4
SLC5A7	1
IL7R	1
FAM5B	8
PHYHIPL	5
FGB	5
PHGR1	8
KCNH1	5
NTNG2	3
B3GALT2	4
UBXN10	3
PSD	7
PLEKHN1	9
PNMA2	6
SLITRK1	9
MIR7-3HG	4
NALCN	0
AX748379	10
GPAT2	6
CNTNAP5	4
CLDN10	5
UBD	1
GRAP2	4
SLC25A47	1
CDH9	3
AK056625	0
GP2	0
AK126278	10
CR627203	8
FAM182B	3
KAZALD1	3
RXFP3	3
SLITRK3	10
TMEM257	0
PPM1J	8
FAM135B	8
HIST1H2BD	0
AX748395	9
KL	4
ANKRD36C	0
CALN1	4
SYT14	5
CELA3A	2
PMSP	8
HDAC9	6
PAK7	6
LPPR4	8
BC133018	10
LEFTY1	4
CHRNB2	10
GPR112	6
DPYD	2
PRLR	10
SLCO3A1	9
RASD1	10
FAM167A	2
SLC35D3	1
AL157440	1
DMBX1	2
FER1L4	0
CASR	5
PTPRB	5
HOXA-AS4	1
GABBR2	9
RGS5	10
JAKMIP1	4
MARCH3	8
TNR	4
IL8	3
MGAT4C	6
DCC	6
USH2A	7
GCG	7
PYY	8
GPRIN1	6
ELTD1	9
SCHIP1	3
INSRR	10
AK127270	2
EFCAB6	4
CDC20B	0
BC040577	2
CDH22	6
SGK2	1
ABCG1	4
NMNAT2	8
AX747833	9
MDGA2	8
ITPR1	10
RSPH1	8
ANKS1B	3
RMST	8
AL953854.2-002	9
GAD2	8
SV2C	3
AK094611	7
AX746969	2
BC010924	8
AK123868	6
RYR2	8
CLEC4GP1	4
LOC390660	0
TNFSF8	3
SYT5	5
POC1B-GALNT4	8
MEGF10	3
SPNS2	9
HPSE2	6
AL109792	6
GFOD1	8
MSH5	2
CHST8	9
GPR37L1	10
NME5	3
CAPN14	9
TSGA10IP	4
COMMD3-BMI1	3
AK5	6
AK127555	2
LMO3	3
TIMM23B	10
GOLGA6C	4
TBX4	3
SEC11C	7
C6	3
MUC16	9
CER1	1
LYSMD2	5
BC032415	1
AK094786	3
