	genes
CHRNA3	1
PRKCH	0
FAM64A	3
FHL1	5
TRPA1	5
RNF150	4
HLA-DQA2	5
PCDHA2	4
CADPS	1
STK31	4
WWC2-AS2	3
NXF2	5
DNAH11	3
DOCK4	6
ZRSR1	4
AX747090	5
GUSBP3	6
AK127443	5
RNF157	4
PCDH17	5
TTC25	3
CDH22	6
AK093555	6
FAM57B	5
CCDC181	2
ILDR2	3
DNER	6
DQ588732	5
RIC3	5
ROS1	4
AK024119	5
GRAMD2	5
BC107568	1
BC042374	4
EYA4	0
AK128361	3
FAM196A	5
DQ570835	6
AK125333	1
RGS17	4
IGSF9B	4
PMFBP1	3
AF258560	6
SMA5	6
SMA	6
KLHL35	4
UBE2Q2P1	6
GUSBP9	1
AX747175	6
SULT1A4	1
MX2	3
FAM21B	3
TACR3	5
AF198444	6
AK091624	2
BC073932	5
S100G	6
